"","href","parent","section","part","subpart"
"1","https://directives.sc.egov.usda.gov/44200.wba","Introduction, Subpart A","General",600,"A"
"2","https://directives.sc.egov.usda.gov/44201.wba","Introduction, Subpart B","General",600,"B"
"3","https://directives.sc.egov.usda.gov/44202.wba","National Cooperative Soil Survey Organization, Subpart A","General",601,"A"
"4","https://directives.sc.egov.usda.gov/44203.wba","National Cooperative Soil Survey Organization, Subpart B","General",601,"B"
"5","https://directives.sc.egov.usda.gov/44204.wba","Conferences of the National Cooperative Soil Survey, Subpart A","General",602,"A"
"6","https://directives.sc.egov.usda.gov/45970.wba","Conferences of the National Cooperative Soil Survey, Subpart B","General",602,"B"
"7","https://directives.sc.egov.usda.gov/46327.wba","Working Agreements, Subpart A","Operations And Management",606,"A"
"8","https://directives.sc.egov.usda.gov/46328.wba","Working Agreements, Subpart B","Operations And Management",606,"B"
"9","https://directives.sc.egov.usda.gov/44209.wba","Initial Soil Survey Preparation, Subpart A","Operations And Management",607,"A"
"10","https://directives.sc.egov.usda.gov/44216.wba","Initial Soil Survey Preparation, Subpart B","Operations And Management",607,"B"
"11","https://directives.sc.egov.usda.gov/44210.wba","Program Management, Subpart A","Operations And Management",608,"A"
"12","https://directives.sc.egov.usda.gov/44211.wba","Program Management, Subpart B","Operations And Management",608,"B"
"13","https://directives.sc.egov.usda.gov/44212.wba","Quality Control, Quality Assurance, and Soil Correlation, Subpart A","Operations And Management",609,"A"
"14","https://directives.sc.egov.usda.gov/44213.wba","Quality Control, Quality Assurance, and Soil Correlation, Subpart B","Operations And Management",609,"B"
"15","https://directives.sc.egov.usda.gov/44214.wba","Updating Soil Surveys, Subpart A","Operations And Management",610,"A"
"16","https://directives.sc.egov.usda.gov/44215.wba","Updating Soil Surveys, Subpart B","Operations And Management",610,"B"
"17","https://directives.sc.egov.usda.gov/44230.wba","Applying Soil Taxonomy, Subpart A","Soil Classification",614,"A"
"18","https://directives.sc.egov.usda.gov/44231.wba","Applying Soil Taxonomy, Subpart B","Soil Classification",614,"B"
"19","https://directives.sc.egov.usda.gov/44232.wba","Soil Survey Interpretations, Subpart A","Soil Interpretations",617,"A"
"20","https://directives.sc.egov.usda.gov/44234.wba","Soil Survey Interpretations, Subpart B","Soil Interpretations",617,"B"
"21","https://directives.sc.egov.usda.gov/46752.wba","Soil Properties and Qualities, Subpart A","Soil Interpretations",618,"A"
"22","https://directives.sc.egov.usda.gov/44385.wba","Soil Properties and Qualities, Subpart B","Soil Interpretations",618,"B"
"23","https://directives.sc.egov.usda.gov/44251.wba","Soil Potential Ratings, Subpart A","Soil Interpretations",621,"A"
"24","https://directives.sc.egov.usda.gov/44252.wba","Soil Potential Ratings, Subpart B","Soil Interpretations",621,"B"
"25","https://directives.sc.egov.usda.gov/45381.wba","Interpretive Groups, Subpart A","Soil Interpretations",622,"A"
"26","https://directives.sc.egov.usda.gov/44254.wba","Interpretive Groups, Subpart B","Soil Interpretations",622,"B"
"27","https://directives.sc.egov.usda.gov/44255.wba","Soil Quality, Subpart A","Soil Interpretations",624,"A"
"28","https://directives.sc.egov.usda.gov/44256.wba","Soil Quality, Subpart B","Soil Interpretations",624,"B"
"29","https://directives.sc.egov.usda.gov/45136.wba","Legend Development and Data Collection, Subpart A","Soil Survey Field Procedures",627,"A"
"30","https://directives.sc.egov.usda.gov/44259.wba","Legend Development and Data Collection, Subpart B","Soil Survey Field Procedures",627,"B"
"31","https://directives.sc.egov.usda.gov/44260.wba","Glossary of Landform and Geologic Terms, Subpart A","Soil Survey Field Procedures",629,"A"
"32","https://directives.sc.egov.usda.gov/44261.wba","Glossary of Landform and Geologic Terms, Subpart B","Soil Survey Field Procedures",629,"B"
"33","https://directives.sc.egov.usda.gov/44262.wba","Benchmark Soils, Subpart A","Soil Survey Field Procedures",630,"A"
"34","https://directives.sc.egov.usda.gov/44263.wba","Benchmark Soils, Subpart B","Soil Survey Field Procedures",630,"B"
"35","https://directives.sc.egov.usda.gov/44264.wba","Soil Survey Investigations, Subpart A","Soil Survey Field Procedures",631,"A"
"36","https://directives.sc.egov.usda.gov/44265.wba","Soil Survey Investigations, Subpart B","Soil Survey Field Procedures",631,"B"
"37","https://directives.sc.egov.usda.gov/44266.wba","Soil Data Systems","Soil Survey Information Systems",638,""
"38","https://directives.sc.egov.usda.gov/44267.wba","National Soil Information System (NASIS), Subpart A","Soil Survey Information Systems",639,"A"
"39","https://directives.sc.egov.usda.gov/44268.wba","National Soil Information System (NASIS), Subpart B","Soil Survey Information Systems",639,"B"
"40","https://directives.sc.egov.usda.gov/44276.wba","Delivering Soil Survey Information, Subpart A","Soil Survey Publications",644,"A"
"41","https://directives.sc.egov.usda.gov/44277.wba","Delivering Soil Survey Information, Subpart B","Soil Survey Publications",644,"B"
"42","https://directives.sc.egov.usda.gov/44278.wba","Soil Map Development, Subpart A","Soil Maps",647,"A"
"43","https://directives.sc.egov.usda.gov/44279.wba","Soil Map Development, Subpart A","Soil Maps",647,"A"
"44","https://directives.sc.egov.usda.gov/44280.wba","Digital Soil Mapping","Soil Maps",648,"A"
"45","https://directives.sc.egov.usda.gov/44281.wba","Digital Soil Mapping","Soil Maps",648,"B"
"46","https://directives.sc.egov.usda.gov/44282.wba","Land Resource Areas, Subpart A","Soil Maps",649,"A"
