"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ALTON","2Cl",104,160,NA,NA,NA,"7.5YR","4","2"
"AMWELL","Btxl",53,66,NA,NA,NA,"7.5YR","5","4"
"AYR","Btl",66,84,NA,NA,NA,"10YR","5","4"
"BAILEGAP","0i",0,1,NA,NA,NA,NA,NA,NA
"BERGEN","0p",0,25,NA,NA,NA,"10YR","2","1"
"BERGEN","0a",25,36,NA,NA,NA,"10YR","3","2"
"BOURBON","Ap",0,23,"10YR","5","2","l0YR","2","2"
"BOURBON","Bl",23,30,"10YR","7","3","l0YR","5","3"
"BOURBON","B21t",30,64,NA,NA,NA,"l0YR","5","3"
"BOURBON","B22t",64,76,NA,NA,NA,"l0YR","5","4"
"BOURBON","IIB31",76,127,NA,NA,NA,"l0YR","6","3"
"BOURBON","IIB32",127,165,NA,NA,NA,"l0YR","4","3"
"BOURBON","IICl",165,178,NA,NA,NA,"l0YR","4",NA
"BOURBON","IIC2",178,203,NA,NA,NA,"l0YR","5","3"
"BRENTSVILLE","C",66,86,NA,NA,NA,"lOR","3","3"
"BRENTSVILLE","Cr",86,97,NA,NA,NA,"lOR","3","3"
"BRENTSVILLE","R",97,107,NA,NA,NA,"lOR","3","3"
"BUCKEYSTOWN","Btl",81,112,NA,NA,NA,"5YR","5","6"
"BUCKTON","Ap",0,18,NA,NA,NA,"l0YR","4","3"
"BUCKTON","Cl",18,46,NA,NA,NA,"l0YR","5","3"
"BUCKTON","C2",46,74,NA,NA,NA,"l0YR","4","3"
"BUCKTON","C3",74,122,NA,NA,NA,"l0YR","3","3"
"BUCKTON","2C",122,185,NA,NA,NA,"l0YR","4","3"
"BURKITTSVILLE","Btl",25,46,NA,NA,NA,"7.5YR","4","6"
"CALVERTON","A",0,5,NA,NA,NA,"l0YR","4","2"
"CALVERTON","E",5,25,NA,NA,NA,"l0YR","7","4"
"CALVERTON","Bt",25,48,NA,NA,NA,"l0YR","6","6"
"CALVERTON","Bx",48,74,NA,NA,NA,"l0YR","6","6"
"CARDIGAN","0e",0,2,NA,NA,NA,NA,NA,NA
"CATLETT","0i",0,3,NA,NA,NA,NA,NA,NA
"CEDARCREEK","Cl",8,38,NA,NA,NA,NA,NA,NA
"CHEEKTOWAGA","2Cl",66,84,NA,NA,NA,"7.5YR","4","2"
"CHENAULT","Ap",0,28,NA,NA,NA,"1OYR","4","3"
"CHENAULT","2Bt3",104,124,NA,NA,NA,"1OYR","4","4"
"CHOCORUA","0e1",0,20,NA,NA,NA,"5YR","2","2"
"CHOCORUA","0e2",20,41,NA,NA,NA,"5YR","2","2"
"CHOCORUA","0e3",41,86,NA,NA,NA,"5YR","2","2"
"CLOVERLICK","0i",0,5,NA,NA,NA,NA,NA,NA
"COESSE","2Bgbl",86,104,NA,NA,NA,"2.5Y","4","2"
"DORVAL","0a2",43,58,NA,NA,NA,"5YR","3","1"
"DRAYKE","Btl",20,36,NA,NA,NA,"10R","3","6"
"DRYPOND","Oi",10,0,NA,NA,NA,NA,NA,NA
"DUMMERSTON","Bwl",13,28,NA,NA,NA,"10YR","4","4"
"DUTCHESS","Oi",3,0,NA,NA,NA,NA,NA,NA
"ELBERT","Btgl",30,56,NA,NA,NA,"5Y","4","1"
"ELKA","Bwl",15,53,NA,NA,NA,"5YR","5","4"
"FIVEBLOCK","Cl",15,64,NA,NA,NA,"10YR","4","3"
"GATTON","2Btx1",56,91,NA,NA,NA,"1OYR","5","4"
"GATTON","Ap",NA,15,NA,NA,NA,"1OYR","4","4"
"GLENNIE","0e",0,5,NA,NA,NA,NA,NA,NA
"GOLDVEIN","0i",0,3,NA,NA,NA,NA,NA,NA
"GOLDVEIN","0e",3,5,NA,NA,NA,"10YR","3","1"
"HAIGHTS","Bwl",15,43,NA,NA,NA,"7.5YR","4","4"
"HEMPSTEAD","Bwl",38,64,NA,NA,NA,"10YR","5","6"
"HITCHCOCK","0i",0,5,NA,NA,NA,NA,NA,NA
"HOOSIC","Bwl",15,28,NA,NA,NA,"10YR","5","6"
"LAGROSS","Bwl",20,36,NA,NA,NA,"7.5YR","4","4"
"LEW","0i",0,5,NA,NA,NA,NA,NA,NA
"LODI","Btl",18,28,NA,NA,NA,"7.5YR","5","6"
"MACHIAS","AO",5,0,NA,NA,NA,NA,NA,NA
"MANASSAS","Btl",41,61,NA,NA,NA,"5YR","3","4"
"MARTISCO","0a1",0,18,NA,NA,NA,"5YR","2","1"
"MARTISCO","0a2",18,33,NA,NA,NA,"5YR","2","1"
"MERRIMAC","Bwl",25,38,NA,NA,NA,"7.5YR","4","4"
"MIKADO","Oe",5,0,NA,NA,NA,NA,NA,NA
"MOOSABEC","Oil",0,30,NA,NA,NA,"10YR","8","2"
"MT. ZION","Apl",1,5,NA,NA,NA,"10YR","3","2"
"MT. ZION","Btl",30,48,NA,NA,NA,"10YR","5","6"
"MUNSON","2Bgl",38,48,NA,NA,NA,"2.5Y","5","2"
"ORISKANY","Oi",3,0,NA,NA,NA,NA,NA,NA
"OSSIPEE","0e1",0,30,NA,NA,NA,"5YR","2","2"
"OSSIPEE","0e2",30,46,NA,NA,NA,"5YR","2","2"
"OSSIPEE","0e3",46,64,NA,NA,NA,"7.5YR","3","2"
"PATE","Btl",15,36,NA,NA,NA,"10YR","4","3"
"PAVILION","0p",0,23,NA,NA,NA,"10YR","2","1"
"PAVILION","0a1",23,33,NA,NA,NA,"10YR","3","2"
"PINEVILLE","Btl",28,61,NA,NA,NA,"10YR","6","6"
"POCONO","Oa",3,0,NA,NA,NA,"N","2","0"
"PROCHASKA","B2lg",30,46,NA,NA,NA,"10YR","4","1"
"RAVENROCK","Btl",18,41,NA,NA,NA,"5YR","4","6"
"ROCKCASTLE","02",3,0,NA,NA,NA,"10YR","2","1"
"ROCKCASTLE","01",8,3,NA,NA,NA,NA,NA,NA
"ROCKCASTLE","A1",NA,3,NA,NA,NA,"10YR","3","1"
"ROCKMILL","0a1",46,58,NA,NA,NA,"10YR","2","1"
"ROCKMILL","0a2",58,102,NA,NA,NA,"10YR","2","1"
"ROCKMILL","0a3",102,203,NA,NA,NA,"10YR","2","2"
"SHAKER","0e",0,5,NA,NA,NA,"10YR","2","1"
"SIDELING","Btl",30,74,NA,NA,NA,"7.5YR","5","6"
"SIMONIN","Btl",66,86,NA,NA,NA,"10YR","5","4"
"SQUAMSCOTT","0e",0,5,NA,NA,NA,"5YR","3","3"
"SQUAMSCOTT","0a",5,8,NA,NA,NA,"5YR","2","1"
"STOKLY","Bw",20,48,NA,NA,NA,"1OYR","5","3"
"STOKLY","Ap",NA,20,NA,NA,NA,"1OYR","4","2"
"SUCCESS","0i",0,10,NA,NA,NA,NA,NA,NA
"SUCCESS","0a",10,23,NA,NA,NA,"5YR","2","1"
"SWIMLEY","Btl",23,36,NA,NA,NA,"5YR","4","4"
"THURMONT","0i",0,5,NA,NA,NA,NA,NA,NA
"THURMONT","0e",5,10,NA,NA,NA,NA,NA,NA
"TORONTO","Btl",30,41,NA,NA,NA,"10YR","5","3"
"TREVLAC","Btl",33,51,NA,NA,NA,"10YR","5","6"
"WAUMBEK","0e",0,3,NA,NA,NA,NA,NA,NA
"WEIDER","2Cl",64,97,NA,NA,NA,"2.5Y","4","4"
"WURNO","Ap",0,20,NA,NA,NA,"1OYR","5","4"
"WURNO","Bw",20,36,NA,NA,NA,"1OYR","6","6"
"WURNO","C",36,53,NA,NA,NA,"1OYR","6","6"
