"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"MERRIMAC",288233,TRUE,2010,FALSE,TRUE
"HOOSIC",137949,TRUE,2000,FALSE,TRUE
"DUTCHESS",128660,FALSE,2000,TRUE,FALSE
"ALTON",108221,FALSE,2011,FALSE,TRUE
"DUMMERSTON",100839,FALSE,2001,FALSE,TRUE
"CARDIGAN",91951,FALSE,2012,FALSE,TRUE
"ELKA",65178,FALSE,1999,FALSE,TRUE
"CHOCORUA",49871,FALSE,2000,FALSE,TRUE
"TORONTO",39592,FALSE,2022,FALSE,TRUE
"PAWCATUCK",31316,FALSE,2000,FALSE,TRUE
"WAUMBEK",29849,TRUE,1998,FALSE,TRUE
"BOURBON",29332,FALSE,2021,FALSE,TRUE
"DORVAL",28874,FALSE,2004,FALSE,TRUE
"MACHIAS",26523,FALSE,2006,TRUE,FALSE
"WESTBROOK",23860,TRUE,2000,FALSE,TRUE
"MARTISCO",21934,FALSE,2021,FALSE,TRUE
"POCONO",20498,FALSE,1987,TRUE,FALSE
"WILPOINT",18386,FALSE,1988,TRUE,FALSE
"PROCHASKA",16610,FALSE,2021,FALSE,TRUE
"MUNSON",15251,FALSE,1997,FALSE,TRUE
"SQUAMSCOTT",15193,FALSE,1997,FALSE,TRUE
"GLENNIE",15146,FALSE,2001,FALSE,TRUE
"SHAKER",14259,FALSE,1999,FALSE,TRUE
"OSSIPEE",13017,FALSE,2000,FALSE,TRUE
"MOOSABEC",11821,FALSE,2007,FALSE,TRUE
"HITCHCOCK",9707,FALSE,1998,FALSE,TRUE
"ENOSBURG",9275,FALSE,1998,TRUE,FALSE
"CHEEKTOWAGA",9044,FALSE,2011,FALSE,TRUE
"AYR",8234,FALSE,2022,FALSE,TRUE
"HAIGHTS",6565,FALSE,2000,FALSE,TRUE
"HEMPSTEAD",6195,FALSE,2000,FALSE,TRUE
"COESSE",5362,FALSE,2007,FALSE,TRUE
"BERGEN",3992,FALSE,2004,FALSE,TRUE
"LAGROSS",3896,FALSE,2000,FALSE,TRUE
"SIMONIN",3609,FALSE,2004,FALSE,TRUE
"SUCCESS",2516,FALSE,2001,FALSE,TRUE
"FRESHKILLS",1291,FALSE,2014,TRUE,FALSE
"ROCKMILL",1093,FALSE,2021,FALSE,TRUE
"WEIDER",1079,FALSE,2000,FALSE,TRUE
"PAVILION",867,FALSE,2004,FALSE,TRUE
"MIKADO",NA,FALSE,NA,TRUE,FALSE
