"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ACKWATER","Bt1",13,23,NA,NA,NA,"lOYR","5","6"
"ACKWATER","Bt2",23,41,NA,NA,NA,"lOYR","5","8"
"ALAMUCHEE","Bwl",13,33,NA,NA,NA,"10YR","4","4"
"ALDERFLATS","Btgl",13,30,NA,NA,NA,"5Y","5","2"
"ANDRY","022",15,0,NA,NA,NA,"10YR","3","2"
"ANDRY","021",30,15,NA,NA,NA,"10YR","3","2"
"BAHIAHONDA","Cgl",89,173,NA,NA,NA,"10YR","8","1"
"BEECH GROVE","Oi",3,0,NA,NA,NA,NA,NA,NA
"BELHAVEN","Oal",23,33,NA,NA,NA,"5YR","2.5","2"
"BENNDALE","Btl",13,28,NA,NA,NA,"10YR","5","6"
"BLICHTON","Btvgl",76,114,NA,NA,NA,"N","4","0"
"BODINE","0e",0,3,NA,NA,NA,"10YR","2","2"
"BOURNE","0i",0,3,NA,NA,NA,NA,NA,NA
"BRIGHTON","Oap",0,30,NA,NA,NA,"l0YR","2","1"
"BROCKROAD","01",0,5,NA,NA,NA,NA,NA,NA
"BURROWSVILLE","A",0,8,NA,NA,NA,"lOYR","5","2"
"BURROWSVILLE","E",8,36,NA,NA,NA,"lOYR","6","4"
"BURROWSVILLE","Bt",36,64,NA,NA,NA,"lOYR","6","4"
"BURROWSVILLE","Btx",64,97,NA,NA,NA,"lOYR","5","6"
"CAROLINE","0i",0,5,NA,NA,NA,NA,NA,NA
"CHEAHA","0i",0,3,NA,NA,NA,NA,NA,NA
"CHRISTIAN","Btl",15,38,NA,NA,NA,"5YR","5","8"
"COLFAX","0i",3,3,NA,NA,NA,NA,NA,NA
"DEMORY","0a",0,8,NA,NA,NA,"10YR","2","1"
"EATON","Btgl",76,84,NA,NA,NA,"10YR","5","1"
"ELLOREE","Btgl",58,69,NA,NA,NA,"10YR","5","2"
"ELLOREE","BCgl",107,135,NA,NA,NA,"10YR","6","1"
"EUREKA","Btgl",28,51,NA,NA,NA,"N","5","0"
"FORK","0i",0,3,NA,NA,NA,NA,NA,NA
"FORK","0e",3,5,NA,NA,NA,"10YR","3","2"
"FORTUNA","B2lg",13,23,NA,NA,NA,"5GY","4","1"
"FREELAND","Btl",33,51,NA,NA,NA,"10YR","4","4"
"GRIFFITH","Al",25,56,NA,NA,NA,"5Y","3","1"
"GRITNEY","Btl",23,43,NA,NA,NA,"10YR","5","6"
"KEYESPOINT","Bgl",18,46,NA,NA,NA,"10YR","4","2"
"LAROQUE","0i",0,3,NA,NA,NA,NA,NA,NA
"LEDWITH","0a",0,23,NA,NA,NA,"10YR","3","3"
"MATTAPONI","0i",0,3,NA,NA,NA,NA,NA,NA
"MCLAURIN","Btl",36,51,NA,NA,NA,"5YR","5","6"
"MONTROSS","0i",0,5,NA,NA,NA,NA,NA,NA
"NATCHEZ","0i",0,3,NA,NA,NA,NA,NA,NA
"NEWBERN","Ap",0,13,NA,NA,NA,"1OYR","5","4"
"NEWBERN","Bw",13,33,NA,NA,NA,"1OYR","6","6"
"NEWBERN","Cr",33,46,NA,NA,NA,"1OYR","6","8"
"NEWFLAT","0i",0,3,NA,NA,NA,NA,NA,NA
"NEWHAN","A",0,5,NA,NA,NA,"l0YR","5","2"
"NEWHAN","C1",5,127,NA,NA,NA,"l0YR","7","2"
"NEWHAN","C2",127,183,NA,NA,NA,"l0YR","7","2"
"OAKLIMETER","Bwl",28,51,NA,NA,NA,"10YR","5","4"
"OKEECHOBEE","0a",20,71,NA,NA,NA,"5YR","2","1"
"OPENLAKE","Bgl",18,33,NA,NA,NA,"10YR","4","2"
"ORENDA","0i",0,3,NA,NA,NA,NA,NA,NA
"PAILO","Btl",43,89,NA,NA,NA,NA,NA,NA
"PAMUNKEY","2C",117,203,NA,NA,NA,"1OYR","5","6"
"PARTLOW","Btgl",38,53,NA,NA,NA,"10YR","5","1"
"PETAL","Btl",20,43,NA,NA,NA,"5YR","5","8"
"POCATY","0i",0,30,NA,NA,NA,"10YR","2","2"
"POCATY","0e",30,51,NA,NA,NA,"10YR","2","2"
"POCATY","0a1",51,104,NA,NA,NA,"10YR","2","1"
"POCATY","0a2",104,122,NA,NA,NA,"10YR","2","1"
"POCATY","0a3",122,152,NA,NA,NA,"10YR","4","1"
"PUNTA","A",0,10,NA,NA,NA,"l0YR","4",NA
"PUNTA","E1",10,28,NA,NA,NA,"l0YR","6","2"
"PUNTA","E2",28,145,NA,NA,NA,"l0YR","8",NA
"RAPPAHANNOCK","0a1",0,41,NA,NA,NA,"10YR","3","2"
"RAPPAHANNOCK","0a2",41,76,NA,NA,NA,"10YR","3","1"
"RAPPAHANNOCK","0a3",76,104,NA,NA,NA,"10YR","2","2"
"RAPPAHANNOCK","0'a",160,190,NA,NA,NA,"10YR","2","1"
"RED HILLS","Oi",3,0,NA,NA,NA,NA,NA,NA
"REMLIK","0i",0,5,NA,NA,NA,NA,NA,NA
"REPARADA","110C",46,15,NA,NA,NA,"10YR","2","1"
"ROME","Btl",23,51,NA,NA,NA,"7.5YR","5","6"
"SEKIL","0i",0,3,NA,NA,NA,NA,NA,NA
"SEKIL","0e",3,5,NA,NA,NA,"10YR","2","1"
"SOCO","0i",0,5,NA,NA,NA,NA,NA,NA
"STECOAH","0i",0,3,NA,NA,NA,NA,NA,NA
"SURRENCY","0i",0,3,NA,NA,NA,NA,NA,NA
"SWAFFORD","Btl",20,30,NA,NA,NA,"7.5YR","4","6"
"TALANTE","Alg",10,25,NA,NA,NA,"10YR","5","2"
"TALANTE","Blg",25,46,NA,NA,NA,"10YR","5","3"
"TALLADEGA","0i",0,5,NA,NA,NA,NA,NA,NA
"TRENHOLM","Btl",30,51,NA,NA,NA,"10YR","5","6"
"TRENHOLM","Cl",91,114,NA,NA,NA,"10YR","5","8"
"TRENHOLM","A",NA,5,NA,NA,NA,"10YR","3","1"
"TUCKAHOE","Bwl",43,76,NA,NA,NA,"10YR","4","3"
"VERO","Al",0,18,NA,NA,NA,"10YR","2","1"
"VERO","Btgl",81,122,NA,NA,NA,"10YR","6","2"
"VERO","Cg1l",157,203,NA,NA,NA,"5GY","5","1"
"VICKSBURG","Cl",18,71,NA,NA,NA,"10YR","4","3"
"WANDO","Cl",20,89,NA,NA,NA,"7.5YR","5","8"
"WEEKSVILLE","Cgl",114,152,NA,NA,NA,"10YR","6","1"
"WESTWEGO","II02bg",53,91,NA,NA,NA,"N","2","0"
"YULEE","0i",0,5,NA,NA,NA,NA,NA,NA
"ZUBER","Btl",38,51,NA,NA,NA,"10YR","4","4"
