"soilseriesname","errorkind","context","mlraoffice"
"ABARCA","DUPLICATION OF HEADERS","[ESP: 0 to 15 percent]","bozeman, mt"
"ADAMSON","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"ADGER","DUPLICATION OF HEADERS","[SAR:  13 to 30]","bozeman, mt"
"ADIOS","MULTILINE TYPICAL PEDON","[number of multilines=7]","bozeman, mt"
"AGUILAR","DUPLICATION OF HEADERS","[SAR:  15 to 35]","bozeman, mt"
"AIKMAN","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"ALICEL","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"ALKIRIDGE","MULTILINE TYPICAL PEDON","[number of multilines=6]","bozeman, mt"
"ALLENTINE","DUPLICATION OF HEADERS","[SAR: 2 to 10]","bozeman, mt"
"ALONA","DUPLICATION OF HEADERS","[SAR:  2 to 10]","bozeman, mt"
"ALZADA","DUPLICATION OF HEADERS","[SAR:  0 to 13]","bozeman, mt"
"AMPAD","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"AMSTERDAM","DUPLICATION OF HEADERS","[NOTE:  This horizon contains volcanic ash material or is influenced by volcanic ash.]","bozeman, mt"
"ANAMAC","DUPLICATION OF HEADERS","[SAR: 13 to 40]","bozeman, mt"
"ANSARI","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"ANTELOPEFLAT","DUPLICATION OF HEADERS","[SAR:  1 to 3,SAR:  2 to 4]","bozeman, mt"
"ANTILON","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"APPLEGATE","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"ARDENMONT","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"ARMITAGE","DUPLICATION OF HEADERS","[SAR:  15 to 25]","bozeman, mt"
"ASHOLLER","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"AWITAVA","DUPLICATION OF HEADERS","[SAR:  0 to 2]","bozeman, mt"
"BALAAM","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"BALDRIDGE","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"BANDID","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"BARLOW","DUPLICATION OF HEADERS","[RANGE IN CHARACTERISTICS:  The mean annual soil temperature ranges from 40 degrees to 47 degrees F. The average summer soil temperature is less than 47 degrees F. with an 0 horizon. The soils have an udic moisture regime. The driest period is in the summer but the soils are dry for less than 45 consecutive days. Depth to bedrock is 60 inches or more.  Depth to stony glacial till ranges from 15 to 30 inches. Thickness of the solum ranges from 15 to 24 inches. The 10- to 40-inch control section has less than an average of 10 percent clay and has 20 to 30 percent sand coarser than very fine sand.,TYPE LOCATION:  Clackamas County, Oregon; 200 feet west of the Timberline Highway; NE1/4 NE1/4 section 18, T.3S., R.9E. W.M.]","bozeman, mt"
"BARLOW","DUPLICATE STANDARD SECTIONS","[RANGE IN CHARACTERISTICS,TYPE LOCATION]","bozeman, mt"
"BARLOW","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
