"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"SCOUT",359523,FALSE,2008,FALSE,TRUE
"ANGOSTURA",289383,TRUE,1999,FALSE,TRUE
"NEVINE",284920,FALSE,2005,TRUE,TRUE
"NEWBELL",253538,FALSE,2009,FALSE,TRUE
"SKALAN",243062,FALSE,2005,TRUE,FALSE
"AITS",240391,TRUE,2004,FALSE,TRUE
"PHILLCHER",237831,FALSE,2008,FALSE,TRUE
"WALDBILLIG",209642,FALSE,2008,FALSE,TRUE
"CATAMOUNT",176490,FALSE,2010,FALSE,TRUE
"TOSCA",166821,FALSE,1998,FALSE,TRUE
"JERU",166542,FALSE,2005,FALSE,TRUE
"LEGAULT",164320,FALSE,2010,FALSE,TRUE
"RATON",121996,FALSE,2007,FALSE,TRUE
"PEND OREILLE",118030,FALSE,2005,FALSE,TRUE
"HUCKLE",117202,FALSE,2013,FALSE,TRUE
"MESA",105106,TRUE,2017,TRUE,FALSE
"PETTY",99463,FALSE,2008,FALSE,TRUE
"VASSAR",97604,TRUE,2012,FALSE,TRUE
"WAPAL",96178,FALSE,2005,FALSE,TRUE
"GRENADIER",78512,FALSE,1999,FALSE,TRUE
"LAGALL",72319,FALSE,2005,FALSE,TRUE
"DRYADINE",70786,FALSE,2008,FALSE,TRUE
"TROUTVILLE",70469,FALSE,1999,FALSE,TRUE
"BEESKOVE",66770,FALSE,2004,FALSE,TRUE
"MOHAGGIN",62654,FALSE,2005,FALSE,TRUE
"SAN ARCACIO",61688,FALSE,2003,FALSE,TRUE
"SHARROTT",60922,FALSE,2008,FALSE,TRUE
"ST. MARYS",59099,FALSE,2003,FALSE,TRUE
"ELKNER",55262,FALSE,2008,FALSE,TRUE
"CAMBARGE",53099,FALSE,1999,FALSE,TRUE
"LEDGEFORK",51427,FALSE,1999,FALSE,TRUE
"LEADVILLE",51290,FALSE,1999,FALSE,TRUE
"WINNEMUCCA",50322,FALSE,1999,TRUE,FALSE
"KOOTENAI",48097,FALSE,2002,TRUE,FALSE
"HUN",46882,FALSE,2005,FALSE,TRUE
"UPSATA",45466,FALSE,2008,FALSE,TRUE
"EMBLEM",43489,TRUE,1999,FALSE,TRUE
"WOODROCK",43062,FALSE,2005,FALSE,TRUE
"HOSKIN",42483,FALSE,2003,TRUE,TRUE
"GRANATH",42192,FALSE,1999,FALSE,TRUE
"NORTHSTAR",42149,FALSE,2005,FALSE,TRUE
"PLATORO",38487,FALSE,1999,FALSE,TRUE
"SCRABBLERS",37521,FALSE,2011,TRUE,TRUE
"TODDLER",36561,FALSE,2003,FALSE,TRUE
"UMATILLA",36394,FALSE,2005,FALSE,TRUE
"BADWATER",36360,FALSE,2004,FALSE,TRUE
"JUMPSTART",35819,FALSE,2005,FALSE,TRUE
"TELCHER",33847,FALSE,2005,FALSE,TRUE
"CARIBOURIDGE",33639,FALSE,2004,FALSE,TRUE
"TURNERVILLE",32824,FALSE,2005,FALSE,TRUE
"TECOLOTE",31805,FALSE,2007,FALSE,TRUE
"MARTELLA",30519,FALSE,2005,TRUE,FALSE
"SCAR",30338,FALSE,2005,TRUE,TRUE
"PARLIN",30042,FALSE,1999,TRUE,TRUE
"GAPPMAYER",28406,FALSE,1999,TRUE,TRUE
"ASHCROFT",28291,FALSE,2022,FALSE,TRUE
"RALEIGH",28000,FALSE,2010,FALSE,TRUE
"TEX",27495,FALSE,1999,TRUE,TRUE
"LASSEL",27262,FALSE,1999,FALSE,TRUE
"TROUT CREEK",27104,FALSE,2009,TRUE,FALSE
"FLATSTONE",26920,FALSE,2004,FALSE,TRUE
"YELJACK",26715,FALSE,1999,FALSE,TRUE
"HALL RANCH",26588,FALSE,2004,TRUE,FALSE
"NANAMKIN",26496,FALSE,2005,FALSE,TRUE
"QUIETUS",26429,FALSE,2005,FALSE,TRUE
"SULOAF",25850,FALSE,2005,FALSE,TRUE
"JIMLAKE",25740,FALSE,2008,FALSE,TRUE
"SHERLOCK",25365,FALSE,2005,FALSE,TRUE
"WOODPASS",25244,FALSE,1999,FALSE,TRUE
"YANKEE",24933,FALSE,1999,FALSE,TRUE
"HARKERS",24828,TRUE,1997,TRUE,TRUE
"RISWOLD",24658,FALSE,2005,FALSE,TRUE
"SANDBENCH",24578,FALSE,2000,TRUE,TRUE
"SARATON",24276,FALSE,1999,TRUE,TRUE
"MACFARLANE",23177,FALSE,2005,FALSE,TRUE
"SLY",22092,FALSE,2005,FALSE,TRUE
"TORCHLIGHT",21904,FALSE,1997,FALSE,TRUE
"CRACKERCREEK",21525,FALSE,2004,FALSE,TRUE
"KEGEL",21186,FALSE,2005,FALSE,TRUE
"OLEO",20939,FALSE,2005,FALSE,TRUE
"LACY",20920,FALSE,2009,FALSE,TRUE
"REDCLOUD",20899,FALSE,1999,TRUE,TRUE
"COEROCK",19986,FALSE,2004,FALSE,TRUE
"SHINEBERGER",19720,FALSE,2012,TRUE,FALSE
"RANDMAN",19473,FALSE,2003,TRUE,TRUE
"LOLOPEAK",19087,FALSE,2008,FALSE,TRUE
"TORSIDO",18993,FALSE,2003,TRUE,TRUE
"FELTNER",18833,FALSE,1999,FALSE,TRUE
"VILLA GROVE",18542,FALSE,1999,FALSE,TRUE
"STIEN",18422,FALSE,2005,FALSE,TRUE
"KIEHL",18267,FALSE,2005,FALSE,TRUE
"BOBTAIL",17832,FALSE,2010,TRUE,TRUE
