"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ABORIGINE","4Btgl",125,147,"10YR","4","8","10YR","6","1"
"ACADEMY","Blt",15,30,"7.5YR","3","3","7.5YR","3","2"
"ACADEMY","B2lt",30,51,"5YR","4","3","5YR","3","4"
"AGUA DULCE","Cl",51,102,"10YR","6","4","10YR","5","4"
"AHART","Al",0,20,"10YR","3","3","10YR","3","2"
"AHWAHNEE","Al",0,3,"10YR","5","2","10YR","3","2"
"AINAKEA","Bwl",25,46,"10YR","3","4","7.5YR","3","4"
"ALAMBIQUE","0",8,0,NA,NA,NA,NA,NA,NA
"ALBUS","Blt",20,36,"5Y","6","3","5Y","4","3"
"ALBUS","B2lt",36,66,"5Y","7","3","5Y","4","4"
"ALTHOUSE","0i",3,8,NA,NA,NA,NA,NA,NA
"ALVISO","Clg",13,36,"5Y","6","1","5Y","4","1"
"ALVODEST","Aknzl",0,5,"10YR","7","2","10YR","4","3"
"ALVODEST","Bknzl",15,38,"10YR","5","2","10YR","3","3"
"APTOS","0",3,23,NA,NA,NA,NA,NA,NA
"ARKRIGHT","Oi",3,0,NA,NA,NA,NA,NA,NA
"ASABEAN","0",5,23,NA,NA,NA,NA,NA,NA
"ASTA","01",3,5,NA,NA,NA,NA,NA,NA
"ASTA","02",5,3,NA,NA,NA,NA,NA,NA
"BANADERU","Al",0,3,"5YR","2.5","2",NA,NA,NA
"BANADERU","0i",3,0,NA,NA,NA,NA,NA,NA
"BANCAS","01",1,0,NA,NA,NA,NA,NA,NA
"BARPEAK","Oi",5,0,NA,NA,NA,NA,NA,NA
"BEARGULCH","Oi",3,0,NA,NA,NA,NA,NA,NA
"BEZO","2Byl",8,18,"10YR","6","3","10YR","4","3"
"BIGELOW","01",3,13,NA,NA,NA,NA,NA,NA
"BIGHILL","0",3,0,NA,NA,NA,NA,NA,NA
"BLANKOUT","Oi",3,0,NA,NA,NA,NA,NA,NA
"BOOMTOWN","All",0,8,"l0YR","4","2","l0YR","2","2"
"BOOMTOWN","02",8,0,NA,NA,NA,NA,NA,NA
"BOOMTOWN","0l",10,8,NA,NA,NA,NA,NA,NA
