"soilseriesname","errorkind","context","mlraoffice"
"AGATE","MULTILINE TYPICAL PEDON","[number of multilines=3]","davis, ca"
"ARAND","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"ASPARAS","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"ASPENLAKE","MULTILINE TYPICAL PEDON","[number of multilines=2]","davis, ca"
"AZABACHE","DUPLICATION OF HEADERS","[SAR: 20 to 30]","davis, ca"
"BANDBOX","DUPLICATION OF HEADERS","[SAR: 13 to 30]","davis, ca"
"BARHISKEY","MULTILINE TYPICAL PEDON","[number of multilines=2]","davis, ca"
"BIGTOM","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"BOBKNOLL","DUPLICATION OF HEADERS","[SAR:  0 to 2]","davis, ca"
"BOOTH","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"BRAMWELL","MULTILINE TYPICAL PEDON","[number of multilines=4]","davis, ca"
"BRIMHALL","DUPLICATION OF HEADERS","[SAR: 5 to 35]","davis, ca"
"BUNKIN","DUPLICATION OF HEADERS","[SAR: 0 to 4]","davis, ca"
"CALGRO","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"CALLA","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"CASMOS","DUPLICATION OF HEADERS","[SAR: 0 to 10]","davis, ca"
"CHIMROCK","DUPLICATION OF HEADERS","[SAR: 0 to 30]","davis, ca"
"COLEMAN","MULTILINE TYPICAL PEDON","[number of multilines=5]","davis, ca"
"COYATA","MULTILINE TYPICAL PEDON","[number of multilines=3]","davis, ca"
"CROY","DUPLICATION OF HEADERS","[SAR: 0 to 13]","davis, ca"
"DAROW","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"DECOROCK","DUPLICATION OF HEADERS","[SAR:  0 to 1]","davis, ca"
"ECON","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"FLATTOP","SECTION HEADINGS",NA,"davis, ca"
"FOY","DUPLICATION OF HEADERS","[SAR:  0 to 5]","davis, ca"
"GABALDON","MULTILINE TYPICAL PEDON","[number of multilines=3]","davis, ca"
"GAPPMAYER","SECTION HEADINGS",NA,"davis, ca"
"GAPPMAYER","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"GEPPERT","MULTILINE TYPICAL PEDON","[number of multilines=1]","davis, ca"
"GILSTON","DUPLICATION OF HEADERS","[SAR:  5 to 13]","davis, ca"
"GOOLAWAY","MULTILINE TYPICAL PEDON","[number of multilines=5]","davis, ca"
"GRASSYTRAIL","DUPLICATION OF HEADERS","[SAR:  0 to 1,SAR:  0 to 2]","davis, ca"
"GRAZANE","DUPLICATION OF HEADERS","[SAR: 5 to 13]","davis, ca"
"GRUNNELL","DUPLICATION OF HEADERS","[SAR:  0 to 2]","davis, ca"
"GUBEN","MULTILINE TYPICAL PEDON","[number of multilines=5]","davis, ca"
