"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"TOLLHOUSE",304278,FALSE,2004,FALSE,TRUE
"INVILLE",200747,FALSE,2004,FALSE,TRUE
"LINNE",174764,TRUE,2001,FALSE,TRUE
"WOODSEYE",164206,FALSE,2004,TRUE,FALSE
"JAYAR",130798,FALSE,2001,TRUE,FALSE
"DUBAKELLA",124915,TRUE,2004,TRUE,FALSE
"ATRING",118703,FALSE,1999,TRUE,FALSE
"SUR",113597,FALSE,2003,TRUE,TRUE
"ZENI",95269,FALSE,2003,TRUE,FALSE
"SANHEDRIN",94194,FALSE,1998,FALSE,TRUE
"BOOTH",88416,FALSE,1997,TRUE,FALSE
"TEGURO",83039,FALSE,2011,FALSE,TRUE
"MCNULL",79953,FALSE,1997,TRUE,TRUE
"YELLOWHOUND",79825,FALSE,2003,TRUE,FALSE
"TOEM",76210,FALSE,2004,FALSE,TRUE
"REALLIS",73361,FALSE,1999,TRUE,FALSE
"SATTLEY",72840,FALSE,2008,TRUE,FALSE
"IRMULCO",69805,FALSE,2003,TRUE,TRUE
"KINKEL",68813,FALSE,2004,TRUE,FALSE
"PINEHURST",65837,FALSE,2004,TRUE,FALSE
"GRALIC",65561,FALSE,2007,FALSE,TRUE
"FREEZENER",65371,FALSE,2003,TRUE,FALSE
"NEER",64731,FALSE,2004,TRUE,FALSE
"PACIFICO",64162,FALSE,1987,TRUE,TRUE
"SHAKESPEARE",64083,FALSE,2004,FALSE,TRUE
"KANID",62831,FALSE,1999,TRUE,FALSE
"CARIS",58762,FALSE,2001,TRUE,FALSE
"KISTIRN",58687,FALSE,2003,TRUE,FALSE
"JUNIPERO",58546,FALSE,2003,TRUE,TRUE
"KYBURZ",57763,FALSE,2004,TRUE,FALSE
"KINDIG",56767,FALSE,1998,TRUE,FALSE
"ACKER",54456,FALSE,2000,TRUE,FALSE
"TIERRA",52664,FALSE,1997,TRUE,FALSE
"DOME",51265,FALSE,2004,TRUE,TRUE
"FELTON",48157,FALSE,2003,TRUE,TRUE
"KEKAWAKA",47303,FALSE,1987,TRUE,TRUE
"SMOKEY",45817,FALSE,2004,TRUE,TRUE
"JIMMERSON",45740,FALSE,2004,TRUE,TRUE
"DUMONT",45035,FALSE,1997,TRUE,FALSE
"CANNELL",44084,FALSE,2004,TRUE,FALSE
"POLLARD",42760,FALSE,1997,TRUE,FALSE
"TOADLAKE",42463,FALSE,1997,TRUE,FALSE
"SOPER",42430,FALSE,2003,TRUE,TRUE
"AVIS",41776,FALSE,2006,TRUE,FALSE
"BANCAS",40343,FALSE,2003,TRUE,TRUE
"RODAD",39928,FALSE,2003,TRUE,FALSE
"SCARFACE",39515,FALSE,2004,TRUE,FALSE
"TYSON",38292,FALSE,1998,TRUE,FALSE
"LYONSVILLE",35427,FALSE,2004,TRUE,TRUE
"UMPA",34476,FALSE,2004,FALSE,TRUE
"NORLING",33533,FALSE,2000,TRUE,FALSE
"DEHAVEN",32965,FALSE,2003,TRUE,FALSE
"TALLOWBOX",32878,FALSE,2003,TRUE,FALSE
"MERCED",32376,FALSE,1997,FALSE,TRUE
"PONTO",32071,FALSE,2004,TRUE,FALSE
"LANDLOW",31634,FALSE,1997,FALSE,TRUE
"ISHI PISHI",31348,FALSE,1997,TRUE,TRUE
"BAMTUSH",30457,FALSE,1997,TRUE,FALSE
"TRAMWAY",30435,FALSE,2003,TRUE,FALSE
"LOVENESS",30180,FALSE,2004,TRUE,FALSE
"HOTEL",29298,FALSE,2003,TRUE,TRUE
"REVIT",28828,FALSE,2007,TRUE,FALSE
"SHASTA",28773,FALSE,2004,TRUE,FALSE
"VANDAMME",28257,FALSE,2003,TRUE,TRUE
"VOORHIES",27693,FALSE,2003,TRUE,TRUE
"OMNI",26565,FALSE,2001,FALSE,TRUE
"SKYMOR",26201,FALSE,2001,TRUE,TRUE
"CRAFTON",25736,FALSE,2003,TRUE,TRUE
"SURNUF",25254,FALSE,2004,TRUE,FALSE
"MONSERATE",25101,FALSE,2003,FALSE,TRUE
"ALTHOUSE",24943,FALSE,2000,TRUE,TRUE
"FONTANA",24847,FALSE,2003,FALSE,TRUE
"STEUBER",24816,FALSE,1999,TRUE,TRUE
"ORAGRAN",24649,FALSE,2009,FALSE,TRUE
"OUTLAND",24109,FALSE,2008,TRUE,FALSE
"OOSEN",23466,FALSE,2007,TRUE,TRUE
"COBOC",22702,FALSE,1993,TRUE,FALSE
"SKYHIGH",22653,FALSE,1997,TRUE,TRUE
"LEDFORD",22483,FALSE,2004,TRUE,TRUE
"CHINEN",22301,FALSE,2006,TRUE,FALSE
"ROSSI",21823,FALSE,1997,TRUE,FALSE
"PERDIN",21719,FALSE,1997,TRUE,TRUE
"OFFENBACHER",20956,FALSE,2001,TRUE,FALSE
"ILLER",20275,FALSE,2022,TRUE,TRUE
"STRAIGHT",20066,FALSE,1999,TRUE,FALSE
