"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"CHEROKEE","2Btgl",38,66,NA,NA,NA,"10YR","3","2"
"COLP","2Btgl",122,140,NA,NA,NA,"2.5Y","6","2"
"DANA","Btl",28,38,NA,NA,NA,"10YR","4","4"
"ELVERS","0a",89,152,NA,NA,NA,"10YR","2","1"
"SHADELAND","2Btl",41,56,NA,NA,NA,"10YR","5","8"
"STATELINE","2Btgl",46,61,NA,NA,NA,"5Y","5","2"
"STOY","El",15,23,NA,NA,NA,"10YR","6","4"
"STOY","Btl",41,53,"10YR","7","1","10YR","5","8"
"STOY","Btxl",81,91,NA,NA,NA,"10YR","5","2"
"WAUBEEK","Btl",33,48,NA,NA,NA,"10YR","4","3"
