"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ALDERFLATS","Btgl",13,30,NA,NA,NA,"5Y","5","2"
"AMWELL","Btxl",53,66,NA,NA,NA,"7.5YR","5","4"
"BAILEGAP","0i",0,1,NA,NA,NA,NA,NA,NA
"BEECH GROVE","Oi",3,0,NA,NA,NA,NA,NA,NA
"BODINE","0e",0,3,NA,NA,NA,"10YR","2","2"
"BRENTSVILLE","C",66,86,NA,NA,NA,"lOR","3","3"
"BRENTSVILLE","Cr",86,97,NA,NA,NA,"lOR","3","3"
"BRENTSVILLE","R",97,107,NA,NA,NA,"lOR","3","3"
"BUCKEYSTOWN","Btl",81,112,NA,NA,NA,"5YR","5","6"
"BUCKTON","Ap",0,18,NA,NA,NA,"l0YR","4","3"
"BUCKTON","Cl",18,46,NA,NA,NA,"l0YR","5","3"
"BUCKTON","C2",46,74,NA,NA,NA,"l0YR","4","3"
"BUCKTON","C3",74,122,NA,NA,NA,"l0YR","3","3"
"BUCKTON","2C",122,185,NA,NA,NA,"l0YR","4","3"
"BURKITTSVILLE","Btl",25,46,NA,NA,NA,"7.5YR","4","6"
"CALVERTON","A",0,5,NA,NA,NA,"l0YR","4","2"
"CALVERTON","E",5,25,NA,NA,NA,"l0YR","7","4"
"CALVERTON","Bt",25,48,NA,NA,NA,"l0YR","6","6"
"CALVERTON","Bx",48,74,NA,NA,NA,"l0YR","6","6"
"CAPTINA","2Btxl",64,99,NA,NA,NA,"10YR","5","4"
"CATLETT","0i",0,3,NA,NA,NA,NA,NA,NA
"CEDARCREEK","Cl",8,38,NA,NA,NA,NA,NA,NA
"CHENAULT","Ap",0,28,NA,NA,NA,"1OYR","4","3"
"CHENAULT","2Bt3",104,124,NA,NA,NA,"1OYR","4","4"
"CHRISTIAN","Btl",15,38,NA,NA,NA,"5YR","5","8"
"CLARKSVILLE","0i",0,3,NA,NA,NA,NA,NA,NA
"CLOVERLICK","0i",0,5,NA,NA,NA,NA,NA,NA
"DELASSUS","2Btxl",79,114,NA,NA,NA,"10YR","6","2"
"DRYPOND","Oi",10,0,NA,NA,NA,NA,NA,NA
"DYKE","Btl",20,36,NA,NA,NA,"10R","3","6"
"ELBERT","Btgl",30,56,NA,NA,NA,"5Y","4","1"
"FIVEBLOCK","Cl",15,64,NA,NA,NA,"10YR","4","3"
"GATTON","2Btx1",56,91,NA,NA,NA,"1OYR","5","4"
"GATTON","Ap",NA,15,NA,NA,NA,"1OYR","4","4"
"GOLDVEIN","0i",0,3,NA,NA,NA,NA,NA,NA
"GOLDVEIN","0e",3,5,NA,NA,NA,"10YR","3","1"
"GRANDGULF","Btl",33,56,NA,NA,NA,"10YR","3","4"
"JAY","Btxl",64,142,NA,NA,NA,"10YR","5","8"
"JAY","Ap",NA,23,"10YR","5","3","10YR","3","3"
"KNOBBY","Al",0,8,"10YR","5","2","10YR","3","1"
"LEW","0i",0,5,NA,NA,NA,NA,NA,NA
"LODI","Btl",18,28,NA,NA,NA,"7.5YR","5","6"
"MT. ZION","Apl",1,5,NA,NA,NA,"10YR","3","2"
"MT. ZION","Btl",30,48,NA,NA,NA,"10YR","5","6"
"NEWBERN","Ap",0,13,NA,NA,NA,"1OYR","5","4"
"NEWBERN","Bw",13,33,NA,NA,NA,"1OYR","6","6"
"NEWBERN","Cr",33,46,NA,NA,NA,"1OYR","6","8"
"ORISKANY","Oi",3,0,NA,NA,NA,NA,NA,NA
"PAILO","Btl",43,89,NA,NA,NA,NA,NA,NA
"PATE","Btl",15,36,NA,NA,NA,"10YR","4","3"
"PINEVILLE","Btl",28,61,NA,NA,NA,"10YR","6","6"
"RAVENROCK","Btl",18,41,NA,NA,NA,"5YR","4","6"
"RED HILLS","Oi",3,0,NA,NA,NA,NA,NA,NA
"ROCKCASTLE","02",3,0,NA,NA,NA,"10YR","2","1"
"ROCKCASTLE","01",8,3,NA,NA,NA,NA,NA,NA
"ROCKCASTLE","A1",NA,3,NA,NA,NA,"10YR","3","1"
"ROME","Btl",23,51,NA,NA,NA,"7.5YR","5","6"
"SECESH","Btl",28,48,NA,NA,NA,"7.5YR","5","6"
"SIDELING","Btl",30,74,NA,NA,NA,"7.5YR","5","6"
"SOCO","0i",0,5,NA,NA,NA,NA,NA,NA
"STECOAH","0i",0,3,NA,NA,NA,NA,NA,NA
"STOKLY","Bw",20,48,NA,NA,NA,"1OYR","5","3"
"STOKLY","Ap",NA,20,NA,NA,NA,"1OYR","4","2"
"SWAFFORD","Btl",20,30,NA,NA,NA,"7.5YR","4","6"
"SWIMLEY","Btl",23,36,NA,NA,NA,"5YR","4","4"
"SWISS","2Btl",23,41,NA,NA,NA,"5YR","5","6"
"TALLADEGA","0i",0,5,NA,NA,NA,NA,NA,NA
"THURMONT","0i",0,5,NA,NA,NA,NA,NA,NA
"THURMONT","0e",5,10,NA,NA,NA,NA,NA,NA
"TONTI","Btl",20,36,NA,NA,NA,"10YR","5","4"
"TONTI","2Btl",86,124,NA,NA,NA,"2.5YR","4","6"
"TREVLAC","Btl",33,51,NA,NA,NA,"10YR","5","6"
"WURNO","Ap",0,20,NA,NA,NA,"1OYR","5","4"
"WURNO","Bw",20,36,NA,NA,NA,"1OYR","6","6"
"WURNO","C",36,53,NA,NA,NA,"1OYR","6","6"
