"soilseriesname","errorkind","context","mlraoffice"
"AMBOY","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"ANDERSONTOWN","MULTILINE TYPICAL PEDON","[number of multilines=2]","morgantown, wv"
"ASHVILLE","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"ATSION","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Sandy, siliceous, mesic Aeric Alaquods]","morgantown, wv"
"ATSION","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"BALTIMORE","MULTILINE TYPICAL PEDON","[number of multilines=3]","morgantown, wv"
"BERKS","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"BRANDYWINE","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"BURKETOWN","MULTILINE TYPICAL PEDON","[number of multilines=2]","morgantown, wv"
"CALVERT","SECTION HEADINGS",NA,"morgantown, wv"
"CHICONE","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"CHILLUM","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-silty, mixed, semiactive, mesic Typic Hapludults]","morgantown, wv"
"CHILLUM","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"CHRISTIANA","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"CIDERMILL","MULTILINE TYPICAL PEDON","[number of multilines=3]","morgantown, wv"
"COLEMANTOWN","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine, glauconitic, mesic Typic Albaquults]","morgantown, wv"
"COLTS NECK","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, active, mesic Humic Hapludults]","morgantown, wv"
"COLTS NECK","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"COLYER","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"COOLVILLE","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"CRANSTON","MULTILINE TYPICAL PEDON","[number of multilines=2]","morgantown, wv"
"DONLONTON","MULTILINE TYPICAL PEDON","[number of multilines=5]","morgantown, wv"
"ELKTON","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-silty, mixed, active, mesic Typic Endoaquults]","morgantown, wv"
"ELKTON","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"ELLINGTON","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"EVENDALE","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"FAIRFAX","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"FENWICK","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"GALLOWAY","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Mesic, coated Aquic Quartzipsamments]","morgantown, wv"
"GALLOWAY","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"GREENWICH","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Coarse-loamy, mixed, semiactive, mesic Typic Hapludults]","morgantown, wv"
"HOLLYWOOD","MULTILINE TYPICAL PEDON","[number of multilines=5]","morgantown, wv"
"HURLOCK","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Coarse-loamy, siliceous, semiactive, mesic Typic Endoaquults]","morgantown, wv"
"HURLOCK","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"INGLESIDE","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Coarse-loamy, siliceous, semiactive, mesic Typic Hapludults]","morgantown, wv"
"INGLESIDE","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"KARS","MULTILINE TYPICAL PEDON","[number of multilines=4]","morgantown, wv"
"KENTUCK","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-silty, mixed, active, mesic Typic Umbraquults]","morgantown, wv"
"KENTUCK","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"KRESSON","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine, glauconitic, mesic Aquic Hapludults]","morgantown, wv"
"KRESSON","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE,TAXONOMIC CLASS]","morgantown, wv"
"LEIPSIC","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-silty, mixed, semiactive, mesic Aquic Hapludults]","morgantown, wv"
"LENBERG","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"MANOKIN","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, active, mesic Aquic Hapludults]","morgantown, wv"
"MATAWAN","MULTILINE TYPICAL PEDON","[number of multilines=5]","morgantown, wv"
"MILLROCK","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"MORRISON","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"MOSHANNON","MULTILINE TYPICAL PEDON","[number of multilines=5]","morgantown, wv"
"MOSHUP","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"MUIRKIRK","MULTILINE TYPICAL PEDON","[number of multilines=5]","morgantown, wv"
"OSSIPEE","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"PIANKESHAW","MULTILINE TYPICAL PEDON","[number of multilines=4]","morgantown, wv"
"PINEGROVE","MULTILINE TYPICAL PEDON","[number of multilines=4]","morgantown, wv"
"POMFRET","MULTILINE TYPICAL PEDON","[number of multilines=1]","morgantown, wv"
"QUAKERBRIDGE","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Mesic, coated Spodic Quartzipsamments]","morgantown, wv"
"QUEPONCO","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, semiactive, mesic Typic Hapludults]","morgantown, wv"
"QUINDOCQUA","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, active, mesic Typic Endoaquults]","morgantown, wv"
"RAINSBORO","MULTILINE TYPICAL PEDON","[number of multilines=3]","morgantown, wv"
"RARDEN","MULTILINE TYPICAL PEDON","[number of multilines=4]","morgantown, wv"
"SHELBYVILLE","MULTILINE TYPICAL PEDON","[number of multilines=6]","morgantown, wv"
"TENT","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-silty, mixed, active, mesic Typic Endoaquults]","morgantown, wv"
"TIZZARD","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Sandy over loamy, aniso, siliceous, subactive, nonacid, mesic Sulfic Fluvaquents]","morgantown, wv"
"TRUSSUM","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine, mixed, active, mesic Typic Paleaquults]","morgantown, wv"
"TRUSSUM","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"URBANA","MULTILINE TYPICAL PEDON","[number of multilines=4]","morgantown, wv"
"WOODMANSIE","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Coarse-loamy, siliceous, semiactive, mesic Typic Hapludults]","morgantown, wv"
"WOODMANSIE","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"WOODSTOWN","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, active, mesic Aquic Hapludults]","morgantown, wv"
"WOODSTOWN","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","morgantown, wv"
"WOOLPER","MULTILINE TYPICAL PEDON","[number of multilines=4]","morgantown, wv"
