"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AGUSTIN","Al",0,3,"7.5YR","5","4","7.5YR","4","4"
"AGUSTIN","Bkl",20,48,"7.5YR","5","4","7.5YR","4","4"
"AMOS","Clr",104,127,"10YR","6","4","5YR","5","6"
"AMOS","A1",NA,8,"10YR","5","3","10YR","4","3"
"ANDERGEORGE","Bkyl",56,107,"10YR","8","2","10YR","7","3"
"ASPARAS","All",0,5,"l0YR","5","2","l0YR","3","2"
"ASPARAS","Al2",5,18,"l0YR","4","2","l0YR","3","2"
"ASPARAS","B2lt",18,61,"l0YR","4","3","10YR","3","3"
"ASPARAS","B22t",NA,61,"7.5YR","5","2","7.5YR","4","2"
"BLACKMOUNT","Clcasa",25,107,"10YR","6","3","10YR","5","3"
"BODECKER","Apl",0,3,"7.5YR","5","3","7.5YR","4","3"
"BORIANA","0i",0,5,"10YR","4","2","10YR","3","3"
"BROBETT","A",0,8,NA,NA,NA,"l0YR","4","3"
"BROBETT","Bt",8,20,NA,NA,NA,"l0YR","6","3"
"BROBETT","Bqkl",20,76,NA,NA,NA,"l0YR","7","4"
"BROBETT","Bqkm",76,NA,NA,NA,NA,NA,NA,NA
"BROBETT","Bqk2",NA,76,NA,NA,NA,"l0YR","7","3"
"BROLLIAR","Al",3,8,"7.5YR","4","2","7.5YR","3","2"
"BURNSWICK","Bwl",8,28,"5YR","5","3","5YR","4","3"
"BURNSWICK","Bknl",41,74,"5YR","5","3","5YR","4","3"
"BUSHVALLEY","0i",0,3,NA,NA,NA,NA,NA,NA
"CALPAC","Al",0,8,NA,NA,NA,"10YR","4","3"
"CAMBERN","0i",0,3,NA,NA,NA,NA,NA,NA
"CAX","Bkql",46,56,"10YR","7","3","10YR","6","4"
"CAX","A",NA,10,"10YR","7","3","10YR","5","4"
"CEBOLLETA","Oi",3,0,NA,NA,NA,NA,NA,NA
"CENTENNIAL","2Bkml",56,74,"2.5Y","7","2","10YR","8","1"
"CHAMBERINO","Al",0,3,"10YR","6","3","10YR","4","3"
"CHILSON","0i",0,3,NA,NA,NA,NA,NA,NA
"CREST","0i",0,3,NA,NA,NA,NA,NA,NA
"CREST","0e",3,10,NA,NA,NA,NA,NA,NA
"DAHAR","Bw",15,30,NA,NA,NA,"l0YR","6","2"
"DAHAR","Bqk",30,69,NA,NA,NA,"l0YR","7","2"
"DAHAR","Bqk",69,109,NA,NA,NA,"l0YR","8","2"
"DAHAR","Bqkm",NA,69,NA,NA,NA,"l0YR","8","2"
"DANDREA","0i",0,3,NA,NA,NA,NA,NA,NA
"DEER CREEK","Al",0,8,NA,NA,NA,"10YR","4","2"
"DEER CREEK","Btl",25,36,NA,NA,NA,"10YR","4","2"
"ELLEDGE","0i",0,3,NA,NA,NA,NA,NA,NA
"ESS","0i",0,3,NA,NA,NA,NA,NA,NA
"FORREST","2Bkl",74,89,"5YR","6","6","5YR","5","6"
"GORDO","0i",0,3,NA,NA,NA,NA,NA,NA
"GREEN CANYON","Cl",41,58,"10YR","5","3","10YR","4","2"
"GREEN CANYON","All",NA,23,"10YR","4","2","10YR","3","2"
"HUPP","Al",0,15,NA,NA,NA,"10YR","5","2"
"JANEFALLS","Oi",5,0,NA,NA,NA,NA,NA,NA
"KAMATO","Btknzl",28,66,"5YR","5","4","5YR","4","4"
"KAMATO","An",NA,15,"10YR","6","4","10YR","4","4"
"KJAR","Cl",20,36,NA,NA,NA,"10YR","8","2"
"KNUTSEN","Apl",0,3,"10YR","5","2","10YR","3","1"
"KNUTSEN","Bwl",20,28,"10YR","5","2","10YR","3","2"
"LAS VEGAS","Al",0,3,"10YR","7","3","10YR","5","4"
"LEWISTON","Ckl",33,56,"10YR","7","2","10YR","6","2"
"LISADE","Al",0,5,NA,NA,NA,"7.5YR","6","2"
"LUNA","0i",0,1,NA,NA,NA,NA,NA,NA
"MAYFIELD","All",0,5,NA,NA,NA,"2.5Y","6","2"
"MCPHIE","Al",0,18,"10YR","3","2","10YR","2","2"
"MIRABAL","0e",0,3,NA,NA,NA,NA,NA,NA
"MOKIAK","Al",0,15,NA,NA,NA,"10YR","5","3"
"MOKIAK","Bl",15,28,NA,NA,NA,"10YR","5","3"
"MOUNTAINVILLE","Al",0,10,"10YR","5","3","10YR","3","3"
"MOUNTAINVILLE","Ckl",97,142,"10YR","8","3","10YR","6","3"
"NAHA","Al",0,5,"10YR","6","4","10YR","5","4"
"NAHA","2Cl",69,147,"10YR","6","3","10YR","3","4"
"NAHA","Bw1",NA,NA,"10YR","5","4","10YR","4","4"
"NAHA","Bw",NA,69,"10YR","6","4","10YR","5","4"
"ORDNANCE","02",3,5,NA,NA,NA,NA,NA,NA
"OSORIDGE","Btl",5,15,"2.5YR","4","4","2.5YR","3","4"
"OVERGAARD","Btl",28,53,"7.5YR","5","4","7.5YR","4","4"
"PARADISE","Al",0,15,"10YR","2","2",NA,NA,NA
"PARADISE","Bg",NA,97,"10YR","6","2",NA,NA,NA
"PETEETNEET","Oal",0,18,NA,NA,NA,"10YR","2","2"
"PIRODEL","Al",0,5,"7.5YR","6","4","7.5YR","4","4"
"PIRODEL","Bkl",23,74,"7.5YR","5","4","7.5YR","4","4"
"PIRODEL","Bk2",NA,74,"7.5YR","5","4","7.5YR","4","4"
"PITTMAN","Cl",5,15,"7.5YR","6","4","7.5YR","4","4"
"PITTMAN","Ckml",58,81,"7.5YR","8","2","7.5YR","5","4"
"PITTMAN","Ck3",127,NA,"7.5YR","6","4","7.5YR","4","4"
"PITTMAN","Ckl",NA,58,"7.5YR","6","4","7.5YR","4","4"
"PLEASANT VALE","Cl",43,61,"10YR","6","3","10YR","4","3"
"PLEGOMIR","A1",0,5,NA,NA,NA,"l0YR","5","3"
"PLEGOMIR","A2",5,13,NA,NA,NA,"l0YR","6","3"
"PLEGOMIR","Bqk",13,33,NA,NA,NA,"l0YR","7","4"
"POLICH","Bkl",58,102,"7.5YR","4","3","7.5YR","3","3"
"POLICH","2BCkl",122,147,"5YR","5","4","5YR","3","4"
"PRESTON","Cl",38,66,"10YR","5","4","10YR","4","4"
"PUICE","Al",0,5,"7.5YR","5","4","7.5YR","3","4"
"PUICE","Bkl",15,58,"10YR","8","2","l0YR","7","3"
"PUICE","Bk3",58,71,"l0YR","7","3","l0YR","5","3"
"PUICE","R",71,NA,NA,NA,NA,NA,NA,NA
"PUICE","Bk2",NA,58,"l0YR","7","2","l0YR","6","3"
"RAPHO","Al",0,10,NA,NA,NA,"10YR","6","3"
"RAPHO","Cl",10,28,NA,NA,NA,"7.5YR","7","3"
"RATONWEST","Oi",2,0,NA,NA,NA,NA,NA,NA
"RAYOHILL","Byl",3,64,"N","8","0","7.5YR","7","4"
"RAYOHILL","2R",91,NA,NA,NA,NA,NA,NA,NA
"RAYOHILL","By2",NA,64,"7.5YR","8","4","7.5YR","6","4"
"REDUN","Bnzl",30,61,"7.5YR","5","6","7.5YR","4","4"
"SAL","Btzl",5,18,"5YR","5","6","5YR","4","6"
"SALT LAKE","0i",5,0,NA,NA,NA,NA,NA,NA
"SANCHEZ","0i",0,5,NA,NA,NA,NA,NA,NA
"SAPELLO","A1",0,15,"1OYR","4","2","1OYR","3","2"
"SAPELLO","A2",15,25,"10YR","4","2","1OYR","3","2"
"SAPELLO","Bw1",25,40,"10YR","4","2","1OYR","3","2"
"SAPELLO","Bw2",40,93,"1OYR","5","2","1OYR","3","2"
"SAPELLO","Bk",93,152,"1OYR","4","2","1OYR","2","2"
"SCHMUTZ","Al",0,10,NA,NA,NA,"7.5YR","5","4"
"SELEVIN","Al",0,5,"5YR","4","4","5YR","3","4"
"SELEVIN","2Bt2",NA,NA,"2.5YR","4","4","2.5YR","3","4"
"SELEVIN","2Btk",NA,58,"2.5YR","4","4","2.5YR","3","4"
"SHEAR","Cl",8,51,"10YR","6","2","2.5Y","5","2"
"SIZER","0i",3,0,NA,NA,NA,NA,NA,NA
"SKYHAVEN","Bkyl",20,71,"7.5YR","8","2","7.5YR","8","4"
"SNOWVILLE","Al",0,8,"10YR","5","2","10YR","3","2"
"SPONIKER","0i",0,3,NA,NA,NA,NA,NA,NA
"SPUDROCK","Oi",3,0,NA,NA,NA,NA,NA,NA
"SUNRISE","All",0,5,"10YR","6","3","10YR","5","4"
"SUNRISE","Clca",28,53,"10YR","7","3","10YR","6","3"
"SUPERVISOR","0i",0,5,NA,NA,NA,NA,NA,NA
"TACAN","Al",0,20,NA,NA,NA,"2.5YR","4","4"
"TACAN","Cl",66,122,NA,NA,NA,"2.5YR","5","6"
"TAMPICO","0i",0,3,NA,NA,NA,NA,NA,NA
