"soilseriesname","errorkind","context","mlraoffice"
"AZABACHE","DUPLICATION OF HEADERS","[SAR: 20 to 30]","phoenix, az"
"BRIMHALL","DUPLICATION OF HEADERS","[SAR: 5 to 35]","phoenix, az"
"CHIMROCK","DUPLICATION OF HEADERS","[SAR: 0 to 30]","phoenix, az"
"CROY","DUPLICATION OF HEADERS","[SAR: 0 to 13]","phoenix, az"
"DECOROCK","DUPLICATION OF HEADERS","[SAR:  0 to 1]","phoenix, az"
"FLATTOP","SECTION HEADINGS",NA,"phoenix, az"
"GRAZANE","DUPLICATION OF HEADERS","[SAR: 5 to 13]","phoenix, az"
"GYPSEY","DUPLICATION OF HEADERS","[SAR: 0 to 3]","phoenix, az"
"HOPE","DUPLICATION OF HEADERS","[SAR:  0 to 3]","phoenix, az"
"JUANALO","DUPLICATION OF HEADERS","[SAR:  0 to 2]","phoenix, az"
"OAGAMATI","DUPLICATION OF HEADERS","[SAR:  13 to 40]","phoenix, az"
"PICLIFF","DUPLICATION OF HEADERS","[SAR: 1 to 5]","phoenix, az"
"SHUMBEGAY","DUPLICATION OF HEADERS","[SAR: 5 to 30]","phoenix, az"
"TOQUOP","SECTION HEADINGS",NA,"phoenix, az"
"TYENDE","DUPLICATION OF HEADERS","[SAR: 30 to 60]","phoenix, az"
"VERANO","SECTION HEADINGS",NA,"phoenix, az"
"YOGOVUCI","DUPLICATION OF HEADERS","[SAR:  1 to 13]","phoenix, az"
