"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"BROLLIAR",219224,TRUE,2005,FALSE,TRUE
"FORREST",164143,FALSE,1997,FALSE,TRUE
"ESS",162958,FALSE,2000,FALSE,TRUE
"MEDBURN",153214,TRUE,2003,TRUE,FALSE
"BUSHVALLEY",141101,FALSE,2000,FALSE,TRUE
"GORDO",109566,TRUE,2000,FALSE,TRUE
"AGUSTIN",109292,FALSE,2002,FALSE,TRUE
"OVERGAARD",92330,FALSE,2007,FALSE,TRUE
"BURNSWICK",83777,FALSE,2008,FALSE,TRUE
"MIRABAL",82472,FALSE,2012,FALSE,TRUE
"SUPERVISOR",79840,FALSE,2007,FALSE,TRUE
"VALENCIA",77823,FALSE,1997,TRUE,TRUE
"ASPARAS",73872,FALSE,2006,TRUE,TRUE
"CHAMBERINO",72998,FALSE,2000,FALSE,TRUE
"ELLEDGE",63549,FALSE,2003,FALSE,TRUE
"WHY",58481,FALSE,1997,FALSE,TRUE
"TAMPICO",58481,FALSE,1999,FALSE,TRUE
"PLEGOMIR",55542,FALSE,2003,FALSE,TRUE
"DEER CREEK",53654,FALSE,1997,FALSE,TRUE
"RANDSBURG",51860,FALSE,1997,TRUE,TRUE
"BODECKER",43629,FALSE,2012,FALSE,TRUE
"DAHAR",43269,FALSE,2001,TRUE,TRUE
"BALDY",42356,FALSE,2003,TRUE,FALSE
"PIRODEL",40501,FALSE,2006,TRUE,TRUE
"SPONIKER",40131,FALSE,2007,FALSE,TRUE
"MOKIAK",39741,FALSE,2006,FALSE,TRUE
"SELEVIN",38312,FALSE,2000,TRUE,TRUE
"PRESTON",34623,FALSE,1995,FALSE,TRUE
"LAS VEGAS",33473,FALSE,2008,FALSE,TRUE
"HUPP",30415,FALSE,1999,FALSE,TRUE
"CALPAC",29939,FALSE,2004,FALSE,TRUE
"SANCHEZ",27977,FALSE,2012,FALSE,TRUE
"CEBOLLETA",26654,FALSE,2000,TRUE,FALSE
"SAPELLO",26067,FALSE,2022,FALSE,TRUE
"PUICE",25947,FALSE,2006,TRUE,TRUE
"KAMATO",25940,FALSE,2003,TRUE,TRUE
"LUNA",23522,FALSE,2006,FALSE,TRUE
"REDUN",22717,FALSE,2000,FALSE,TRUE
"CHILSON",21020,FALSE,2000,FALSE,TRUE
"LEWISTON",19861,FALSE,2005,FALSE,TRUE
"BROBETT",17675,FALSE,2001,TRUE,TRUE
"TOBLER",17674,FALSE,2007,FALSE,TRUE
"SPUDROCK",17532,FALSE,2007,TRUE,FALSE
"MOUNTAINVILLE",15980,FALSE,2003,FALSE,TRUE
"ANDERGEORGE",14119,FALSE,2006,FALSE,TRUE
"SIZER",13909,FALSE,2000,TRUE,TRUE
"DANDREA",12952,FALSE,2006,FALSE,TRUE
"KNUTSEN",11742,FALSE,2003,FALSE,TRUE
"AMOS",11669,FALSE,2003,TRUE,TRUE
"UNGENE",11411,FALSE,2004,TRUE,FALSE
"WINDMILL",11299,FALSE,2001,FALSE,TRUE
"WILDCAT",11093,FALSE,2007,TRUE,TRUE
"CREST",10913,FALSE,2006,FALSE,TRUE
"SAL",10594,FALSE,1997,FALSE,TRUE
"SCHMUTZ",10324,FALSE,1992,FALSE,TRUE
"LUAP",10174,FALSE,2003,TRUE,FALSE
"NAHA",9689,FALSE,1997,TRUE,TRUE
"RAYOHILL",9521,FALSE,2000,TRUE,TRUE
"LISADE",8478,FALSE,2009,FALSE,TRUE
"SUNRISE",8417,FALSE,1997,FALSE,TRUE
"TACAN",7880,FALSE,2001,FALSE,TRUE
"PLEASANT VALE",5863,FALSE,2003,FALSE,TRUE
"RAPHO",5793,FALSE,2009,FALSE,TRUE
"SALT LAKE",5732,FALSE,1999,TRUE,TRUE
"PETEETNEET",5131,FALSE,2001,FALSE,TRUE
"SKYHAVEN",4834,FALSE,1997,FALSE,TRUE
"WOODS CROSS",4222,FALSE,1997,FALSE,TRUE
"MILLVILLE",3711,FALSE,1999,TRUE,FALSE
"TOBISH",3684,FALSE,2001,FALSE,TRUE
"CAMBERN",3489,FALSE,2000,FALSE,TRUE
"SHEAR",3198,FALSE,2001,FALSE,TRUE
"OSORIDGE",2906,FALSE,2007,FALSE,TRUE
"KJAR",2835,FALSE,2000,FALSE,TRUE
"PETERMAN",2655,FALSE,2000,TRUE,TRUE
"SNOWVILLE",2649,FALSE,2003,FALSE,TRUE
"MCPHIE",2201,FALSE,2001,FALSE,TRUE
"GREEN CANYON",2001,FALSE,1992,TRUE,TRUE
"PITTMAN",1897,FALSE,1997,TRUE,TRUE
"CENTENNIAL",1405,FALSE,1997,FALSE,TRUE
"PARADISE",1321,FALSE,1997,TRUE,TRUE
"MAYFIELD",1137,FALSE,2009,FALSE,TRUE
"BORIANA",1108,FALSE,2003,FALSE,TRUE
"POLICH",725,FALSE,2007,FALSE,TRUE
"TULERT",NA,FALSE,2006,TRUE,TRUE
"THURLONI",NA,FALSE,2007,TRUE,TRUE
"RATONWEST",NA,FALSE,2012,TRUE,FALSE
"ORDNANCE",NA,FALSE,2007,TRUE,TRUE
"JANEFALLS",NA,FALSE,2005,TRUE,FALSE
"CAX",NA,FALSE,2015,TRUE,TRUE
"BLACKMOUNT",NA,FALSE,1993,FALSE,TRUE
