"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AHL","O1",8,3,NA,NA,NA,NA,NA,NA
"AMPAD","0iOi",0,3,NA,NA,NA,NA,NA,NA
"ARISTINE","Bwl",25,41,"7.5YR","5","6","7.5YR","3","3"
"AZWELL","C",38,66,"10YR","4","2","l0YR","3","4"
"BALDHILL","A",0,10,"l0YR","5","3","l0YR","3","3"
"BALDHILL","BA",10,74,NA,NA,NA,"l0YR","4","4"
"BALDHILL","Bw3",91,114,"l0YR","6","3","2.5Y","4","4"
"BALDHILL","Bw4",114,137,"l0YR","6","3","l0YR","4","4"
"BALDHILL","C",137,152,"l0YR","5","8","l0YR","4","6"
"BALDHILL","Bwl",NA,74,"l0YR","6","3","l0YR","4","3"
"BARLOW","O1",15,13,NA,NA,NA,NA,NA,NA
"BATEMAN","0i",3,18,NA,NA,NA,NA,NA,NA
"BAUMGARD","Oi",3,1,NA,NA,NA,NA,NA,NA
"BAUMGARD","2R",117,NA,NA,NA,NA,NA,NA,NA
"BAUMGARD","Oa",NA,1554,NA,NA,NA,NA,NA,NA
"BEAR PRAIRIE","Al",8,25,"10YR","3","2","10YR","2","1"
"BEAR PRAIRIE","Bwl",71,114,"10YR","5","4","10YR","4","4"
"BELLICUM","E",0,5,"l0YR","6","2","l0YR","4","2"
"BELLICUM","Bs2",18,84,"l0YR","7","6","5YR","5","6"
"BELLICUM","2BCb",84,127,"2.5Y","6","4","l0YR","4","4"
"BELLICUM","3R",127,NA,NA,NA,NA,NA,NA,NA
"BELLICUM","Bs1",NA,18,"l0YR","6","6","7.5YR","5","6"
"BELLICUM","2Bwb",NA,84,"l0YR","7","4","l0YR","3","3"
"BENHAM","3Bsb1",69,79,"l0YR","6",NA,"10YR","4","1"
"BENHAM","Oe",NA,1554,NA,NA,NA,NA,NA,NA
"BENSLEY","Al",3,15,"l0YR","5","2","l0YR","2","2"
"BENSLEY","A2",15,30,"l0YR","6","2","l0YR","3","2"
"BENSLEY","Bwl",30,58,"l0YR","6","2","l0YR","4","3"
"BENSLEY","Bw2",58,79,"l0YR","6","2","l0YR","4","3"
"BENSLEY","Bw3",79,114,"l0YR","6","2","l0YR","4","2"
"BENSLEY","BC",114,160,"l0YR","6","3","l0YR","4","3"
"BENTILLA","0i",5,8,NA,NA,NA,NA,NA,NA
"BERGSVIK","0e3",43,86,NA,NA,NA,"10YR","3","2"
"BERGSVIK","2C2",114,51,"2.5Y","5","2","2.5Y","3","2"
"BICKETT","2Bkgl",28,61,NA,NA,NA,"2.5Y","6","1"
"BIRDSVIEW","A",0,13,"l0YR","5","4","l0YR","3","3"
"BIRDSVIEW","0",10,13,NA,NA,NA,NA,NA,NA
"BIRDSVIEW","Bwl",13,76,NA,NA,NA,"l0YR","4","4"
"BIRDSVIEW","Bw2",76,137,"l0YR","6","4","l0YR","4","4"
"BLAG","A",0,15,"l0YR","6","2","l0YR","4","3"
"BLAG","Bw",15,NA,"l0YR","6","3","l0YR","4","4"
"BLAG","R",NA,1554,NA,NA,NA,NA,NA,NA
"BLALOCK","IIClsicam",46,66,"10YR","8","1","10YR","6","2"
"BLETHEN","A",0,13,"l0YR","4","3","l0YR","3","2"
"BLETHEN","0a",5,13,NA,NA,NA,NA,NA,NA
"BLETHEN","0i",13,5,NA,NA,NA,NA,NA,NA
"BLETHEN","Bs1",13,33,"l0YR","5","4","l0YR","4","3"
"BLETHEN","Bs3",61,107,"l0YR","6","4","l0YR","4","4"
"BLETHEN","C",107,152,"l0YR","7","4","l0YR","5","4"
"BLETHEN","Bs2",NA,61,"l0YR","6","4",NA,NA,NA
"BLEWETT","A",0,8,"l0YR","5","3","l0YR","3","2"
"BLEWETT","Bw",8,NA,"l0YR","5","4","l0YR","3","3"
"BLEWETT","R",NA,1554,NA,NA,NA,NA,NA,NA
"BOISTFORT","Al",5,28,"l0YR","4","2","7.5YR","3","2"
"BOISTFORT","A2",28,53,"l0YR","4","3","7.5YR","3","2"
"BOISTFORT","2Bwl",53,99,"l0YR","5","6","7.5YR","4","4"
"BOISTFORT","2Bw2",99,140,"l0YR","5","8","7.5YR","5","6"
"BOOTEN","0i",3,15,NA,NA,NA,NA,NA,NA
"BROADAX","Apl",0,10,"10YR","4","2","10YR","2","2"
"BROMO","Al",0,10,"l0YR","6",NA,"l0YR","3",NA
"BROMO","AB",10,10,"l0YR","5","2","l0YR","3","2"
"BROMO","0",10,58,NA,NA,NA,NA,NA,NA
"BROMO","2Bsb1",58,89,"l0YR","6","4","l0YR","3","3"
"BROMO","2Bsb2",89,152,"l0YR","7","4","l0YR","4","4"
"BROMO","A2",NA,10,"l0YR","5","3","l0YR","3","3"
"BROMO","Bs",NA,58,NA,NA,NA,"5YR","4","6"
"BULLGULCH","0i",0,5,NA,NA,NA,NA,NA,NA
"CATLA","Cdl",41,94,"10YR","7","2","10YR","6","3"
"CHICANE","A12",13,36,"lOYR","3","2","lOYR","2","1"
"CHICANE","B2",36,53,"lOYR","4","2","lOYR","3","1"
"CHICANE","IIA21",53,69,"lOYR","6","3","lOYR","4","2"
"CHICANE","IIA22",69,71,"lOYR","6","3","lOYR","4","2"
"CHICANE","IIB21t",71,89,"lOYR","5","4","lOYR","3","3"
"CHICANE","IIB22t",89,104,"lOYR","4","4","lOYR","4","3"
"CHICANE","IIB23t",104,130,"lOYR","5","4","lOYR","4","4"
"CHICANE","IIB24t",130,170,"lOYR","4","4","lOYR","4","4"
"CHICANE","Ap",NA,13,"lOYR","3","2","lOYR","2","1"
"CINEBAR","0a",3,4,NA,NA,NA,NA,NA,NA
"CINEBAR","0i",4,3,NA,NA,NA,NA,NA,NA
"CINNAMON","Oi",10,8,NA,NA,NA,NA,NA,NA
"CISPUS","A",0,5,"l0YR","5","2","l0YR","3","2"
"CISPUS","2Bwb",109,152,"l0YR","6","3","l0YR","4","4"
"CISPUS","Bw",NA,NA,"l0YR","8","4","l0YR","5","4"
"CISPUS","C",NA,109,"l0YR","8","4","l0YR","8","8"
"CLENDENEN","0a",5,10,NA,NA,NA,NA,NA,NA
"CLENDENEN","Oi",20,5,NA,NA,NA,NA,NA,NA
"CLOQUATO","2Cl",102,132,"10YR","5","2","10YR","4","2"
"CLOQUATO","A2",NA,102,"10YR","5","3","10YR","3","3"
"COMAR","Oi",13,10,NA,NA,NA,NA,NA,NA
"COTTERAL","Oe",5,3,NA,NA,NA,NA,NA,NA
"COWEEMAN","A",0,18,"l0YR","6","2","l0YR","4","2"
"COWEEMAN","BAt",18,56,"l0YR","8","2","l0YR","6","2"
"COWEEMAN","Btgl",NA,56,"2.5Y","8","2","2.5Y","6","2"
"CRIMS","20e1",23,51,"10YR","3","1","10YR","2","1"
"CRIMS","20e2",51,102,"10YR","3","1","2.5Y","3","2"
