"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"CINEBAR",172365,TRUE,2004,TRUE,TRUE
"BUCKPEAK",128741,FALSE,2002,TRUE,FALSE
"BROADAX",123234,FALSE,1997,FALSE,TRUE
"GERMANY",105249,FALSE,1998,FALSE,TRUE
"HEMCROSS",100556,FALSE,1997,FALSE,TRUE
"RINEARSON",99362,FALSE,2011,TRUE,TRUE
"HAZELDELL",74306,FALSE,1998,TRUE,FALSE
"SHELTON",73399,FALSE,2004,TRUE,TRUE
"GROVE",72422,FALSE,1988,TRUE,FALSE
"PRATHER",70462,FALSE,2002,TRUE,FALSE
"KATULA",66072,FALSE,1999,TRUE,TRUE
"ELWELL",62083,FALSE,1999,TRUE,TRUE
"BAUMGARD",60823,FALSE,2002,TRUE,FALSE
"WASHOUGAL",56846,FALSE,1998,TRUE,FALSE
"OAKES",56506,FALSE,2004,TRUE,TRUE
"CATTCREEK",53654,FALSE,1998,TRUE,FALSE
"BACONA",52506,FALSE,1998,TRUE,FALSE
"WAPATO",51565,FALSE,1998,FALSE,TRUE
"ZYNBAR",51255,TRUE,1998,TRUE,TRUE
"BATEMAN",50529,FALSE,2002,TRUE,TRUE
"HOODSPORT",48614,FALSE,2004,TRUE,FALSE
"KITSAP",47921,TRUE,2018,FALSE,TRUE
"CLOQUATO",45998,FALSE,2000,TRUE,TRUE
"REHFIELD",44625,FALSE,2002,FALSE,TRUE
"KALEETAN",43462,FALSE,2002,TRUE,FALSE
"VABUS",42442,FALSE,2001,TRUE,TRUE
"PUGET",41307,TRUE,2000,TRUE,TRUE
"HOWASH",40243,FALSE,1998,TRUE,FALSE
"LITTLESALMON",39718,FALSE,2006,FALSE,TRUE
"PANIOGUE",39178,FALSE,2001,FALSE,TRUE
"BOISTFORT",35632,TRUE,1999,FALSE,TRUE
"NEWAUKUM",35284,FALSE,2004,TRUE,TRUE
"SWIFT",34988,FALSE,1998,TRUE,FALSE
"PINHEAD",34928,FALSE,1998,FALSE,TRUE
"BLETHEN",33761,FALSE,2004,TRUE,TRUE
"TREEN",32525,FALSE,2004,FALSE,TRUE
"WILKESON",31147,FALSE,1998,TRUE,TRUE
"RAUGHT",30371,FALSE,1998,TRUE,TRUE
"PUYALLUP",29816,TRUE,2012,FALSE,TRUE
"HEHE",28532,FALSE,1998,TRUE,FALSE
"CISPUS",28066,FALSE,2004,TRUE,TRUE
"RINKER",27399,FALSE,2004,TRUE,TRUE
"SIMNASHO",27364,FALSE,2004,TRUE,FALSE
"MONTBORNE",26830,FALSE,2003,TRUE,TRUE
"SKYKOMISH",25474,FALSE,1994,TRUE,FALSE
"DOMELL",24610,FALSE,2002,TRUE,TRUE
"VAN DUSEN",24546,FALSE,1999,FALSE,TRUE
"SWEM",24219,FALSE,2012,FALSE,TRUE
"SKAGIT",23491,FALSE,2005,FALSE,TRUE
"PIPP",22638,FALSE,1998,TRUE,FALSE
"VERNONIA",22320,FALSE,2002,TRUE,TRUE
"BELLICUM",22307,FALSE,1998,TRUE,TRUE
"JACKNIFE",22180,FALSE,1997,FALSE,TRUE
"HOFFSTADT",21980,FALSE,2003,TRUE,FALSE
"HIGHCAMP",21358,FALSE,2000,TRUE,FALSE
"PALMICH",20890,FALSE,2001,TRUE,TRUE
"ALSTONY",20401,FALSE,2001,TRUE,FALSE
"BULL RUN",20276,FALSE,1998,TRUE,FALSE
"OLEQUA",19994,FALSE,2002,TRUE,FALSE
"MACKATIE",19673,FALSE,1998,TRUE,FALSE
"SKOOKUMHOUSE",19644,FALSE,1998,TRUE,TRUE
"CINNAMON",19519,FALSE,1998,TRUE,FALSE
"FERNHAVEN",19238,FALSE,2002,TRUE,TRUE
"BEIGLE",19040,FALSE,2002,TRUE,FALSE
"SQUALICUM",18692,FALSE,2002,TRUE,TRUE
"MELHORN",18668,FALSE,2013,TRUE,FALSE
"NISQUALLY",18478,FALSE,2012,FALSE,TRUE
"SEMIAHMOO",18345,TRUE,1999,FALSE,TRUE
"FLYCREEK",18306,FALSE,2004,FALSE,TRUE
"VAILTON",18199,FALSE,2002,TRUE,TRUE
"XANADU",17983,FALSE,1997,TRUE,FALSE
"ZYZYL",17826,FALSE,1999,TRUE,TRUE
"CLOVERLAND",17673,FALSE,2013,TRUE,FALSE
"MCCREE",17336,FALSE,2005,TRUE,FALSE
"ROXER",17252,FALSE,2003,FALSE,TRUE
"WOLLARD",17107,FALSE,2004,TRUE,FALSE
"SAUVOLA",16975,FALSE,2002,TRUE,TRUE
"KUTCHER",16834,FALSE,2004,TRUE,FALSE
"SORENSEN",16600,FALSE,2002,TRUE,FALSE
"GUEMES",16428,FALSE,1997,TRUE,TRUE
"NIMS",16078,FALSE,2002,FALSE,TRUE
"OLOMOUNT",16043,FALSE,2004,TRUE,FALSE
"SCOTTIES",15899,FALSE,2001,TRUE,TRUE
"HAZELCAMP",15833,FALSE,1998,TRUE,TRUE
"DUFUR",15305,FALSE,2002,TRUE,FALSE
"WISHKAH",15065,FALSE,1999,TRUE,TRUE
"MURNEN",15053,FALSE,1999,TRUE,FALSE
"MASHEL",14575,FALSE,1988,TRUE,FALSE
"ST. MARTIN",14223,FALSE,1997,TRUE,TRUE
"SAAR",14212,FALSE,2004,TRUE,TRUE
"SPRINGSTEEN",14086,FALSE,2002,TRUE,FALSE
"BALDHILL",13958,FALSE,2010,TRUE,TRUE
"JOJO",13878,FALSE,1998,TRUE,TRUE
"BIRDSVIEW",13840,FALSE,1988,TRUE,TRUE
"SIFTON",13684,FALSE,1994,TRUE,TRUE
"GOODLOW",13466,FALSE,2007,TRUE,FALSE
"AMPAD",13415,FALSE,2001,TRUE,TRUE
"ROBER",13409,FALSE,2002,TRUE,TRUE
"NATI",13337,FALSE,2010,TRUE,FALSE
"WHETSTONE",13254,FALSE,2002,TRUE,FALSE
"BLAG",13033,FALSE,1999,TRUE,TRUE
"SQUIRES",12720,FALSE,2002,TRUE,FALSE
"CRUISER",12718,FALSE,2000,TRUE,FALSE
"MUTTON",12626,FALSE,1998,TRUE,FALSE
"TENERIFFE",12572,TRUE,1988,TRUE,FALSE
"DIOBSUD",12169,FALSE,1994,TRUE,TRUE
"TEEWEE",11980,FALSE,2002,FALSE,TRUE
"FRAILEY",11752,FALSE,1999,TRUE,FALSE
"LONESTAR",11357,FALSE,1998,TRUE,FALSE
"SEAQUEST",11311,FALSE,1998,FALSE,TRUE
"SERPENTANO",11140,FALSE,1999,TRUE,TRUE
"SNOHOMISH",10751,FALSE,2002,FALSE,TRUE
"CRINKER",10737,FALSE,1994,TRUE,TRUE
"LYNNWOOD",10324,FALSE,1988,TRUE,FALSE
"COLTER",10208,TRUE,1998,TRUE,FALSE
"TRADEDOLLAR",10191,FALSE,1998,TRUE,TRUE
"NATKIM",10008,FALSE,2001,FALSE,TRUE
"THETIS",9815,FALSE,2001,TRUE,TRUE
"TILLICUM",9749,FALSE,2002,TRUE,TRUE
"ARDENMONT",9685,FALSE,1999,TRUE,FALSE
"ROSLYN",9672,FALSE,2003,TRUE,FALSE
"BOOTEN",9643,FALSE,1998,TRUE,TRUE
"KIPER",9548,FALSE,2001,FALSE,TRUE
"GAP",9449,FALSE,1997,TRUE,FALSE
"PACKERJOHN",9425,FALSE,2011,FALSE,TRUE
"MELAKWA",9422,FALSE,2002,TRUE,FALSE
"MARBLEMOUNT",9324,FALSE,1994,TRUE,FALSE
"CRABTREE",9311,FALSE,1999,TRUE,FALSE
"NAREL",9267,FALSE,1999,TRUE,TRUE
"BLACKLOCK",9256,TRUE,2004,TRUE,FALSE
"CATLA",9204,FALSE,2004,FALSE,TRUE
"YAINAX",8906,FALSE,2003,TRUE,TRUE
"COTTERAL",8871,FALSE,1998,TRUE,FALSE
"DELPHI",8834,FALSE,2004,TRUE,TRUE
"CLENDENEN",8597,FALSE,1994,TRUE,TRUE
"ILLABOT",8536,FALSE,2004,TRUE,TRUE
"SWEITING",8525,FALSE,2013,TRUE,FALSE
"POTCHUB",8441,FALSE,2004,TRUE,TRUE
"BROMO",8315,FALSE,2004,TRUE,TRUE
"PERVINA",8313,FALSE,1998,TRUE,TRUE
"BEAR PRAIRIE",8263,FALSE,1999,FALSE,TRUE
"ANUNDE",7988,FALSE,2004,TRUE,FALSE
"VARELUM",7864,FALSE,2002,TRUE,FALSE
"YAHNE",7861,FALSE,2001,TRUE,TRUE
"CUPPLES",7830,FALSE,2004,TRUE,TRUE
"OSO",7774,FALSE,2004,TRUE,FALSE
"WALVILLE",7690,FALSE,2004,TRUE,TRUE
"DOBBS",7485,FALSE,2004,FALSE,TRUE
"SAG",7426,FALSE,1997,TRUE,FALSE
"KANASKAT",7400,FALSE,2002,TRUE,FALSE
"CHICANE",7329,FALSE,1997,TRUE,TRUE
"ESMERALDA",7066,FALSE,2001,TRUE,TRUE
"GROTTO",6993,FALSE,1988,TRUE,TRUE
"EDSON",6838,FALSE,1998,TRUE,FALSE
"HARTNIT",6765,FALSE,2004,TRUE,FALSE
"CUNNIFF",6686,FALSE,1998,TRUE,FALSE
"GILES",6580,FALSE,2004,TRUE,FALSE
"WEDGEMONT",6399,FALSE,2003,FALSE,TRUE
"HOOSKANADEN",6386,FALSE,1997,TRUE,FALSE
"SQUALLY",6299,FALSE,1999,TRUE,TRUE
"ARISTINE",6270,FALSE,2006,FALSE,TRUE
"SPANA",6235,FALSE,2012,FALSE,TRUE
"TISCH",6210,FALSE,2004,TRUE,TRUE
"KACHESS",5996,FALSE,2001,FALSE,TRUE
"BENSLEY",5943,FALSE,1999,FALSE,TRUE
"SADDLEPEAK",5938,FALSE,1999,TRUE,FALSE
"LASTANCE",5909,TRUE,2002,TRUE,TRUE
"VOLPERIE",5907,FALSE,2001,TRUE,TRUE
"BISPING",5858,FALSE,2001,TRUE,FALSE
"STIMSON",5825,FALSE,2002,TRUE,TRUE
"BULLGULCH",5748,FALSE,2000,FALSE,TRUE
"NATIONAL",5722,FALSE,2003,TRUE,TRUE
"VOIGHT",5702,FALSE,2001,TRUE,TRUE
"LOPER",5689,FALSE,2002,TRUE,FALSE
"BLEWETT",5654,FALSE,1999,TRUE,TRUE
"SHUKSAN",5593,FALSE,2001,TRUE,FALSE
"AZWELL",5497,FALSE,2000,FALSE,TRUE
"ZEEKA",5389,FALSE,2010,FALSE,TRUE
"PIUMPSHA",5351,FALSE,1998,TRUE,FALSE
"MAL",5338,FALSE,2002,TRUE,FALSE
"BENHAM",5242,FALSE,1998,TRUE,TRUE
"JUG",5241,FALSE,1994,TRUE,FALSE
"POLEPATCH",5202,FALSE,1993,TRUE,FALSE
"REVEL",5195,FALSE,2010,TRUE,TRUE
"YOREL",5191,FALSE,1999,TRUE,TRUE
"THREETREES",5139,FALSE,1999,TRUE,TRUE
"QUAILRIDGE",4955,FALSE,2012,FALSE,TRUE
"RONSEL",4806,FALSE,2001,TRUE,TRUE
"STANDUP",4744,FALSE,1999,TRUE,TRUE
"TRIPOD",4741,FALSE,2011,FALSE,TRUE
"RUGLES",4708,FALSE,2001,TRUE,TRUE
"RAINIER",4639,FALSE,2002,TRUE,FALSE
"BANDID",4588,FALSE,1998,TRUE,FALSE
"LEDOW",4510,FALSE,1987,TRUE,FALSE
"KUSU",4446,FALSE,1998,TRUE,FALSE
"EASTPINE",4417,FALSE,2013,TRUE,FALSE
"SWINOMISH",4337,FALSE,2002,TRUE,TRUE
"TUSIP",4244,FALSE,2003,TRUE,FALSE
"GLAZE",4235,FALSE,1997,TRUE,FALSE
"EGYPTCREEK",4198,FALSE,2013,TRUE,FALSE
"KULSHAN",4177,FALSE,2010,TRUE,FALSE
"HARANA",4133,FALSE,2002,TRUE,FALSE
"JACKMAN",4129,FALSE,2004,TRUE,TRUE
"EDGEWICK",4067,FALSE,2011,FALSE,TRUE
"SOOSAP",4007,FALSE,2004,TRUE,FALSE
"RACKER",3979,FALSE,2003,FALSE,TRUE
"SAUK",3973,FALSE,2004,TRUE,TRUE
"COWEEMAN",3966,FALSE,2002,TRUE,TRUE
"ROARING",3933,FALSE,2006,TRUE,FALSE
"REDFLAT",3913,FALSE,1999,TRUE,FALSE
"DICK",3890,FALSE,2000,TRUE,FALSE
"LEMOLO",3790,FALSE,2002,TRUE,FALSE
"QUILLAYUTE",3784,FALSE,1999,TRUE,TRUE
"LACONNER",3758,FALSE,2005,FALSE,TRUE
"WELCOME",3649,FALSE,2010,TRUE,TRUE
"SPIEDEN",3641,FALSE,2007,FALSE,TRUE
"DELAMETER",3597,FALSE,1998,FALSE,TRUE
"SKOOKER",3536,FALSE,1998,TRUE,FALSE
"BLALOCK",3448,FALSE,2002,FALSE,TRUE
"FREELS",3439,FALSE,1998,TRUE,FALSE
"ETACH",3394,FALSE,1994,TRUE,FALSE
"KLAWATTI",3368,FALSE,2004,TRUE,TRUE
"LABISH",3315,FALSE,1997,TRUE,FALSE
"GRENET",3302,FALSE,1998,TRUE,TRUE
"LITTLEFAWN",3257,FALSE,1997,TRUE,FALSE
"BURNTHILL",3255,FALSE,1997,TRUE,FALSE
"NETRAC",3190,FALSE,1994,TRUE,TRUE
"HUDSPETH",3116,FALSE,1997,TRUE,FALSE
"FORSYTH",3079,FALSE,1993,TRUE,TRUE
"SAXON",3059,FALSE,2002,TRUE,FALSE
"HUMSKEL",3058,FALSE,2004,TRUE,TRUE
"CULVING",3043,FALSE,2000,FALSE,TRUE
"FERTEG",2999,FALSE,2002,TRUE,TRUE
"FERGUSON",2978,FALSE,2013,TRUE,FALSE
"ST. HELENS",2970,FALSE,1998,TRUE,FALSE
"TUKEY",2969,FALSE,2000,FALSE,TRUE
"ZYMER",2937,FALSE,1998,TRUE,FALSE
"ALKIRIDGE",2913,FALSE,2001,TRUE,FALSE
"SKAMANIA",2846,FALSE,2011,TRUE,FALSE
"MOWICH",2794,FALSE,2002,TRUE,FALSE
"TUKWILA",2673,FALSE,1999,FALSE,TRUE
"CRIMS",2672,FALSE,1999,FALSE,TRUE
"RUSTYBUTTE",2669,FALSE,1997,TRUE,FALSE
"CRUTCH",2619,FALSE,1987,FALSE,TRUE
"LEMAH",2615,FALSE,2001,FALSE,TRUE
"BARNHARDT",2565,FALSE,2002,TRUE,FALSE
"ODO",2550,FALSE,2001,FALSE,TRUE
"THRASH",2549,FALSE,2010,TRUE,TRUE
"WYANT",2412,FALSE,1997,TRUE,FALSE
"AHL",2398,FALSE,2004,TRUE,FALSE
"WHITESON",2363,FALSE,2001,FALSE,TRUE
"OLIAGA",2304,FALSE,2001,FALSE,TRUE
"COMAR",2298,FALSE,2002,TRUE,FALSE
"SHAMEL",2289,FALSE,2004,TRUE,TRUE
"SANDUN",2260,FALSE,1997,TRUE,FALSE
"SCALEROCK",2214,FALSE,1999,TRUE,TRUE
"MINNIEPEAK",2208,FALSE,1998,TRUE,TRUE
"YAWKOLA",2185,FALSE,1997,TRUE,FALSE
"PIERKING",2163,FALSE,2001,TRUE,FALSE
"BOARDFLOWER",2039,FALSE,1997,TRUE,FALSE
"EDFRO",2035,FALSE,2010,FALSE,TRUE
"JOENEY",1865,FALSE,2004,TRUE,FALSE
"MOWAKO",1849,FALSE,1998,TRUE,FALSE
"MADRAK",1789,FALSE,1999,FALSE,TRUE
"PANAMAKER",1770,FALSE,1994,FALSE,TRUE
"CROQUIB",1760,FALSE,1999,TRUE,TRUE
"FRANKPORT",1754,FALSE,2000,FALSE,TRUE
"SPILYAY",1737,FALSE,1997,TRUE,FALSE
"BICKETT",1729,FALSE,2002,FALSE,TRUE
"SKATE",1687,FALSE,2004,TRUE,TRUE
"TWINSI",1596,FALSE,2010,TRUE,FALSE
"EVICK",1519,FALSE,1993,TRUE,FALSE
"DESONS",1491,FALSE,1998,TRUE,FALSE
"WAKAMO",1478,FALSE,1997,TRUE,FALSE
"KINGMONT",1445,FALSE,1997,TRUE,TRUE
"STELLA",1442,FALSE,2002,TRUE,FALSE
"SOLO",1353,FALSE,2003,TRUE,FALSE
"BENTILLA",1340,FALSE,1998,TRUE,TRUE
"DEMING",1296,FALSE,2001,TRUE,FALSE
"LEMONEX",1294,FALSE,2013,TRUE,FALSE
"PEAHKE",1278,FALSE,2001,TRUE,TRUE
"FORTRAN",1277,FALSE,1998,TRUE,TRUE
"MILLERFLAT",1268,FALSE,2001,TRUE,FALSE
"NARDMONT",1201,FALSE,2002,TRUE,FALSE
"WADELL",1177,FALSE,2004,TRUE,TRUE
"SACH",1156,FALSE,2002,TRUE,FALSE
"BERGSVIK",1143,FALSE,1999,TRUE,TRUE
"KIESEL",1142,FALSE,1997,TRUE,FALSE
"SODACREEK",1076,FALSE,1995,TRUE,FALSE
"DUGUALLA",1076,FALSE,2007,FALSE,TRUE
"HOZOMEEN",1041,FALSE,2001,TRUE,FALSE
"THORNTON",966,FALSE,1997,TRUE,TRUE
"WARRENTON",880,FALSE,2001,TRUE,TRUE
"JORGENSEN",841,FALSE,2001,TRUE,FALSE
"CASHNER",805,FALSE,1997,TRUE,FALSE
"XANA",701,FALSE,2004,TRUE,FALSE
"MCDOUG",639,FALSE,1998,TRUE,FALSE
"TELEMON",635,FALSE,1998,TRUE,FALSE
"PILLERY",610,FALSE,1998,TRUE,FALSE
"PINOTY",564,FALSE,1998,TRUE,FALSE
"CULVOP",544,FALSE,2004,TRUE,FALSE
"HOVDE",444,FALSE,2001,TRUE,TRUE
