"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ACKWATER","Bt1",13,23,NA,NA,NA,"lOYR","5","6"
"ACKWATER","Bt2",23,41,NA,NA,NA,"lOYR","5","8"
"BELHAVEN","Oal",23,33,NA,NA,NA,"5YR","2.5","2"
"BOURNE","0i",0,3,NA,NA,NA,NA,NA,NA
"BROCKROAD","01",0,5,NA,NA,NA,NA,NA,NA
"BURROWSVILLE","A",0,8,NA,NA,NA,"lOYR","5","2"
"BURROWSVILLE","E",8,36,NA,NA,NA,"lOYR","6","4"
"BURROWSVILLE","Bt",36,64,NA,NA,NA,"lOYR","6","4"
"BURROWSVILLE","Btx",64,97,NA,NA,NA,"lOYR","5","6"
"CAROLINE","0i",0,5,NA,NA,NA,NA,NA,NA
"CHEAHA","0i",0,3,NA,NA,NA,NA,NA,NA
"COLFAX","0i",3,3,NA,NA,NA,NA,NA,NA
"ELLOREE","Btgl",58,69,NA,NA,NA,"10YR","5","2"
"ELLOREE","BCgl",107,135,NA,NA,NA,"10YR","6","1"
"FORK","0i",0,3,NA,NA,NA,NA,NA,NA
"FORK","0e",3,5,NA,NA,NA,"10YR","3","2"
"FORTUNA","B2lg",13,23,NA,NA,NA,"5GY","4","1"
"GRITNEY","Btl",23,43,NA,NA,NA,"10YR","5","6"
"LAROQUE","0i",0,3,NA,NA,NA,NA,NA,NA
"MANASSAS","Btl",41,61,NA,NA,NA,"5YR","3","4"
"MATTAPONI","0i",0,3,NA,NA,NA,NA,NA,NA
"MONTROSS","0i",0,5,NA,NA,NA,NA,NA,NA
"NEWFLAT","0i",0,3,NA,NA,NA,NA,NA,NA
"NEWHAN","A",0,5,NA,NA,NA,"l0YR","5","2"
"NEWHAN","C1",5,127,NA,NA,NA,"l0YR","7","2"
"NEWHAN","C2",127,183,NA,NA,NA,"l0YR","7","2"
"ORENDA","0i",0,3,NA,NA,NA,NA,NA,NA
"PAMUNKEY","2C",117,203,NA,NA,NA,"1OYR","5","6"
"PARTLOW","Btgl",38,53,NA,NA,NA,"10YR","5","1"
"POCATY","0i",0,30,NA,NA,NA,"10YR","2","2"
"POCATY","0e",30,51,NA,NA,NA,"10YR","2","2"
"POCATY","0a1",51,104,NA,NA,NA,"10YR","2","1"
"POCATY","0a2",104,122,NA,NA,NA,"10YR","2","1"
"POCATY","0a3",122,152,NA,NA,NA,"10YR","4","1"
"RAPPAHANNOCK","0a1",0,41,NA,NA,NA,"10YR","3","2"
"RAPPAHANNOCK","0a2",41,76,NA,NA,NA,"10YR","3","1"
"RAPPAHANNOCK","0a3",76,104,NA,NA,NA,"10YR","2","2"
"RAPPAHANNOCK","0'a",160,190,NA,NA,NA,"10YR","2","1"
"REMLIK","0i",0,5,NA,NA,NA,NA,NA,NA
"REPARADA","110C",46,15,NA,NA,NA,"10YR","2","1"
"SEKIL","0i",0,3,NA,NA,NA,NA,NA,NA
"SEKIL","0e",3,5,NA,NA,NA,"10YR","2","1"
"SURRENCY","0i",0,3,NA,NA,NA,NA,NA,NA
"TALANTE","Alg",10,25,NA,NA,NA,"10YR","5","2"
"TALANTE","Blg",25,46,NA,NA,NA,"10YR","5","3"
"TRENHOLM","Btl",30,51,NA,NA,NA,"10YR","5","6"
"TRENHOLM","Cl",91,114,NA,NA,NA,"10YR","5","8"
"TRENHOLM","A",NA,5,NA,NA,NA,"10YR","3","1"
"TUCKAHOE","Bwl",43,76,NA,NA,NA,"10YR","4","3"
"WANDO","Cl",20,89,NA,NA,NA,"7.5YR","5","8"
"WEEKSVILLE","Cgl",114,152,NA,NA,NA,"10YR","6","1"
"YULEE","0i",0,5,NA,NA,NA,NA,NA,NA
