"id","ac","benchmarksoilflag","soiltaxclasslastupdated"
"GEORGEVILLE",1413457,TRUE,2010
"SURRENCY",773580,FALSE,1997
"TATUM",544821,TRUE,1999
"VANCE",325015,FALSE,1997
"LOUISA",292058,FALSE,2006
"NASON",277839,FALSE,2007
"GOLDSTON",264170,TRUE,2010
"GROVER",190038,FALSE,1992
"CREEDMOOR",179540,TRUE,2010
"MURVILLE",158816,FALSE,1993
"BERRYLAND",155624,FALSE,2006
"MANTEO",124421,FALSE,1999
"ASHLAR",115514,TRUE,2017
"MATTAPONI",97908,FALSE,2003
"REMLIK",89716,FALSE,2002
"CAROLINE",77782,FALSE,2002
"HONGA",53063,FALSE,2012
"PEAWICK",52011,FALSE,1999
"BOURNE",45411,FALSE,2002
"NAWNEY",39231,FALSE,2004
"MISENHEIMER",35612,FALSE,1998
"PENHOOK",33242,FALSE,2005
"CHEAHA",27727,FALSE,1999
"PARTLOW",26412,FALSE,1999
"YELLOWBOTTOM",23463,FALSE,2009
"MONTROSS",19220,FALSE,2007
"OAKBORO",15126,FALSE,1999
"TOISNOT",14880,FALSE,1997
"BREMO",14090,FALSE,2000
"MONTONIA",12564,FALSE,1997
"WILBANKS",12265,FALSE,2002
"NEWFLAT",12025,FALSE,1997
"GILLS",10273,FALSE,1999
"BLUEMOUNT",9474,FALSE,2005
"KINGSTOWNE",9450,FALSE,2006
"YULEE",8230,FALSE,1998
"SPOTSYLVANIA",8108,FALSE,1998
"FORK",8078,FALSE,1997
"CHANTILLY",8031,FALSE,2016
"SWEETAPPLE",7573,FALSE,1999
"CATHARPIN",6615,FALSE,1999
"SEKIL",6120,FALSE,2002
"BROCKROAD",5373,FALSE,1999
"EDGEHILL",5348,FALSE,1999
"DUMFRIES",4296,FALSE,2002
"SHEVA",4274,FALSE,2002
"TRUSSUM",4251,FALSE,2002
"GRANVILLE",4117,FALSE,1998
"DRAPERMILL",3797,FALSE,2005
"MARGO",3735,FALSE,1999
"CLIFFSIDE",2602,FALSE,2009
"LAROQUE",2387,FALSE,1999
"ASSATEAGUE",2273,FALSE,1987
"PICACHO",2090,FALSE,2004
"PALM",1931,FALSE,2002
"MOTEADO",1560,FALSE,2002
"YORK",1175,FALSE,2002
"JAGUEYES",1164,FALSE,2001
"INVERSHIEL",762,FALSE,1997
"FEATHERSTONE",681,FALSE,2003
"HAPPYLAND",592,FALSE,2009
"PERROWVILLE",NA,FALSE,2019
"HUDDLESTON",NA,FALSE,2019
