"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ARIKARA","0i",0,3,NA,NA,NA,NA,NA,NA
"BORDEAUX","Al",0,20,NA,NA,NA,"lOYR","5","2"
"BORDEAUX","Clca",20,46,NA,NA,NA,"lOYR","5","2"
"BORDEAUX","C2ca",46,152,NA,NA,NA,"lOYR","6","3"
"CITADEL","0i",0,4,NA,NA,NA,NA,NA,NA
"FISHBERRY","A",0,13,"l0YR","5","2","10YR","4","2"
"FONNER","Ap",0,18,"l0YR","5",NA,"l0YR","3","2"
"FONNER","A",18,51,"l0YR","4",NA,"l0YR","2","2"
"FONNER","AC",51,66,"l0YR","5",NA,"l0YR","3","2"
"FONNER","Cl",66,76,"l0YR","6","2","l0YR","4","2"
"FONNER","C2",76,152,"l0YR","7","2","l0YR","5","3"
"GRIGSTON","Clca",61,122,"10YR","6","2","10YR","4","2"
"GRIZZLY","0i",0,2.5,NA,NA,NA,NA,NA,NA
"HESPER","Clca",41,51,"2.5Y","5","3","2.5Y","4","2"
"LAKOA","0i",0,2,NA,NA,NA,NA,NA,NA
"MITCHELL","Cl",48,74,"10YR","8","2","10YR","6","2"
"NELSON","Alp",0,23,"10YR","6","2","10YR","4","2"
"PINEBREAKS","Oi",5,0,NA,NA,NA,NA,NA,NA
"SINGERTON","Ckl",38,66,"2.5Y","7","4","2.5Y","6","6"
"TREON","A",0,18,"10YR","5","3","l0YR","3","3"
"VANOCKER","0e",0,2.5,NA,NA,NA,NA,NA,NA
"WOODLY","A1",0,23,"l0YR","3","1","10YR","2","1"
"WORMSER","Clca",48,61,"10YR","7","3","10YR","6","3"
"ZEANDALE","Ap",0,13,"l0YR","4","2",NA,NA,NA
"ZEANDALE","C1",13,41,"l0YR","5","2",NA,NA,NA
"ZEANDALE","C2",41,79,"l0YR","5","2",NA,NA,NA
"ZEANDALE","C4",130,150,"l0YR","2","2",NA,NA,NA
"ZEANDALE","2Ab",150,185,"l0YR","4",NA,NA,NA,NA
