"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"HOUDEK",775895,TRUE,2009,FALSE,TRUE
"CAPTINA",503332,TRUE,2006,FALSE,TRUE
"THURMAN",468897,TRUE,2010,FALSE,TRUE
"TONTI",462870,TRUE,2006,FALSE,TRUE
"TACOOSH",371511,FALSE,1998,FALSE,TRUE
"SECESH",216978,FALSE,1997,FALSE,TRUE
"INSULA",194207,FALSE,2005,TRUE,FALSE
"BODEN",172594,FALSE,2003,TRUE,FALSE
"BRENNYVILLE",130501,FALSE,2003,FALSE,TRUE
"LOBO",127542,FALSE,2022,FALSE,TRUE
"FORMDALE",110181,FALSE,2020,FALSE,TRUE
"DELMONT",109174,FALSE,2009,FALSE,TRUE
"KELVIN",108316,FALSE,2005,TRUE,FALSE
"WOODLY",104161,FALSE,2006,FALSE,TRUE
"JERAULD",102277,FALSE,1997,FALSE,TRUE
"PEMENE",100064,FALSE,2022,TRUE,FALSE
"INDUS",89495,TRUE,1997,TRUE,FALSE
"NADEAU",71406,FALSE,2022,TRUE,FALSE
"HIWOOD",68384,FALSE,1992,TRUE,FALSE
"WASKISH",55992,FALSE,2001,FALSE,TRUE
"SWISS",54161,FALSE,2022,FALSE,TRUE
"KINGSLEY",53941,FALSE,1997,FALSE,TRUE
"NET",53162,FALSE,1998,TRUE,FALSE
"VANZILE",44791,FALSE,1997,FALSE,TRUE
"DELASSUS",40356,FALSE,1998,FALSE,TRUE
"KNOBBY",34640,FALSE,1997,FALSE,TRUE
"PESHEKEE",32984,FALSE,1998,TRUE,FALSE
"FISHBERRY",32750,FALSE,2009,FALSE,TRUE
"MONDAMIN",28606,FALSE,1998,FALSE,TRUE
"KNOKE",28268,FALSE,2003,FALSE,TRUE
"JAY",27669,FALSE,2000,TRUE,TRUE
"GRIGSTON",25094,FALSE,2008,FALSE,TRUE
"POSEN",24880,FALSE,1999,TRUE,FALSE
"NEOPIT",24248,FALSE,2001,TRUE,FALSE
"ROSY",23677,FALSE,1999,TRUE,FALSE
"SCHWEITZER",23144,FALSE,2006,TRUE,FALSE
"PETTICOAT",23085,FALSE,2003,TRUE,FALSE
"WATTON",22671,FALSE,2006,TRUE,FALSE
"CHANNING",22488,FALSE,1997,TRUE,FALSE
"OLDMAN",22397,FALSE,2002,TRUE,FALSE
"SUNDELL",22320,FALSE,2022,TRUE,FALSE
"METONGA",21442,FALSE,1997,FALSE,TRUE
"OLGA",21279,FALSE,1998,TRUE,FALSE
"GUARDLAKE",21100,FALSE,1994,TRUE,FALSE
"BRICKTON",18683,FALSE,2006,FALSE,TRUE
"SUTLEY",17258,FALSE,1998,FALSE,TRUE
"NEMADJI",17108,FALSE,1995,TRUE,FALSE
"WAMDUSKA",15951,FALSE,1997,TRUE,FALSE
"FONNER",15334,FALSE,1988,FALSE,TRUE
"BADUS",10828,FALSE,1999,TRUE,FALSE
"NUNICA",10023,FALSE,2022,TRUE,FALSE
"KALLIO",9936,FALSE,2003,TRUE,FALSE
"ROLETTE",9644,FALSE,1998,TRUE,FALSE
"NERESON",9242,FALSE,1998,TRUE,FALSE
"BERGKELLER",8621,FALSE,1999,TRUE,FALSE
"BEECHWOOD",8262,FALSE,1999,TRUE,FALSE
"SIECHE",8111,FALSE,2009,TRUE,FALSE
"METIGOSHE",6787,FALSE,1998,TRUE,FALSE
"SEDGEVILLE",6604,FALSE,2000,FALSE,TRUE
"PARTRIDGE",6450,FALSE,1989,TRUE,FALSE
"TINTSON",6245,FALSE,1995,FALSE,TRUE
"SATAGO",5597,FALSE,1999,TRUE,FALSE
"LAONA",5171,FALSE,1997,FALSE,TRUE
"GRANDGULF",5142,FALSE,2006,FALSE,TRUE
"PULLUP",5124,FALSE,1994,TRUE,FALSE
"BAYTOWN",3376,FALSE,2003,FALSE,TRUE
"VELVET",3361,FALSE,2022,TRUE,FALSE
"ZEANDALE",2962,FALSE,2009,FALSE,TRUE
"RENNER",1180,FALSE,2006,TRUE,FALSE
"FREDA",703,FALSE,2003,TRUE,FALSE
"ROCKCUT",564,FALSE,2003,TRUE,FALSE
"FELDTMANN",148,FALSE,1990,TRUE,FALSE
"NEWFOUND",NA,FALSE,1999,TRUE,FALSE
"KAWBAWGAM",NA,FALSE,1999,TRUE,FALSE
"FINLAND",NA,FALSE,2000,TRUE,FALSE
