"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ARIKARA","0i",0,3,NA,NA,NA,NA,NA,NA
"AU TRAIN","0a",0,5,NA,NA,NA,"5YR","2.5","1"
"BAYTOWN","A3",41,48,"l0YR","5","2","10YR","3","2"
"BEECHWOOD","Oi",10,5,NA,NA,NA,NA,NA,NA
"BOOTS","0a1",0,10,NA,NA,NA,"5YR","2","1"
"BOTTINEAU","0i",0,5,NA,NA,NA,NA,NA,NA
"BOWSTRING","0a2",46,97,NA,NA,NA,"N","2","0"
"BOWSTRING","0'a1",119,203,NA,NA,NA,"N","2","0"
"BRENNYVILLE","Btl",28,53,NA,NA,NA,"10YR","4","3"
"BRICKTON","Cgl",64,104,NA,NA,NA,"2.5Y","6","2"
"BURT","0a",0,3,NA,NA,NA,"10YR","2","1"
"CAPTINA","2Btxl",64,99,NA,NA,NA,"10YR","5","4"
"CARBONDALE","0e",99,152,NA,NA,NA,"7.5YR","3","2"
"CATHRO","0a1",0,15,NA,NA,NA,"5YR","2","1"
"CATHRO","0a2",15,28,NA,NA,NA,"5YR","2","1"
"CATHRO","0a3",28,58,NA,NA,NA,"5YR","2","1"
"CHANNING","Oi",5,0,NA,NA,NA,NA,NA,NA
"CHIPPENY","0a1",0,8,NA,NA,NA,"5YR","2.5","1"
"CHIPPENY","0a2",8,15,NA,NA,NA,"5YR","2.5","1"
"CHIPPENY","0a3",15,51,NA,NA,NA,"5YR","3","1"
"CITADEL","0i",0,4,NA,NA,NA,NA,NA,NA
"CLARKSVILLE","0i",0,3,NA,NA,NA,NA,NA,NA
"CONIC","0a",0,3,NA,NA,NA,"5YR","2","1"
"DALBO","0e",0,3,NA,NA,NA,NA,NA,NA
"DEERTON","0a",0,3,NA,NA,NA,"5YR","2.5","1"
"DELASSUS","2Btxl",79,114,NA,NA,NA,"10YR","6","2"
"DELMONT","Ap",0,15,"10YR","4","1","l0YR","2","1"
"ELBAVILLE","0e",0,3,NA,NA,NA,NA,NA,NA
"FELDTMANN","Oe",5,0,NA,NA,NA,"5YR","3","1"
"FINLAND","Oe",3,0,NA,NA,NA,NA,NA,NA
"FISHBERRY","A",0,13,"l0YR","5","2","10YR","4","2"
"FONNER","Ap",0,18,"l0YR","5",NA,"l0YR","3","2"
"FONNER","A",18,51,"l0YR","4",NA,"l0YR","2","2"
"FONNER","AC",51,66,"l0YR","5",NA,"l0YR","3","2"
"FONNER","Cl",66,76,"l0YR","6","2","l0YR","4","2"
"FONNER","C2",76,152,"l0YR","7","2","l0YR","5","3"
"FORMDALE","Bwl",19,30,"10YR","4","2","10YR","3","2"
"FREDA","Oe",3,0,NA,NA,NA,"5YR","2","1"
"GRANDGULF","Btl",33,56,NA,NA,NA,"10YR","3","4"
"GRIGSTON","Clca",61,122,"10YR","6","2","10YR","4","2"
"GRIZZLY","0i",0,2.5,NA,NA,NA,NA,NA,NA
"GUARDLAKE","Oi",3,0,NA,NA,NA,NA,NA,NA
"HIWOOD","Oe",5,0,NA,NA,NA,NA,NA,NA
"HOUDEK","Ap",0,15,"10YR","4","2","l0YR","2","2"
"INDUS","Oe",4,1,NA,NA,NA,"5YR","2","2"
"INDUS","0a",NA,1554,NA,NA,NA,"5YR","2","1"
"INSULA","0a",3,0,NA,NA,NA,"10YR","2","1"
"JAY","Btxl",64,142,NA,NA,NA,"10YR","5","8"
"JAY","Ap",NA,23,"10YR","5","3","10YR","3","3"
"JERAULD","E",0,8,"l0YR","5","1","l0YR","3","1"
"KALLIO","Oi",3,0,NA,NA,NA,NA,NA,NA
"KAWBAWGAM","Oa",5,0,NA,NA,NA,"5YR","2","2"
"KINGSLEY","A1",0,8,"l0YR","3",NA,"10YR","2","1"
"KINGSLEY","A2",8,18,"l0YR","5","2","10YR","3","2"
"KNOBBY","Al",0,8,"10YR","5","2","10YR","3","1"
"KNOKE","Al",20,33,"10YR","5","1","5Y","3","1"
"LAKOA","0i",0,2,NA,NA,NA,NA,NA,NA
"LAONA","Bsl",8,18,NA,NA,NA,"7.5YR","3","4"
"LIMINGA","0a",0,2,NA,NA,NA,"N","2.5","0"
"LOBO","Oil",0,8,NA,NA,NA,"10YR","6","4"
"MCDAVITT","0e",0,5,"10YR","4","1","10YR","2","1"
"MERRILLAN","0e",0,3,NA,NA,NA,"10YR","3","2"
"METIGOSHE","0i",5,13,NA,NA,NA,"10YR","2","1"
"METONGA","Bsl",10,18,NA,NA,NA,"7.5YR","3","4"
"MINOCQUA","0a",0,3,NA,NA,NA,"10YR","2","1"
"MONDAMIN","Ap",0,15,"10YR","4","2","l0YR","2","2"
"NADEAU","Oe",5,0,NA,NA,NA,"10YR","2","1"
"NET","Oi",5,0,NA,NA,NA,NA,NA,NA
"NUNICA","Oi",5,0,NA,NA,NA,NA,NA,NA
"OLDMAN","Oa",3,0,NA,NA,NA,"10YR","2","1"
"OLGA","Oi",3,0,NA,NA,NA,NA,NA,NA
"PARTRIDGE","Oe",3,0,NA,NA,NA,NA,NA,NA
"PETTICOAT","Oe",3,0,NA,NA,NA,"10YR","2","2"
"POSEN","Oe",3,0,NA,NA,NA,"N","2","0"
"PULLUP","Oi",5,0,NA,NA,NA,NA,NA,NA
"ROCKCUT","Oe",8,0,NA,NA,NA,"10YR","2","2"
"ROLETTE","0e",5,0,NA,NA,NA,"10YR","2","2"
"ROLLA","0i",0,5,NA,NA,NA,"10YR","2","1"
"ROSY","Oi",5,0,NA,NA,NA,NA,NA,NA
"SATAGO","Oi",5,0,NA,NA,NA,NA,NA,NA
"SECESH","Btl",28,48,NA,NA,NA,"7.5YR","5","6"
"SEDGEVILLE","Bgl",20,43,NA,NA,NA,"2.5Y","5","2"
"SIECHE","Oi",3,0,NA,NA,NA,NA,NA,NA
"SUNDELL","Oi",5,0,NA,NA,NA,NA,NA,NA
"SUTLEY","Ap",0,15,"l0YR","4","3","l0YR","3","2"
"SWISS","2Btl",23,41,NA,NA,NA,"5YR","5","6"
"TACOOSH","Cgl",102,107,NA,NA,NA,"2.5Y","5","2"
"THISTLEDEW","0a",0,3,NA,NA,NA,"5YR","2","1"
"THURMAN","Cl",36,81,"10YR","6","4","10YR","5","3"
"TINTSON","Bwl",20,36,NA,NA,NA,"10YR","4","4"
"TONTI","Btl",20,36,NA,NA,NA,"10YR","5","4"
"TONTI","2Btl",86,124,NA,NA,NA,"2.5YR","4","6"
"TROUT BAY","0a1",0,18,NA,NA,NA,"10YR","2","1"
"TROUT BAY","0a2",18,48,NA,NA,NA,"10YR","2","1"
"VANOCKER","0e",0,2.5,NA,NA,NA,NA,NA,NA
"VANZILE","Bsl",10,23,NA,NA,NA,"7.5YR","3","4"
"VELVET","Oa",5,0,NA,NA,NA,"10YR","2","1"
"WASKISH","Oil",0,8,NA,NA,NA,NA,NA,NA
"WATTON","Oi",3,0,NA,NA,NA,NA,NA,NA
"WOODLY","A1",0,23,"l0YR","3","1","10YR","2","1"
"ZEANDALE","Ap",0,13,"l0YR","4","2",NA,NA,NA
"ZEANDALE","C1",13,41,"l0YR","5","2",NA,NA,NA
"ZEANDALE","C2",41,79,"l0YR","5","2",NA,NA,NA
"ZEANDALE","C4",130,150,"l0YR","2","2",NA,NA,NA
"ZEANDALE","2Ab",150,185,"l0YR","4",NA,NA,NA,NA
