"soilseriesname","errorkind","context","mlraoffice"
"ACUNA","MULTILINE TYPICAL PEDON","[number of multilines=4]","temple, tx"
"ADDIELOU","MULTILINE TYPICAL PEDON","[number of multilines=4]","temple, tx"
"AGUILARES","DUPLICATION OF HEADERS","[SAR: 10 to 40]","temple, tx"
"ALIKCHI","SECTION HEADINGS",NA,"temple, tx"
"AMBIA","MULTILINE TYPICAL PEDON","[number of multilines=4]","temple, tx"
"ARENISCO","DUPLICATION OF HEADERS","[SAR: 0.1 to 6.0,SAR: 0.1 to 9.0]","temple, tx"
"ATIRAS","DUPLICATION OF HEADERS","[SAR: 0 to 8]","temple, tx"
"BARBAROSA","MULTILINE TYPICAL PEDON","[number of multilines=3]","temple, tx"
"BATESVILLE","MULTILINE TYPICAL PEDON","[number of multilines=4]","temple, tx"
"BAUMAN","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: Temple, Texas]","temple, tx"
"BAYUCOS","MULTILINE TYPICAL PEDON","[number of multilines=4]","temple, tx"
"BEARHEAD","MULTILINE TYPICAL PEDON","[number of multilines=1]","temple, tx"
"BECKMAN","DUPLICATION OF HEADERS","[SAR: 1 to 5,SAR: 3 to 20]","temple, tx"
"BENITO","MULTILINE TYPICAL PEDON","[number of multilines=2]","temple, tx"
"BENKLIN","MULTILINE TYPICAL PEDON","[number of multilines=3]","temple, tx"
"BIROME","MULTILINE TYPICAL PEDON","[number of multilines=5]","temple, tx"
"BLUM","MULTILINE TYPICAL PEDON","[number of multilines=2]","temple, tx"
"BORDAS","DUPLICATION OF HEADERS","[SAR: 0 to 4,SAR: 0 to 8]","temple, tx"
"BROMIDE","MULTILINE TYPICAL PEDON","[number of multilines=3]","temple, tx"
"BRONTE","MULTILINE TYPICAL PEDON","[number of multilines=1]","temple, tx"
"BROOME","MULTILINE TYPICAL PEDON","[number of multilines=3]","temple, tx"
"BRYARLY","MULTILINE TYPICAL PEDON","[number of multilines=4]","temple, tx"
"BURSLEY","MULTILINE TYPICAL PEDON","[number of multilines=5]","temple, tx"
"CADELAKE","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: Temple, Texas]","temple, tx"
"CADEVILLE","MULTILINE TYPICAL PEDON","[number of multilines=6]","temple, tx"
"CALLISBURG","MULTILINE TYPICAL PEDON","[number of multilines=4]","temple, tx"
