"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"CROWLEY",528192,TRUE,2004,FALSE,TRUE
"LEERAY",462487,TRUE,2017,TRUE,FALSE
"UVALDE",431820,TRUE,2016,TRUE,FALSE
"NUVALDE",341892,FALSE,2017,TRUE,FALSE
"RADER",305857,TRUE,2006,TRUE,FALSE
"TABOR",274180,FALSE,1997,TRUE,FALSE
"ABILENE",245509,TRUE,2015,TRUE,FALSE
"MOWATA",234221,FALSE,2014,FALSE,TRUE
"PALOBIA",173052,TRUE,2007,FALSE,TRUE
"OTANYA",159345,TRUE,2006,TRUE,FALSE
"MESSER",149338,FALSE,2013,TRUE,FALSE
"MIDLAND",143089,FALSE,2004,FALSE,TRUE
"GAGEBY",102476,FALSE,2017,FALSE,TRUE
"GURDON",99665,FALSE,1999,TRUE,TRUE
"WESTILL",96388,FALSE,2000,FALSE,TRUE
"VOCA",94263,FALSE,2010,TRUE,FALSE
"ROSANKY",93065,FALSE,1997,TRUE,TRUE
"DALLARDSVILLE",91608,FALSE,2000,FALSE,TRUE
"BIGFORK",81882,FALSE,2001,TRUE,FALSE
"VIBORAS",73305,FALSE,2009,TRUE,FALSE
"MOLLVILLE",73061,FALSE,2002,TRUE,FALSE
"DERBY",66809,FALSE,2000,FALSE,TRUE
"CRANELL",65415,FALSE,2007,TRUE,FALSE
"HEARNE",61540,FALSE,2003,TRUE,TRUE
"QUEMADO",60905,FALSE,2009,TRUE,FALSE
"YORKTOWN",57246,FALSE,1999,TRUE,TRUE
"TEXLA",55408,FALSE,1997,TRUE,FALSE
"ROARK",53255,FALSE,2000,FALSE,TRUE
"FRANCITAS",47356,FALSE,2015,TRUE,FALSE
"LELA",37303,FALSE,2016,TRUE,FALSE
"CAYO",36335,FALSE,2007,FALSE,TRUE
"TOPIA",26171,FALSE,2016,TRUE,FALSE
"GANADO",23644,FALSE,2019,TRUE,FALSE
"MCCASKILL",23478,FALSE,2010,TRUE,FALSE
"WESTWEGO",22938,FALSE,2011,FALSE,TRUE
"NALDO",18514,FALSE,2003,FALSE,TRUE
"HIGHBANK",16341,FALSE,2001,TRUE,FALSE
"ADDIELOU",15478,FALSE,2005,FALSE,TRUE
"TAMFORD",15291,FALSE,1997,TRUE,FALSE
"ARNETT",14657,FALSE,2000,FALSE,TRUE
"ANGELINA",14362,FALSE,1998,FALSE,TRUE
"LATINA",12060,FALSE,2015,TRUE,FALSE
"RUPLEY",11956,FALSE,1993,TRUE,FALSE
"GRITER",11048,FALSE,2002,FALSE,TRUE
"WINEDALE",10350,FALSE,1997,TRUE,FALSE
"TOMAST",9345,FALSE,2003,TRUE,TRUE
"ANDRY",7430,FALSE,2003,TRUE,TRUE
"DECOBB",5874,FALSE,2000,FALSE,TRUE
"BOCOX",5547,FALSE,2000,FALSE,TRUE
"RUPLE",5445,FALSE,2000,FALSE,TRUE
"TORNERO",5035,FALSE,2016,TRUE,FALSE
"DOOLIN",4995,FALSE,1997,TRUE,FALSE
"KRADE",4733,FALSE,2003,FALSE,TRUE
"GRAYROCK",4135,FALSE,2000,FALSE,TRUE
"TURCOTTE",3741,FALSE,2003,FALSE,TRUE
"STELLTOWN",2898,FALSE,2010,TRUE,FALSE
"WARDA",2763,FALSE,1998,TRUE,FALSE
"ZENORIA",2386,FALSE,2000,FALSE,TRUE
"TASAJAL",1199,FALSE,2003,FALSE,TRUE
