"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AHRNKLIN","Oe",8,0,NA,NA,NA,"5YR","2","2"
"AHRNKLIN","Oi",10,8,NA,NA,NA,NA,NA,NA
"ANAN","Oa",8,0,NA,NA,NA,"5YR","2.5","2"
"ANAN","Oi",10,8,NA,NA,NA,NA,NA,NA
"ANIAK","Oe",3,0,NA,NA,NA,"5YR","2","2"
"BARANOF","Oa",8,0,NA,NA,NA,"5YR","2.5","2"
"BARANOF","Oi",10,8,NA,NA,NA,"5YR","2.5","2"
"BATZA","Oi",8,3,NA,NA,NA,"5YR","2","2"
"BLAQUIRRE","Oi",3,0,NA,NA,NA,"7.5YR","3","2"
"BLASHKE","Oa",8,0,NA,NA,NA,"5YR","2.5","2"
"BLASHKE","Oe",10,8,NA,NA,NA,"5YR","3","2"
"BOULDER POINT","Oi",10,8,NA,NA,NA,NA,NA,NA
"CALAMITY","Oe",5,0,NA,NA,NA,"5YR","3","2"
"CHICHAGOF","Oa",30,0,NA,NA,NA,"5YR","2.5","2"
"CHICHAGOF","Oi",33,30,NA,NA,NA,"5YR","2.5","2"
"CHILKAT","01",5,0,NA,NA,NA,NA,NA,NA
"CHILKAT","B3",28,36,NA,NA,NA,"lOYR","4","4"
"CHUCKRIVER","Oa",20,0,NA,NA,NA,NA,NA,NA
"COAL CREEK","Oi",15,5,NA,NA,NA,NA,NA,NA
"COPPER RIVER","Oi",23,13,NA,NA,NA,"7.5YR","3","4"
"DADINA","Oi",25,10,NA,NA,NA,"7.5YR","3","4"
"EASLEY","O12",5,0,NA,NA,NA,"5YR","2","1"
"EASLEY","O11",13,5,NA,NA,NA,NA,NA,NA
"ESHAMY","021",25,18,NA,NA,NA,NA,NA,NA
"EYAK","01",3,0,NA,NA,NA,NA,NA,NA
"FAIRLESS","Oi",8,3,NA,NA,NA,NA,NA,NA
"FANSHAW","Oa",18,0,NA,NA,NA,"5YR","2.5","2"
"FANSHAW","Oe",23,18,NA,NA,NA,"5YR","2.5","2"
"FEREBEE","Al",0,8,NA,NA,NA,"10YR","2","1"
"FORDSTERROR","Oa",8,0,NA,NA,NA,"5YR","2.5","2"
"FORDSTERROR","Oi",10,8,NA,NA,NA,NA,NA,NA
"FUNTER","0i1",0,46,NA,NA,NA,"10YR","5","3"
"FUNTER","0i2",46,61,NA,NA,NA,"10YR","6","4"
"GOLDEN","Oa",13,0,NA,NA,NA,"5YR","2.5","2"
"GOODHOPE","02",3,0,NA,NA,NA,"10YR","3","1"
"GOODHOPE","01",8,3,NA,NA,NA,"5YR","2","2"
"GOODPASTER","Oi1",23,10,NA,NA,NA,"7.5YR","4","4"
"GREWINGK","Oi",23,8,NA,NA,NA,NA,NA,NA
"GUNNUK","Oa",15,0,NA,NA,NA,"10YR","3","2"
"HELM","Oa",20,0,NA,NA,NA,"2.5YR","2.5","2"
"HISNA","Oi",30,8,NA,NA,NA,"10YR","2","1"
"HOFSTAD","Oe",15,0,NA,NA,NA,NA,NA,NA
