"soilseriesname","errorkind","context","mlraoffice"
"DELYNDIA","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"DISTIN","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"DOTLAKE","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"ESHAMY","SECTION HEADINGS",NA,"wasilla, AK"
"ESHAMY","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"FROSTCIRCLE","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"GREWINGK","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"HYDABURG","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"KALSIN","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"KONIAG","DUPLICATION OF HEADERS","[GEOGRAPHIC SETTING:]","wasilla, AK"
"KONIAG","DUPLICATE STANDARD SECTIONS","[GEOGRAPHIC SETTING]","wasilla, AK"
"KUSKOKWIM","SECTION HEADINGS",NA,"wasilla, AK"
"MEDFRA","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"NABESNA","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"NARROW CAPE","DUPLICATION OF HEADERS","[GEOGRAPHIC SETTING:]","wasilla, AK"
"NARROW CAPE","DUPLICATE STANDARD SECTIONS","[GEOGRAPHIC SETTING]","wasilla, AK"
"PUSTOI","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"REZANOF","DUPLICATION OF HEADERS","[GEOGRAPHIC SETTING:]","wasilla, AK"
"REZANOF","DUPLICATE STANDARD SECTIONS","[GEOGRAPHIC SETTING]","wasilla, AK"
"SWILLNA","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"TAKOTNA","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"TOGHOTTHELE","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","wasilla, AK"
"TOKEEN","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"TOKLAT","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
"UNAKWIK","MULTILINE TYPICAL PEDON","[number of multilines=1]","wasilla, AK"
