"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"TOLSTOI",723638,FALSE,2005,TRUE,FALSE
"KUPREANOF",530472,FALSE,2005,TRUE,FALSE
"MOSMAN",375798,FALSE,2005,TRUE,FALSE
"KLAWASI",355976,TRUE,2019,TRUE,FALSE
"ST. NICHOLAS",327799,FALSE,2002,TRUE,FALSE
"MITKOF",319145,FALSE,2005,TRUE,FALSE
"STRANDLINE",317199,FALSE,2002,TRUE,FALSE
"CHELINA",309924,TRUE,2008,TRUE,FALSE
"KROTO",277539,FALSE,2002,TRUE,FALSE
"WADLEIGH",214938,FALSE,2002,TRUE,FALSE
"NAKWASINA",196631,FALSE,2002,TRUE,FALSE
"NANCY",195437,TRUE,2005,TRUE,FALSE
"KARTA",188782,FALSE,2002,TRUE,FALSE
"TUXEKAN",124739,FALSE,2002,TRUE,FALSE
"ULLOA",122522,FALSE,2002,TRUE,FALSE
"CHUIT",117852,FALSE,2002,TRUE,FALSE
"TRAITORS",103116,FALSE,2002,TRUE,FALSE
"TONOWEK",94035,FALSE,2005,TRUE,FALSE
"HYDABURG",81115,FALSE,1993,TRUE,FALSE
"SUKOI",74834,FALSE,2005,TRUE,FALSE
"YAKOBI",72153,FALSE,2002,TRUE,FALSE
"COPPER RIVER",66542,TRUE,2005,TRUE,FALSE
"SARKAR",65881,FALSE,2002,TRUE,FALSE
"HILINE",63434,FALSE,2002,TRUE,FALSE
"MENDELTNA",61806,FALSE,2019,TRUE,FALSE
"HELM",60804,FALSE,2002,TRUE,FALSE
"VIXEN",60343,FALSE,2002,TRUE,FALSE
"TELAY",58617,FALSE,2008,TRUE,FALSE
"TOLSONA",53595,FALSE,2002,TRUE,FALSE
"KASIANA",53395,FALSE,2002,TRUE,FALSE
"TEKLANIKA",52997,FALSE,1987,TRUE,FALSE
"PARTOFSHIKOF",52484,FALSE,2005,TRUE,FALSE
"KOGISH",50495,FALSE,2002,TRUE,FALSE
"NANWALEK",50420,FALSE,1999,TRUE,FALSE
"KLUNA",48752,FALSE,1999,TRUE,FALSE
"PIPPIN",44333,FALSE,2019,TRUE,FALSE
"GAKONA",41035,FALSE,2008,TRUE,FALSE
"KNIK",36925,FALSE,2008,TRUE,FALSE
"SITKA",36585,FALSE,2005,TRUE,FALSE
"KWATAHEIN",35685,FALSE,2002,TRUE,FALSE
"NIZINA",34404,FALSE,2023,TRUE,FALSE
"DOTLAKE",31383,FALSE,2002,TRUE,FALSE
"VERSTOVIA",30500,FALSE,2005,TRUE,FALSE
"TONSINA",29947,FALSE,2002,TRUE,FALSE
"CALAMITY",29570,FALSE,2002,TRUE,FALSE
"TOKEEN",27101,FALSE,2002,TRUE,FALSE
"TARAL",26603,FALSE,2002,TRUE,FALSE
"KLISKON",25981,FALSE,2004,TRUE,FALSE
"PERIL",23996,FALSE,2002,TRUE,TRUE
"SCHROCK",23065,FALSE,2002,TRUE,FALSE
"SOAKPAK",22103,FALSE,2008,TRUE,FALSE
"MACLAREN",21972,FALSE,2008,TRUE,FALSE
"GADONA",21847,FALSE,2008,TRUE,FALSE
"FROSTCIRCLE",20927,FALSE,2005,TRUE,FALSE
"KENNY LAKE",20543,FALSE,2002,TRUE,FALSE
"TSANA",19970,FALSE,2008,TRUE,FALSE
"NATAGA",18388,FALSE,2015,TRUE,FALSE
"LUCILE",17480,FALSE,2005,TRUE,FALSE
"BARANOF",16124,FALSE,1995,TRUE,FALSE
"DISAPPOINT",15763,FALSE,2002,TRUE,FALSE
"FEREBEE",15302,FALSE,2022,TRUE,TRUE
"GULKANA",15301,FALSE,2019,TRUE,FALSE
"WASILLA",14606,FALSE,2002,TRUE,FALSE
"SWILLNA",14549,FALSE,1999,TRUE,FALSE
"FORDSTERROR",14207,FALSE,2002,TRUE,FALSE
"SLODUC",14087,FALSE,2002,TRUE,FALSE
"CHEDATNA",13464,FALSE,2008,TRUE,FALSE
"CHETASLINA",13385,FALSE,2008,TRUE,FALSE
"HOFSTAD",12867,FALSE,2002,TRUE,FALSE
"TSADAKA",12763,FALSE,2002,TRUE,FALSE
"KLUTINA",12632,FALSE,2002,TRUE,FALSE
"CHITINA",12162,FALSE,2002,TRUE,FALSE
"CHUCKRIVER",11775,FALSE,2002,TRUE,FALSE
"TEBAY",11702,FALSE,2019,TRUE,FALSE
"CHICHAGOF",11544,FALSE,2005,TRUE,FALSE
"DELYNDIA",11340,FALSE,1995,TRUE,FALSE
"BODENBURG",11030,FALSE,2008,TRUE,FALSE
"GOLDCORD",10540,FALSE,2002,TRUE,FALSE
"KUSLINA",10399,FALSE,2019,TRUE,FALSE
"COAL CREEK",9849,FALSE,2004,TRUE,FALSE
"YENSUS",9690,FALSE,2008,TRUE,FALSE
"HANAGITA",9396,FALSE,2002,TRUE,FALSE
"SNETTISHAM",9286,FALSE,2002,TRUE,FALSE
"SWEDNA",8974,FALSE,1999,TRUE,FALSE
"CHILKOOT",8605,FALSE,1991,TRUE,FALSE
"KUSLINAD",7995,FALSE,1999,TRUE,FALSE
"HOLLOW",7926,FALSE,1988,TRUE,TRUE
"LIESNOI",7743,FALSE,2008,TRUE,FALSE
"KALAMBACH",7711,FALSE,2008,TRUE,FALSE
"HOMESTEAD",6917,FALSE,2005,TRUE,FALSE
"REMEDIOS",6703,FALSE,2002,TRUE,FALSE
"SKAGWAY",6569,FALSE,1988,TRUE,FALSE
"YOHN",6210,FALSE,2002,TRUE,FALSE
"SELDOVIA",5717,FALSE,1999,TRUE,FALSE
"SUNTRANA",5463,FALSE,2002,TRUE,FALSE
"MEARES",5295,FALSE,2002,TRUE,FALSE
"BLASHKE",5192,FALSE,1993,TRUE,FALSE
"ISIDOR",5184,FALSE,2002,TRUE,FALSE
"TSIRKU",5068,FALSE,2002,TRUE,FALSE
"EWAN",5039,FALSE,1999,TRUE,FALSE
"COBBLANK",4995,FALSE,2008,TRUE,FALSE
"PSUYAAH",4907,FALSE,2003,TRUE,FALSE
"TOKLAT",4525,FALSE,2002,TRUE,FALSE
"MINCHUMINA",4508,FALSE,2002,TRUE,FALSE
"PETREL",4333,FALSE,2002,TRUE,FALSE
"BLAQUIRRE",4126,FALSE,2008,TRUE,FALSE
"DADINA",4031,FALSE,2019,TRUE,FALSE
"SPASSKI",3932,FALSE,2002,TRUE,FALSE
"ESKA",3610,FALSE,2008,TRUE,FALSE
"FANSHAW",3021,FALSE,1993,TRUE,FALSE
"WATERFALL",2976,FALSE,2002,TRUE,FALSE
"LUTAK",2732,FALSE,1995,TRUE,TRUE
"MAGNETIC",2598,FALSE,2002,TRUE,FALSE
"CHILLIGAN",2495,FALSE,2002,TRUE,FALSE
"JAKOLOF",2308,FALSE,1999,TRUE,FALSE
"TANGOE",2297,FALSE,1999,TRUE,FALSE
"GOLDEN",2282,FALSE,1994,TRUE,FALSE
"PIPPOD",2272,FALSE,1999,TRUE,FALSE
"KLANELNEECHENA",1952,FALSE,2002,TRUE,FALSE
"HOGAN",1932,FALSE,1999,TRUE,FALSE
"ANAN",1929,FALSE,1995,TRUE,FALSE
"GOODPASTER",1864,FALSE,2002,TRUE,FALSE
"QENI",1759,FALSE,2008,TRUE,FALSE
"MALMESBURY",1734,FALSE,1995,TRUE,FALSE
"KRUBATE",1718,FALSE,1995,TRUE,FALSE
"FLAT HORN",1584,FALSE,2002,TRUE,FALSE
"NICKOLNA",1517,FALSE,2008,TRUE,FALSE
"BERNICE",1443,FALSE,1995,TRUE,FALSE
"STUCK",1349,FALSE,2002,TRUE,FALSE
"CHISTNA",1339,FALSE,2008,TRUE,FALSE
"JIM",1335,FALSE,2002,TRUE,FALSE
"TALUWIK",1192,FALSE,1999,TRUE,FALSE
"NAUKATI",972,FALSE,2002,TRUE,FALSE
"GUNNUK",942,FALSE,2002,TRUE,FALSE
"ISMAILOF",907,FALSE,1999,TRUE,FALSE
"CHISTOCHINA",715,FALSE,2019,TRUE,FALSE
"STAVE",599,FALSE,1992,TRUE,FALSE
"SINONA",564,FALSE,2008,TRUE,FALSE
"PETROF",532,FALSE,1999,TRUE,FALSE
"KUSDRY",398,FALSE,2008,TRUE,FALSE
"ZOLOTOI",385,FALSE,2000,TRUE,FALSE
"KEBA",341,FALSE,2002,TRUE,FALSE
"DISTIN",262,FALSE,2005,TRUE,FALSE
"KANDIK",221,FALSE,2002,TRUE,FALSE
"GOODVIEW",181,FALSE,2018,TRUE,FALSE
"CLARENA",140,FALSE,1999,TRUE,FALSE
"OGTNA",122,FALSE,2008,TRUE,FALSE
"HISNA",74,FALSE,1999,TRUE,FALSE
"LIVENGOOD",3,FALSE,2008,TRUE,FALSE
"YUKON",NA,FALSE,2002,TRUE,FALSE
"UNAKWIK",NA,FALSE,1995,FALSE,TRUE
"UMIAT",NA,FALSE,2002,TRUE,FALSE
"UGAK",NA,FALSE,1995,TRUE,FALSE
"TUPUKNUK",NA,FALSE,2002,TRUE,FALSE
"TULIK",NA,FALSE,1995,TRUE,FALSE
"TORPEDO LAKE",NA,FALSE,2002,TRUE,FALSE
"TAWAH",NA,FALSE,1995,TRUE,FALSE
"TAKOTNA",NA,FALSE,2002,TRUE,FALSE
"STAINKY",NA,FALSE,2002,TRUE,FALSE
"PUSTOI",NA,FALSE,1995,TRUE,FALSE
"PURCHES",NA,FALSE,2002,TRUE,FALSE
"PINCHER",NA,FALSE,2002,TRUE,FALSE
"PARTOV",NA,FALSE,1995,TRUE,FALSE
"NIKISHKA",NA,FALSE,1995,TRUE,FALSE
"NAKNEK",NA,FALSE,2002,TRUE,FALSE
"NABESNA",NA,FALSE,2002,TRUE,FALSE
"MEDFRA",NA,FALSE,2002,TRUE,FALSE
"MCCALLY",NA,FALSE,2002,TRUE,FALSE
"KVICHAK",NA,FALSE,1995,TRUE,FALSE
"KUNAYOSH",NA,FALSE,2015,TRUE,FALSE
"KIOKLUK",NA,FALSE,2002,TRUE,FALSE
"KELSALL",NA,FALSE,2002,TRUE,FALSE
"KALSIN",NA,FALSE,2002,TRUE,FALSE
"GREWINGK",NA,FALSE,2002,TRUE,FALSE
"GOODHOPE",NA,FALSE,2002,TRUE,FALSE
"FAIRLESS",NA,FALSE,2008,TRUE,FALSE
"EYAK",NA,FALSE,2002,TRUE,FALSE
"ESHAMY",NA,FALSE,2002,TRUE,FALSE
"EASLEY",NA,FALSE,2002,TRUE,FALSE
"DINGLISHNA",NA,FALSE,1996,TRUE,FALSE
"COVILLE",NA,FALSE,2002,TRUE,FALSE
"CHILKAT",NA,FALSE,2002,TRUE,TRUE
"BOULDER POINT",NA,FALSE,2002,TRUE,FALSE
"BOGOSLOF",NA,FALSE,2000,TRUE,FALSE
"BATZA",NA,TRUE,2002,TRUE,FALSE
"ANIAK",NA,FALSE,2002,TRUE,FALSE
"ANCHORAGE",NA,FALSE,2005,TRUE,FALSE
"AHRNKLIN",NA,FALSE,2002,TRUE,FALSE
