"soilseriesname","errorkind","context","mlraoffice"
"BAMTUSH","DUPLICATE STANDARD SECTIONS","[REMARKS]","davis, ca"
"BUNSELMEIER","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"CALIMUS","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"CAMPFOUR","DUPLICATE STANDARD SECTIONS","[REMARKS]","davis, ca"
"CASUSE","DUPLICATION OF HEADERS","[REMARKS:,The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"CASUSE","DUPLICATE STANDARD SECTIONS","[REMARKS]","davis, ca"
"CENTISSIMA","LINE 1 LOCATION",NA,"davis, ca"
"COUNTSHILL","DUPLICATION OF HEADERS","[Hue: 10 YR or 2.5Y.]","davis, ca"
"DITCHCAMP","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"DREWSGAP","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"EELCOVE","DUPLICATION OF HEADERS","[OSD revised during correlation of the San Clemente Island Interim Report in 2018.]","davis, ca"
"EXEL","DUPLICATION OF HEADERS","[REMARKS:,The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"EXEL","DUPLICATE STANDARD SECTIONS","[REMARKS]","davis, ca"
"FERNDALE","DUPLICATION OF HEADERS","[Hue: 10 YR or 2.5 Y]","davis, ca"
"FIALE","DUPLICATE STANDARD SECTIONS","[TYPE LOCATION]","davis, ca"
"FLAGSTAFF","DUPLICATION OF HEADERS","[Sodicity, SAR: 300 to 600.]","davis, ca"
"GORGONIO","SECTION HEADINGS",NA,"davis, ca"
"GREYSTOKE","DUPLICATE STANDARD SECTIONS","[REMARKS]","davis, ca"
"HAPPYISLES","SECTION HEADINGS",NA,"davis, ca"
"HARRIMAN","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"HARTLESS","LINE 1 LOCATION",NA,"davis, ca"
