"soilseriesname","errorkind","context","mlraoffice"
"BURTON","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","morgantown, wv"
"CALVERT","SECTION HEADINGS",NA,"morgantown, wv"
"CHENNEBY","DUPLICATION OF HEADERS","[AL0026  0-16  4.5- 6.0  .5-3.  0- 0   0.6- 2.0  LOW,AL0105  0-16  4.5- 6.0  .5-2.  0- 0   0.6- 2.0  LOW]","morgantown, wv"
"CRAGGEY","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","morgantown, wv"
"DYKE","DUPLICATION OF HEADERS","[VA0098  0- 8  4.5- 5.5  .1-2.  0- 0   0.6- 6.0  LOW]","morgantown, wv"
"GOLDVEIN","DUPLICATION OF HEADERS","[VA0045  0-19  3.6- 5.0  .5-2.  0- 0   0.6- 2.0  LOW]","morgantown, wv"
"MATAPEAKE","DUPLICATION OF HEADERS","[MD0037  0-11  4.5- 5.5  1.-2.  0- 0   0.6- 2.0  LOW]","morgantown, wv"
"MICAVILLE","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","morgantown, wv"
"RUNCLINT","DUPLICATION OF HEADERS","[MD0141  0-22  3.6- 5.5  .5-3.  0- 0   6.0-  20  LOW]","morgantown, wv"
"SHARPTOWN","DUPLICATION OF HEADERS","[NJ0100  0-10  3.6- 4.4  1.-3.  0- 0   0.6- 2.0  LOW]","morgantown, wv"
"SUNNYSIDE","DUPLICATION OF HEADERS","[MD0055  0- 8  4.5- 5.5  1.-4.  0- 0   0.6- 2.0  LOW]","morgantown, wv"
