"soilseriesname","errorkind","context","mlraoffice"
"AROJOMIL","DUPLICATION OF HEADERS","[Sodicity, SAR: 0 to 4]","phoenix, az"
"AZABACHE","DUPLICATION OF HEADERS","[SAR: 20 to 30]","phoenix, az"
"BECLABITO","DUPLICATION OF HEADERS","[Sodicity, SAR: 5 to 30]","phoenix, az"
"BRIMHALL","DUPLICATION OF HEADERS","[SAR: 5 to 35]","phoenix, az"
"CAIRN","DUPLICATION OF HEADERS","[Sodicity, SAR: 0 to 5]","phoenix, az"
"CAMAC","DUPLICATION OF HEADERS","[Sodicity, SAR: 0 to 5]","phoenix, az"
"CHIMROCK","DUPLICATION OF HEADERS","[SAR: 0 to 30]","phoenix, az"
"CHINDE","DUPLICATION OF HEADERS","[Sodicity, SAR: 30 to 60.]","phoenix, az"
"CROY","DUPLICATION OF HEADERS","[SAR: 0 to 13]","phoenix, az"
"DECOROCK","DUPLICATION OF HEADERS","[SAR:  0 to 1]","phoenix, az"
"FLATTOP","SECTION HEADINGS",NA,"phoenix, az"
"FORDBUTTE","DUPLICATION OF HEADERS","[Sodicity, SAR: 5 to 30.]","phoenix, az"
"GENATS","DUPLICATION OF HEADERS","[Sodicity, SAR: 13 to 30]","phoenix, az"
"GRAZANE","DUPLICATION OF HEADERS","[SAR: 5 to 13]","phoenix, az"
"GYPSEY","DUPLICATION OF HEADERS","[SAR: 0 to 3]","phoenix, az"
"HOPE","DUPLICATION OF HEADERS","[SAR:  0 to 3]","phoenix, az"
"HOSKAY","DUPLICATION OF HEADERS","[Sodicity, SAR: 13 to 30.,Sodicity, SAR: 5 to 30.]","phoenix, az"
"JUANALO","DUPLICATION OF HEADERS","[SAR:  0 to 2]","phoenix, az"
"MCELMO","DUPLICATION OF HEADERS","[Sodicity, SAR: 13 to 30,Sodicity, SAR: 5 to 13]","phoenix, az"
"OAGAMATI","DUPLICATION OF HEADERS","[SAR:  13 to 40]","phoenix, az"
"PATEL","DUPLICATION OF HEADERS","[Sodicity, SAR: 13 to 30.]","phoenix, az"
"PICLIFF","DUPLICATION OF HEADERS","[SAR: 1 to 5]","phoenix, az"
"REDLANDS","DUPLICATION OF HEADERS","[Sodicity, SAR: 0 to 13,Sodicity, SAR: 0 to 3]","phoenix, az"
"SANOSTEE","DUPLICATION OF HEADERS","[Sodicity, SAR: 5 to 13]","phoenix, az"
"SHUMBEGAY","DUPLICATION OF HEADERS","[SAR: 5 to 30]","phoenix, az"
"SNAPILL","DUPLICATION OF HEADERS","[Sodicity, SAR: 5 to 30.]","phoenix, az"
"TOADLENA","DUPLICATION OF HEADERS","[Sodicity, SAR: 5 to 13.]","phoenix, az"
"TOCITO","DUPLICATION OF HEADERS","[Sodicity, SAR: 0 to 5.]","phoenix, az"
"TOQUOP","SECTION HEADINGS",NA,"phoenix, az"
"TSEBITAI","DUPLICATION OF HEADERS","[Sodicity, SAR: 0 to 5.]","phoenix, az"
"TYENDE","DUPLICATION OF HEADERS","[SAR: 30 to 60]","phoenix, az"
"VENZUNI","DUPLICATION OF HEADERS","[Sodicity, SAR:  0 to 5]","phoenix, az"
"VERANO","SECTION HEADINGS",NA,"phoenix, az"
"WERLOG","DUPLICATION OF HEADERS","[Sodicity, SAR: 0 to 30]","phoenix, az"
"WINGROCK","DUPLICATION OF HEADERS","[Sodicity, SAR: less than 5]","phoenix, az"
"YOGOVUCI","DUPLICATION OF HEADERS","[SAR:  1 to 13]","phoenix, az"
