"soilseriesname","errorkind","context","mlraoffice"
"ANNAPOLIS","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"ANNEMESSEX","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"APPOQUINIMINK","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"AQUASCO","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"ATSION","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Sandy, siliceous, mesic Aeric Alaquods]","raleigh, nc"
"ATSION","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"BELTSVILLE","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"BESTPITCH","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Clayey, mixed, euic, mesic Terric Sulfihemists]","raleigh, nc"
"BESTPITCH","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"BUGLEY","DUPLICATION OF HEADERS","[RANGE IN CHARACTERISTICS:]","raleigh, nc"
"BUGLEY","DUPLICATE STANDARD SECTIONS","[RANGE IN CHARACTERISTICS]","raleigh, nc"
"CHICONE","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"CHILLUM","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-silty, mixed, semiactive, mesic Typic Hapludults]","raleigh, nc"
"CHILLUM","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"CHRISTIANA","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"COLEMANTOWN","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine, glauconitic, mesic Typic Albaquults]","raleigh, nc"
"COLEMANTOWN","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE,TAXONOMIC CLASS]","raleigh, nc"
"COLTS NECK","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-loamy, mixed, active, mesic Humic Hapludults]","raleigh, nc"
"COLTS NECK","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"CUMBERSTONE","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"DEALE","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"DUCKBOTTOM","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Very-fine, kaolinitic, acid, thermic Fluvaquentic Endoaquepts]","raleigh, nc"
"ELKTON","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Fine-silty, mixed, active, mesic Typic Endoaquults]","raleigh, nc"
"ELKTON","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"FORT MOTT","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","raleigh, nc"
"GALLOWAY","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Mesic, coated Aquic Quartzipsamments]","raleigh, nc"
"GALLOWAY","DUPLICATE STANDARD SECTIONS","[TAXONOMIC CLASS]","raleigh, nc"
"GREENWICH","DUPLICATION OF HEADERS","[TAXONOMIC CLASS: Coarse-loamy, mixed, semiactive, mesic Typic Hapludults]","raleigh, nc"
