"soilseriesname","errorkind","context","mlraoffice"
"ADGER","DUPLICATION OF HEADERS","[SAR:  13 to 30]","salina, ks"
"AGUILAR","DUPLICATION OF HEADERS","[SAR:  15 to 35]","salina, ks"
"ALLENTINE","DUPLICATION OF HEADERS","[SAR: 2 to 10]","salina, ks"
"ALONA","DUPLICATION OF HEADERS","[SAR:  2 to 10]","salina, ks"
"ALZADA","DUPLICATION OF HEADERS","[SAR:  0 to 13]","salina, ks"
"ANTELOPEFLAT","DUPLICATION OF HEADERS","[SAR:  1 to 3,SAR:  2 to 4]","salina, ks"
"BICKERDYKE","DUPLICATION OF HEADERS","[SAR:  15 to 30]","salina, ks"
"BRUNELDA","DUPLICATION OF HEADERS","[SAR:  25 to 45]","salina, ks"
"BUHLER","DUPLICATION OF HEADERS","[SAR: 5 to 10]","salina, ks"
"CABBART","DUPLICATION OF HEADERS","[SAR:  0 to 10]","salina, ks"
"GALBRETH","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: Denver, Colorado]","salina, ks"
"GALBRETH","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","salina, ks"
"GERDRUM","DUPLICATION OF HEADERS","[SAR:  10 to 20; pedons with sodium adsorption ratio of less than 13 have more exchangeable magnesium plus sodium than calcium plus exchange acidity at pH 8.2.,SAR:  13 to 30]","salina, ks"
"HYDRO","DUPLICATION OF HEADERS","[SAR: 15 to 30]","salina, ks"
"JANKOSH","DUPLICATION OF HEADERS","[SAR: 0 to 9,SAR: 13 to 30]","salina, ks"
"KISIWA","DUPLICATION OF HEADERS","[SAR: 2 to 4]","salina, ks"
"KOBASE","DUPLICATION OF HEADERS","[SAR:  0 to 10,SAR:  0 to 4]","salina, ks"
"LONNA","DUPLICATION OF HEADERS","[SAR:  0 to 13]","salina, ks"
"MARCOTT","DUPLICATION OF HEADERS","[SAR:  0 to 20]","salina, ks"
"NELDORE","DUPLICATION OF HEADERS","[SAR:  15 to 25]","salina, ks"
"NINNESCAH","DUPLICATION OF HEADERS","[SAR: 0 to 1]","salina, ks"
"OBURN","DUPLICATION OF HEADERS","[SAR:  13 to 30]","salina, ks"
"ORINOCO","DUPLICATION OF HEADERS","[SAR:  15 to 30]","salina, ks"
"OVMESA","DUPLICATION OF HEADERS","[SAR:  1 to 10]","salina, ks"
"RAPELJE","DUPLICATION OF HEADERS","[NOTES:]","salina, ks"
"WEINGART","DUPLICATION OF HEADERS","[SAR:  13 to 30]","salina, ks"
