"soilseriesname","errorkind","context","mlraoffice"
"BEARPAW","DUPLICATION OF HEADERS","[SAR:  0 to 5]","st. paul, mn"
"ELLOAM","DUPLICATION OF HEADERS","[SAR:  13 to 25]","st. paul, mn"
"HARLAKE","DUPLICATION OF HEADERS","[SAR:  0 to 13]","st. paul, mn"
"HARLEM","DUPLICATION OF HEADERS","[SAR:  0 to 30; saline phase is 13 to 30]","st. paul, mn"
"HAVRE","DUPLICATION OF HEADERS","[SAR:  0 to 13]","st. paul, mn"
"MARIAS","DUPLICATION OF HEADERS","[SAR:  1 to 4]","st. paul, mn"
"MARVAN","DUPLICATION OF HEADERS","[SAR:  13 to 38]","st. paul, mn"
"PHILLIPS","DUPLICATION OF HEADERS","[SAR:  0 to 13]","st. paul, mn"
"TOSTON","DUPLICATION OF HEADERS","[SAR:  13 to 30]","st. paul, mn"
"VANDA","DUPLICATION OF HEADERS","[SAR:  13 to 30]","st. paul, mn"
"WABEDO","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: St. Paul, Minnesota]","st. paul, mn"
"WABEDO","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","st. paul, mn"
"WALTHAM","DUPLICATION OF HEADERS","[SAR:  4 to 20]","st. paul, mn"
