"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AHRNKLIN","Oe",8,0,NA,NA,NA,"5YR","2","2"
"AHRNKLIN","Oi",10,8,NA,NA,NA,NA,NA,NA
"ANAN","Oa",8,0,NA,NA,NA,"5YR","2.5","2"
"ANAN","Oi",10,8,NA,NA,NA,NA,NA,NA
"ANCHORAGE","Oi",5,0,NA,NA,NA,"5YR","2","2"
"ANIAK","Oe",3,0,NA,NA,NA,"5YR","2","2"
"BARANOF","Oa",8,0,NA,NA,NA,"5YR","2.5","2"
"BARANOF","Oi",10,8,NA,NA,NA,"5YR","2.5","2"
"BATZA","Oa",3,0,NA,NA,NA,"5YR","2","1"
"BATZA","Oi",8,3,NA,NA,NA,"5YR","2","2"
"BERNICE","Oi",3,0,NA,NA,NA,NA,NA,NA
"BLAQUIRRE","Oi",3,0,NA,NA,NA,"7.5YR","3","2"
"BLASHKE","Oa",8,0,NA,NA,NA,"5YR","2.5","2"
"BLASHKE","Oe",10,8,NA,NA,NA,"5YR","3","2"
"BODENBURG","Oe",5,0,NA,NA,NA,NA,NA,NA
"BOULDER POINT","Oe",8,0,NA,NA,NA,"5YR","2","2"
"BOULDER POINT","Oi",10,8,NA,NA,NA,NA,NA,NA
"CALAMITY","Oe",5,0,NA,NA,NA,"5YR","3","2"
"CHEDATNA","Oe",5,0,NA,NA,NA,NA,NA,NA
"CHELINA","Oe",3,0,NA,NA,NA,NA,NA,NA
"CHETASLINA","Oe",10,0,NA,NA,NA,NA,NA,NA
"CHICHAGOF","Oa",30,0,NA,NA,NA,"5YR","2.5","2"
"CHICHAGOF","Oi",33,30,NA,NA,NA,"5YR","2.5","2"
"CHILKAT","O1",5,0,NA,NA,NA,NA,NA,NA
"CHILKAT","B3",28,36,NA,NA,NA,"lOYR","4","4"
"CHILKOOT","Oi",8,0,NA,NA,NA,NA,NA,NA
"CHILLIGAN","Oi",5,0,NA,NA,NA,"5YR","2.5","2"
"CHISTNA","Oi",3,0,NA,NA,NA,"5YR","3","3"
"CHISTOCHINA","Oi",8,0,NA,NA,NA,"5YR","3","3"
"CHITINA","Oi",5,0,NA,NA,NA,NA,NA,NA
"CHUCKRIVER","Oa",20,0,NA,NA,NA,"N","2",NA
"CHUIT","Oi",8,0,NA,NA,NA,NA,NA,NA
"CLARENA","Oi",10,0,NA,NA,NA,"5YR","3","3"
"COAL CREEK","Oe",5,0,NA,NA,NA,"5YR","2","2"
"COAL CREEK","Oi",15,5,NA,NA,NA,NA,NA,NA
"COBBLANK","Oi",3,0,NA,NA,NA,"5YR","3","3"
"COPPER RIVER","Oe",13,0,NA,NA,NA,"10YR","2","1"
"COPPER RIVER","Oi",23,13,NA,NA,NA,"7.5YR","3","4"
"COVILLE","Oi",8,0,NA,NA,NA,NA,NA,NA
"DADINA","Oe",10,0,NA,NA,NA,"7.5YR","3","2"
"DADINA","Oi",25,10,NA,NA,NA,"7.5YR","3","4"
"DELYNDIA","Oi",8,0,NA,NA,NA,"7.5YR","3","4"
