"id","ac","benchmarksoilflag","soiltaxclasslastupdated"
"TOLSTOI",710750,FALSE,2005
"KUPREANOF",521148,FALSE,2005
"MOSMAN",376648,FALSE,2005
"MITKOF",315186,FALSE,2005
"STRANDLINE",310038,FALSE,2002
"KROTO",277471,FALSE,2002
"WADLEIGH",209986,FALSE,2002
"NAKWASINA",196235,FALSE,2002
"NANCY",195429,TRUE,2005
"KARTA",186949,FALSE,2002
"TUXEKAN",124670,FALSE,2002
"ULLOA",120749,FALSE,2002
"CHUIT",116630,FALSE,2002
"TRAITORS",100622,FALSE,2002
"TONOWEK",92675,FALSE,2005
"HYDABURG",79769,FALSE,1993
"KLAWASI",78508,TRUE,2019
"YAKOBI",67868,FALSE,2002
"HILINE",63434,FALSE,2002
"VIXEN",57716,FALSE,2002
"HELM",57661,FALSE,2002
"TEKLANIKA",52980,FALSE,1987
"TELAY",51307,FALSE,2008
"NANWALEK",50420,FALSE,1999
"KOGISH",49952,FALSE,2002
"KASIANA",49906,FALSE,2002
"TOLSONA",48885,FALSE,2002
"SUKOI",43801,FALSE,2005
"MENDELTNA",41386,FALSE,2019
"PARTOFSHIKOF",40268,FALSE,2005
"GAKONA",39754,FALSE,2008
"KNIK",36925,FALSE,2008
"KWATAHEIN",35655,FALSE,2002
"DOTLAKE",31837,FALSE,2002
"VERSTOVIA",30161,FALSE,2005
"SITKA",28843,FALSE,2005
"TONSINA",28336,FALSE,2002
"PIPPIN",28221,FALSE,2019
"CALAMITY",27999,FALSE,2002
"TOKEEN",26270,FALSE,2002
"KLISKON",25981,FALSE,2004
"SCHROCK",23065,FALSE,2002
"SOAKPAK",22799,FALSE,2008
"PERIL",22636,FALSE,2002
"NATAGA",18388,FALSE,2015
"LUCILE",17480,FALSE,2005
"BARANOF",16018,FALSE,1995
"DISAPPOINT",15763,FALSE,2002
"FEREBEE",15302,FALSE,2002
"GULKANA",15301,FALSE,2019
"WASILLA",14606,FALSE,2002
"TSANA",14381,FALSE,2008
"SLODUC",14092,FALSE,2002
"FORDSTERROR",13724,FALSE,2002
"CHEDATNA",13464,FALSE,2008
"CHETASLINA",13157,FALSE,2008
"NIZINA",12818,FALSE,2019
"TSADAKA",12814,FALSE,2002
"KLUTINA",12154,FALSE,2002
"CHELINA",11879,TRUE,2008
"CHUCKRIVER",11596,FALSE,2002
"DELYNDIA",11382,FALSE,1995
"CHICHAGOF",11274,FALSE,2005
"BODENBURG",11030,FALSE,2008
"TEBAY",10672,FALSE,2019
"GOLDCORD",10540,FALSE,2002
"KUSLINA",9941,FALSE,2019
"YENSUS",9659,FALSE,2008
"SNETTISHAM",9143,FALSE,2002
"CHILKOOT",8606,FALSE,1991
"TOTATLANIKA",8474,FALSE,2007
"HOFSTAD",8006,FALSE,2002
"HOLLOW",7815,FALSE,1988
"LIESNOI",7744,FALSE,2008
"KALAMBACH",7711,FALSE,2008
"KUSLINAD",7685,FALSE,1999
"CHITINA",7383,FALSE,2002
"SKAGWAY",6569,FALSE,1988
"REMEDIOS",6510,FALSE,2002
"YOHN",6210,FALSE,2002
"SELDOVIA",5717,FALSE,1999
"SUNTRANA",5463,FALSE,2002
"MEARES",5294,FALSE,2002
"BLASHKE",5190,FALSE,1993
"ISIDOR",5184,FALSE,2002
"HOMESTEAD",4995,FALSE,2005
"PSUYAAH",4907,FALSE,2003
"MINCHUMINA",4508,FALSE,2002
"PETREL",4302,FALSE,2002
"BLAQUIRRE",4126,FALSE,2008
"HANAGITA",3896,FALSE,2002
"ESKA",3610,FALSE,2008
"DADINA",3466,FALSE,2019
"SPASSKI",3323,FALSE,2002
"FROSTCIRCLE",3184,FALSE,2005
"FANSHAW",3021,FALSE,1993
"WATERFALL",2949,FALSE,2002
"LUTAK",2732,FALSE,1995
"MAGNETIC",2598,FALSE,2002
"CHILLIGAN",2495,FALSE,2002
"SWILLNA",2422,FALSE,1999
"JAKOLOF",2308,FALSE,1999
"COBBLANK",2280,FALSE,2008
"GOLDEN",2277,FALSE,1994
"KLANELNEECHENA",1964,FALSE,2002
"ANAN",1932,FALSE,1995
"EWAN",1890,FALSE,1999
"GOODPASTER",1864,FALSE,2002
"PIPPOD",1813,FALSE,1999
"SWEDNA",1803,FALSE,1999
"QENI",1759,FALSE,2008
"MALMESBURY",1735,FALSE,1995
"KRUBATE",1718,FALSE,1995
"TARAL",1714,FALSE,2002
"GADONA",1704,FALSE,2008
"TANGOE",1619,FALSE,1999
"HOGAN",1587,FALSE,1999
"STUCK",1349,FALSE,2002
"JIM",1335,FALSE,2002
"TALUWIK",1192,FALSE,1999
"CHISTNA",1041,FALSE,2008
"NAUKATI",972,FALSE,2002
"GUNNUK",942,FALSE,2002
"MACLAREN",916,FALSE,2008
"ISMAILOF",907,FALSE,1999
"CHISTOCHINA",715,FALSE,2019
"PETROKOV",693,FALSE,2005
"KUSWASH",570,FALSE,2005
"TSIRKU",566,FALSE,2002
"KLUNA",558,FALSE,1999
"PETROF",532,FALSE,1999
"NICKOLNA",504,FALSE,2008
"KUSDRY",394,FALSE,2008
"SINONA",386,FALSE,2008
"ZOLOTOI",385,FALSE,2000
"KEBA",341,FALSE,2002
"DISTIN",232,FALSE,2005
"CLARENA",139,FALSE,1999
"OGTNA",122,FALSE,2008
"GOODVIEW",113,FALSE,2018
"HISNA",59,FALSE,1999
"UNAKWIK",NA,FALSE,1995
"NIKISHKA",NA,FALSE,1995
"EASLEY",NA,FALSE,2002
"AHRNKLIN",NA,FALSE,2002
"STAINKY",NA,FALSE,2002
"MEDFRA",NA,FALSE,2002
"KVICHAK",NA,FALSE,1995
"LIVENGOOD",NA,FALSE,2008
"EYAK",NA,FALSE,2002
"ESHAMY",NA,FALSE,2002
"ANCHORAGE",NA,FALSE,2005
"TUPUKNUK",NA,FALSE,2002
"ANIAK",NA,FALSE,2002
"PINCHER",NA,FALSE,2002
"PURCHES",NA,FALSE,2002
"PUSTOI",NA,FALSE,1995
"NAKNEK",NA,FALSE,2002
"OLDS",NA,FALSE,1995
"KELSALL",NA,FALSE,2002
"FAIRLESS",NA,FALSE,2008
"UMIAT",NA,FALSE,2002
"YUKON",NA,FALSE,2002
"SALONIE",NA,FALSE,1995
"GOODHOPE",NA,FALSE,2002
"SHARATIN",NA,FALSE,1995
"DINGLISHNA",NA,FALSE,1996
"PARTOV",NA,FALSE,1995
"KODIAK",NA,FALSE,2005
"BATZA",NA,TRUE,2002
"GREWINGK",NA,FALSE,2002
"KIZHUYAK",NA,FALSE,2005
"CHILKAT",NA,FALSE,2002
"NABESNA",NA,FALSE,2002
"BOGOSLOF",NA,FALSE,2000
"BERNICE",NA,FALSE,1995
"PASAGSHAK",NA,FALSE,2002
"TULIK",NA,FALSE,1995
"COVILLE",NA,FALSE,2002
"KANDIK",NA,FALSE,2002
"KIOKLUK",NA,FALSE,2002
"TAKOTNA",NA,FALSE,2002
"TAWAH",NA,FALSE,1995
