"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"BROLLIAR",219224,TRUE,2005,FALSE,TRUE
"FORREST",164143,FALSE,1997,FALSE,TRUE
"ESS",162958,FALSE,2000,FALSE,TRUE
"BUSHVALLEY",141101,FALSE,2000,FALSE,TRUE
"GORDO",109566,TRUE,2000,FALSE,TRUE
"AGUSTIN",109292,FALSE,2002,FALSE,TRUE
"OVERGAARD",92330,FALSE,2007,FALSE,TRUE
"BURNSWICK",83777,FALSE,2008,FALSE,TRUE
"VALENCIA",77823,FALSE,1997,TRUE,TRUE
"ELLEDGE",63549,FALSE,2003,FALSE,TRUE
"WHY",58481,FALSE,1997,FALSE,TRUE
"BODECKER",43629,FALSE,2012,FALSE,TRUE
"BALDY",42356,FALSE,2003,TRUE,FALSE
"SPONIKER",40131,FALSE,2007,FALSE,TRUE
"SELEVIN",38312,FALSE,2000,TRUE,TRUE
"KAMATO",25940,FALSE,2003,TRUE,TRUE
"LUNA",23522,FALSE,2006,FALSE,TRUE
"REDUN",22717,FALSE,2000,FALSE,TRUE
"CHILSON",21020,FALSE,2000,FALSE,TRUE
"SPUDROCK",17532,FALSE,2007,TRUE,FALSE
"SIZER",13909,FALSE,2000,TRUE,TRUE
"DANDREA",12952,FALSE,2006,FALSE,TRUE
"AMOS",11669,FALSE,2003,TRUE,TRUE
"WILDCAT",11093,FALSE,2007,TRUE,TRUE
"SAL",10594,FALSE,1997,FALSE,TRUE
"NAHA",9689,FALSE,1997,TRUE,TRUE
"CAMBERN",3489,FALSE,2000,FALSE,TRUE
"BORIANA",1108,FALSE,2003,FALSE,TRUE
