"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AHART","01",5,0,NA,NA,NA,NA,NA,NA
"ALAMBIQUE","0",8,0,NA,NA,NA,NA,NA,NA
"ALVISO","Clg",13,36,"5Y","6","1","5Y","4","1"
"ARKRIGHT","Oi",3,0,NA,NA,NA,NA,NA,NA
"ASABEAN","0",5,23,NA,NA,NA,NA,NA,NA
"ASTA","01",3,5,NA,NA,NA,NA,NA,NA
"ASTA","02",5,3,NA,NA,NA,NA,NA,NA
"BANCAS","01",1,0,NA,NA,NA,NA,NA,NA
"BARPEAK","Oi",5,0,NA,NA,NA,NA,NA,NA
"BEARGULCH","Oi",3,0,NA,NA,NA,NA,NA,NA
"BIGHILL","0",3,0,NA,NA,NA,NA,NA,NA
"BLACKMOUNT","Clcasa",25,107,"10YR","6","3","10YR","5","3"
"BLANKOUT","Oi",3,0,NA,NA,NA,NA,NA,NA
"BROWNSCREEK","Oi",3,0,NA,NA,NA,NA,NA,NA
"BUNDORA","Oi",3,0,NA,NA,NA,NA,NA,NA
"BURNEY","Oi",3,0,NA,NA,NA,NA,NA,NA
"BUTANO","A0",5,0,NA,NA,NA,NA,NA,NA
"CANNELL","Oi",5,0,NA,NA,NA,NA,NA,NA
"CANYONCREEK","Oi",8,0,NA,NA,NA,NA,NA,NA
"CARBERRY","Oi",8,0,NA,NA,NA,NA,NA,NA
"CARGENT","Oi",3,0,NA,NA,NA,NA,NA,NA
"CATELLI","0",8,18,NA,NA,NA,NA,NA,NA
"CAX","Bkql",46,56,"10YR","7","3","10YR","6","4"
"CAX","A",NA,10,"10YR","7","3","10YR","5","4"
"CENTENNIAL","2Bkml",56,74,"2.5Y","7","2","10YR","8","1"
"CHUMMY","O1",5,0,NA,NA,NA,NA,NA,NA
"COBOC","O1",3,0,NA,NA,NA,NA,NA,NA
"CONE","O1",5,0,NA,NA,NA,NA,NA,NA
"CRAFTON","01 and 02",NA,1554,NA,NA,NA,NA,NA,NA
"CUMMISKEY","0",3,10,NA,NA,NA,NA,NA,NA
"DANHUNT","Oi",8,0,NA,NA,NA,NA,NA,NA
"DECY","01",3,5,NA,NA,NA,NA,NA,NA
"DECY","Bwl",20,38,"10YR","5","3","10YR","3","3"
"DEETZ","O1 and O2",1,0,NA,NA,NA,NA,NA,NA
"DEKKAS","Oi",5,0,NA,NA,NA,NA,NA,NA
"DELLEKER","02",8,0,NA,NA,NA,NA,NA,NA
"DEMOGUL","Oi",5,0,NA,NA,NA,NA,NA,NA
"DEMOX","0",3,0,NA,NA,NA,NA,NA,NA
"DEPNER","Oi",5,0,NA,NA,NA,NA,NA,NA
"DIPSEA","02",23,30,NA,NA,NA,NA,NA,NA
"DOME","0",5,0,NA,NA,NA,NA,NA,NA
"DOUGCITY","Oi",3,0,NA,NA,NA,NA,NA,NA
"ELAM","Oe",5,0,NA,NA,NA,NA,NA,NA
"EUER","01",5,0,NA,NA,NA,NA,NA,NA
"FANCHER","All",0,5,NA,NA,NA,"5YR","5","4"
"FANCHER","O1",1,0,NA,NA,NA,NA,NA,NA
"FELTA","B21t",13,36,"10YR","5","2","l0YR","3","2"
"FELTA","B22t",36,61,"l0YR","5","2","10YR","3","2"
"FELTA","Al",NA,13,"10YR","5","2","10YR","2","2"
"FELTON","0i",3,5,NA,NA,NA,NA,NA,NA
"FISHROCK","0i",3,5,NA,NA,NA,NA,NA,NA
"FLEENER","Oi",3,0,NA,NA,NA,NA,NA,NA
"FREEZEOUT","0i",3,0,NA,NA,NA,NA,NA,NA
"GANSNER","0",5,18,NA,NA,NA,NA,NA,NA
"GAVEL","0",NA,0,NA,NA,NA,NA,NA,NA
"GIANELLA","C10",168,175,"10YR","6","4","10YR","5","4"
"GIBSONVILLE","0",8,0,NA,NA,NA,NA,NA,NA
"GIBWELL","0i",5,8,NA,NA,NA,NA,NA,NA
"GLEASON","Oi",3,0,NA,NA,NA,NA,NA,NA
"GOSCH","Oi",3,0,NA,NA,NA,NA,NA,NA
"GOULDER","Oi",3,0,NA,NA,NA,NA,NA,NA
"GOZEM","0",1,0,NA,NA,NA,NA,NA,NA
"GUBE","Oi",1,0,NA,NA,NA,NA,NA,NA
"GUDGREY","0",NA,0,NA,NA,NA,NA,NA,NA
"HAMBONE","Oi",5,0,NA,NA,NA,NA,NA,NA
"HANGTOWN","Oi",1,0,NA,NA,NA,NA,NA,NA
"HERMIT","Oi",5,0,NA,NA,NA,NA,NA,NA
"HILDRETH","Clca",66,117,"10YR","5","1","10YR","4","1"
"HONEYDEW","01",3,13,NA,NA,NA,NA,NA,NA
"HOOSIMBIM","Oi",5,0,NA,NA,NA,NA,NA,NA
"HORSESHOE","0",8,0,NA,NA,NA,NA,NA,NA
"HOTEL","0",5,20,NA,NA,NA,NA,NA,NA
"HUSE","01",3,0,NA,NA,NA,NA,NA,NA
"HUYSINK","01",3,0,NA,NA,NA,NA,NA,NA
"ILLER","01 and 02",3,5,NA,NA,NA,NA,NA,NA
"ISHI PISHI","01",3,0,NA,NA,NA,NA,NA,NA
"JANILE","Oi",5,0,NA,NA,NA,NA,NA,NA
"JIMMERSON","0i",3,0,NA,NA,NA,NA,NA,NA
"JUNIPERO","01",5,13,NA,NA,NA,NA,NA,NA
"KALO","0",5,0,NA,NA,NA,NA,NA,NA
"KANG","O",5,0,NA,NA,NA,NA,NA,NA
"KEKAWAKA","01 and 02",5,5,NA,NA,NA,NA,NA,NA
"KEPHART","Oi",8,0,NA,NA,NA,NA,NA,NA
"KETTLEBELLY","Oi",3,0,NA,NA,NA,NA,NA,NA
"KISTIRN","O",8,0,NA,NA,NA,NA,NA,NA
"KYBURZ","O1",5,0,NA,NA,NA,NA,NA,NA
"LANDLOW","Clca",117,142,"10YR","6","3","10YR","5","3"
"LASCO","Oi",5,0,NA,NA,NA,NA,NA,NA
"LEDFORD","01",3,10,NA,NA,NA,NA,NA,NA
"LOBITOS","01",1,0,NA,NA,NA,NA,NA,NA
"LONGBELL","Oi",5,0,NA,NA,NA,NA,NA,NA
"LORACK","01",5,8,NA,NA,NA,NA,NA,NA
"LOVENESS","Oi",3,0,NA,NA,NA,NA,NA,NA
"LUMBERLY","0",3,0,NA,NA,NA,NA,NA,NA
"LYONSVILLE","02",3,0,NA,NA,NA,NA,NA,NA
"LYONSVILLE","01",8,3,NA,NA,NA,NA,NA,NA
"MADDEN","01",3,0,NA,NA,NA,NA,NA,NA
"MANTON","A0",5,0,NA,NA,NA,NA,NA,NA
"MARTEE","Oi",1,0,NA,NA,NA,NA,NA,NA
"MCGARVEY","0e",8,0,NA,NA,NA,NA,NA,NA
"MCGARVEY","0i",10,8,NA,NA,NA,NA,NA,NA
"MEDICI","Oi",5,0,NA,NA,NA,NA,NA,NA
"MEDLAKE","0i",3,0,NA,NA,NA,NA,NA,NA
"MEEKS","01",0,5,NA,NA,NA,NA,NA,NA
"MERCED","Clca",64,109,NA,NA,NA,"2.5Y","4","4"
"MIERUF","0",3,0,NA,NA,NA,NA,NA,NA
"MINERSVILLE","Oi",5,0,NA,NA,NA,NA,NA,NA
"MOJO","0",5,0,NA,NA,NA,NA,NA,NA
"MONSERATE","Clsim",71,114,"10YR","4","3","5YR","3","4"
"NASHMEAD","0",3,28,NA,NA,NA,NA,NA,NA
"NEER","Oi",5,0,NA,NA,NA,NA,NA,NA
"NIKAL","Oi",3,0,NA,NA,NA,NA,NA,NA
"NISENE","0",5,25,NA,NA,NA,NA,NA,NA
"NOTNED","01",8,10,NA,NA,NA,NA,NA,NA
"NOYO","01",5,0,NA,NA,NA,NA,NA,NA
"OBIE","02",3,0,NA,NA,NA,NA,NA,NA
"OMSTOTT","Oi",1,0,NA,NA,NA,NA,NA,NA
"OOSEN","01",NA,3,NA,NA,NA,NA,NA,NA
"PABLO","R",38,NA,NA,NA,NA,NA,NA,NA
"PABLO","All",NA,8,"10YR","4","1","10YR","2","1"
"PACIFICO","Cr",43,NA,NA,NA,NA,NA,NA,NA
"PACIFICO","0",NA,0,NA,NA,NA,NA,NA,NA
"PARKS","01",5,13,NA,NA,NA,NA,NA,NA
"PENDOLA","0",3,0,NA,NA,NA,NA,NA,NA
"PHIPPS","02",NA,5,NA,NA,NA,NA,NA,NA
"PINNACLES","All",0,20,"10YR","6","2","10YR","3","2"
"PLASKETT","01",3,0,NA,NA,NA,NA,NA,NA
"PORTOLA","01",5,8,NA,NA,NA,NA,NA,NA
"PUTT","01",5,15,NA,NA,NA,NA,NA,NA
"QUAKING","Oi",3,0,NA,NA,NA,NA,NA,NA
"RACE","O1",4,0,NA,NA,NA,NA,NA,NA
"RED HILL","O1",5,0,NA,NA,NA,NA,NA,NA
"REDCAP","O1",1,0,NA,NA,NA,NA,NA,NA
"REDRIVER","0",3,0,NA,NA,NA,NA,NA,NA
"RIVALIER","Oi",8,0,NA,NA,NA,NA,NA,NA
"RUSSIAN","0",20,20,"10YR","5","2","10YR","3","2"
"SAN SIMEON","02",5,28,NA,NA,NA,NA,NA,NA
"SATTLEY","Oi",10,0,NA,NA,NA,NA,NA,NA
"SCARFACE","Oi",5,0,NA,NA,NA,NA,NA,NA
"SCARIBOU","Oi",5,0,NA,NA,NA,NA,NA,NA
"SHASTA","Oi2",3,0,NA,NA,NA,NA,NA,NA
"SHASTA","Oi1",10,3,NA,NA,NA,NA,NA,NA
"SHASTINA","0",10,0,NA,NA,NA,NA,NA,NA
"SIERRAVILLE","O1 and O2",5,0,NA,NA,NA,NA,NA,NA
"SLACREEK","O",1,0,NA,NA,NA,NA,NA,NA
"SMOKEY","01",3,0,NA,NA,NA,NA,NA,NA
"SOUTHPAC","Oi",5,0,NA,NA,NA,NA,NA,NA
"SPLAWN","Oi",3,0,NA,NA,NA,NA,NA,NA
"STACHER","Oi",8,0,NA,NA,NA,NA,NA,NA
"STONEWELL","Oi",3,0,NA,NA,NA,NA,NA,NA
"SUNRISE","All",0,5,"10YR","6","3","10YR","5","4"
"SUNRISE","Clca",28,53,"10YR","7","3","10YR","6","3"
