"id","ac","benchmarksoilflag","soiltaxclasslastupdated"
"WOODSEYE",164206,FALSE,2004
"DUBAKELLA",124937,TRUE,2004
"SUR",113597,FALSE,2003
"ZENI",95269,FALSE,2003
"YELLOWHOUND",79825,FALSE,2003
"SATTLEY",72840,FALSE,2008
"IRMULCO",69805,FALSE,2003
"KINKEL",68859,FALSE,2004
"NEER",64731,FALSE,2004
"KISTIRN",58687,FALSE,2003
"JUNIPERO",58546,FALSE,2003
"KYBURZ",57763,FALSE,2004
"KINDIG",56767,FALSE,1998
"TIERRA",52664,FALSE,1997
"DOME",51265,FALSE,2004
"FELTON",48157,FALSE,2003
"KEKAWAKA",47303,FALSE,1987
"SMOKEY",45817,FALSE,2004
"JIMMERSON",45740,FALSE,2004
"CANNELL",44084,FALSE,2004
"TOADLAKE",42463,FALSE,1997
"AVIS",41776,FALSE,2006
"SCARFACE",39515,FALSE,2004
"BANCAS",39361,FALSE,2003
"TYSON",38292,FALSE,1998
"LYONSVILLE",35427,FALSE,2004
"GRIDLEY",34819,FALSE,1997
"DEHAVEN",32965,FALSE,2003
"PONTO",32071,FALSE,2004
"LANDLOW",31590,FALSE,1997
"ISHI PISHI",31348,FALSE,1997
"BAMTUSH",30457,FALSE,1997
"TRAMWAY",30435,FALSE,2003
"LOVENESS",30180,FALSE,2004
"HOTEL",29298,FALSE,2003
"REVIT",28828,FALSE,2007
"TINKER",28822,FALSE,2004
"SHASTA",28773,FALSE,2004
"VANDAMME",28257,FALSE,2003
"SURNUF",25254,FALSE,2004
"OUTLAND",24109,FALSE,2008
"COBOC",22702,FALSE,1993
"LEDFORD",22483,FALSE,2004
"ROSSI",21823,FALSE,1997
"ILLER",20275,FALSE,2004
"OBIE",20040,FALSE,2007
"GAREY",19696,FALSE,2004
"UPDEGRAFF",19294,FALSE,2003
"GIBSONVILLE",19207,FALSE,2006
"GOULDER",18870,FALSE,2006
"PORTOLA",18763,FALSE,2004
"CARBERRY",18689,FALSE,2006
"APTOS",18373,FALSE,2009
"SWAINOW",18224,FALSE,2008
"PLASKETT",18192,FALSE,2003
"WHITINGER",17910,FALSE,2004
"FLEENER",17698,FALSE,2004
"STANISLAUS",17684,FALSE,1997
"HUICHICA",17670,FALSE,2003
"STONEWELL",17637,FALSE,2006
"LOBITOS",17184,FALSE,2003
"WOOLSTALF",16363,FALSE,2004
"RIVALIER",16041,FALSE,2004
"BOHNA",15903,FALSE,2004
"REDRIVER",15790,FALSE,2008
"KITCHEN CREEK",15371,FALSE,1997
"BONSALL",14650,FALSE,1997
"MAYWOOD",14585,FALSE,1997
"FAGAN",14341,FALSE,1997
"GOSCH",14334,FALSE,2004
"CUMMISKEY",13878,FALSE,2004
"CATELLI",13798,FALSE,2003
"NISENE",13760,FALSE,2003
"WITCHER",13526,FALSE,2009
"HOOSIMBIM",13472,FALSE,2003
"SPLAWN",13420,FALSE,2005
"HAMBONE",13400,FALSE,2004
"BUCKING",13298,FALSE,2004
"BOGUS",13272,FALSE,2004
"PUTT",11670,FALSE,2004
"LASCO",11423,FALSE,2008
"KALO",11238,FALSE,2004
"FANCHER",11187,FALSE,2003
"ASABEAN",10932,FALSE,2003
"BUTANO",10892,FALSE,2006
"FERNCREEK",10455,FALSE,2003
"KANG",10338,FALSE,1997
"FREEZEOUT",10062,FALSE,1998
"BROWNSCREEK",9922,FALSE,1997
"HORSESHOE",9824,FALSE,2004
"HARTLESS",9723,FALSE,2004
"WINNIBULLI",9481,FALSE,2004
"NOTNED",9286,FALSE,2004
"GARCIA",9205,FALSE,2003
"MARTEE",9196,FALSE,2007
"SAN SIMEON",8785,FALSE,1997
"STACHER",8747,FALSE,2007
"SLEEPER",8513,FALSE,1997
"DOUGCITY",8425,FALSE,1997
"JAFA",8410,FALSE,2003
"DECY",8323,FALSE,1999
"REWARD",8282,FALSE,1999
"CANYONCREEK",8281,FALSE,2004
"HUSE",8277,FALSE,1998
"PARKS",8152,FALSE,1998
"BURNEY",7962,FALSE,2006
"DELLEKER",7909,FALSE,2004
"THREECHOP",7896,FALSE,2003
"ULHALF",7831,FALSE,2008
"HANGTOWN",7763,FALSE,2004
"SCARIBOU",7728,FALSE,2008
"BARPEAK",7703,FALSE,1998
"ARKRIGHT",7678,FALSE,2006
"KETTLEBELLY",7674,FALSE,2006
"MINERSVILLE",7655,FALSE,2001
"HERMIT",7638,FALSE,2004
"CASPAR",7576,FALSE,2003
"RED HILL",7542,FALSE,1997
"NASHMEAD",7495,FALSE,2003
"WHORLED",7489,FALSE,2008
"BUNDORA",7469,FALSE,2006
"TANGLE",7369,FALSE,1997
"DIPSEA",7366,FALSE,2003
"RUSSIAN",7348,FALSE,1998
"QUINLIVEN",7247,FALSE,2003
"GUBE",7177,FALSE,2003
"ALAMBIQUE",6937,FALSE,1998
"OMSTOTT",6720,FALSE,2009
"ZAKME",6681,FALSE,1997
"TAHAND",6583,FALSE,2008
"LONGBELL",6238,FALSE,2004
"BROWNBEAR",6179,FALSE,1998
"PALOMARIN",5942,FALSE,2001
"GAMBOA",5668,FALSE,2003
"REEFRIDGE",5560,FALSE,1997
"LORACK",5462,FALSE,2004
"PATBURN",5407,FALSE,2008
"BOTTLEHILL",5400,FALSE,2007
"DEPNER",5296,FALSE,2006
"MADDEN",5268,FALSE,1997
"EUER",5245,FALSE,2004
"FONS",5192,FALSE,2006
"CENTISSIMA",4979,FALSE,1998
"NIKAL",4899,FALSE,2004
"SOUTHPAC",4808,FALSE,2008
"SHIMA",4787,FALSE,2016
"CONE",4706,FALSE,2007
"MCGARVEY",4692,FALSE,2001
"WITTENBERG",4574,FALSE,1998
"SHINGLEMILL",4515,FALSE,2003
"WHISPERING",4413,FALSE,2003
"TRETTEN",4315,FALSE,2003
"WEAVERVILLE",4309,FALSE,1997
"RACE",4251,FALSE,2001
"MOJO",4241,FALSE,2006
"TAMFLAT",4143,FALSE,1997
"SUEY",4120,FALSE,2006
"LUMBERLY",4052,FALSE,2007
"DANHUNT",4035,FALSE,2006
"ASTA",3769,FALSE,2004
"SIERRAVILLE",3667,FALSE,2004
"ROOP",3616,FALSE,2008
"TIONESTA",3601,FALSE,2004
"CHUMMY",3538,FALSE,2004
"DEMOX",3458,FALSE,2003
"VALCREEK",3426,FALSE,1997
"WAFLA",3412,FALSE,2008
"JANILE",3391,FALSE,2004
"HUYSINK",3262,FALSE,2006
"GIBNEY",3123,FALSE,2006
"VITZTHUM",3080,FALSE,2003
"ZEUGIRDOR",3059,FALSE,2009
"GLEASON",3000,FALSE,2004
"GANSNER",3000,FALSE,2001
"MEDICI",2941,FALSE,2004
"BLANKOUT",2936,FALSE,2004
"VLECK",2880,FALSE,1997
"MIERUF",2836,FALSE,2004
"HAVENSNECK",2721,FALSE,2006
"DEWMINE",2538,FALSE,1997
