"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ALMONT","Clg",48,66,"2.5Y","5","2","2.5Y","4","2"
"ASHCROFT","0i1",0,3,NA,NA,NA,NA,NA,NA
"ASHCROFT","0i2",3,5,NA,NA,NA,NA,NA,NA
"BEAD","Oe",5,0,NA,NA,NA,NA,NA,NA
"BEAD","Oi",10,5,NA,NA,NA,NA,NA,NA
"BOBTAIL","02",3,0,NA,NA,NA,NA,NA,NA
"BOBTAIL","01",5,3,NA,NA,NA,NA,NA,NA
"BOTTLE","02",3,0,NA,NA,NA,NA,NA,NA
"BOTTLE","01",5,3,NA,NA,NA,NA,NA,NA
"BOYETT","0i",3,13,NA,NA,NA,NA,NA,NA
"CASTELLEIA","02",3,0,NA,NA,NA,NA,NA,NA
"CASTELLEIA","01",8,3,NA,NA,NA,NA,NA,NA
"CATAMOUNT","0i",0,3,NA,NA,NA,NA,NA,NA
"CHEDSEY","01",3,0,NA,NA,NA,NA,NA,NA
"COLLEGIATE","01",5,0,NA,NA,NA,NA,NA,NA
"DARLING","02",3,0,NA,NA,NA,NA,NA,NA
"DARLING","01",10,3,NA,NA,NA,NA,NA,NA
"DOBROW","02",5,0,NA,NA,NA,NA,NA,NA
"DOBROW","01",8,5,NA,NA,NA,NA,NA,NA
"DUNCKLEY","02",3,0,NA,NA,NA,NA,NA,NA
"DUNCKLEY","01",8,3,NA,NA,NA,NA,NA,NA
"EACHUSTON","01",8,0,NA,NA,NA,NA,NA,NA
"ELKWALOW","Oi",3,0,NA,NA,NA,NA,NA,NA
"FERN CLIFF","02",5,0,NA,NA,NA,NA,NA,NA
"FERN CLIFF","O1",10,5,NA,NA,NA,NA,NA,NA
"FLEER","O1",5,0,NA,NA,NA,NA,NA,NA
"GOLD CREEK","O1",5,0,NA,NA,NA,NA,NA,NA
"GOLDVALE","Oi",10,5,NA,NA,NA,NA,NA,NA
"GRANATH","Btkl",102,124,"5YR","4","4","5YR","4","4"
"GRENADIER","0i",0,8,NA,NA,NA,NA,NA,NA
"GRENADIER","0e",8,10,NA,NA,NA,NA,NA,NA
"HIERRO","0i1",0,3,NA,NA,NA,NA,NA,NA
"HIERRO","0e2",3,5,NA,NA,NA,NA,NA,NA
"HYANNIS","Oi",5,3,NA,NA,NA,NA,NA,NA
"IRIM","0i",3,0,NA,NA,NA,NA,NA,NA
"JENKINS","02",3,0,NA,NA,NA,NA,NA,NA
"JENKINS","01",5,8,NA,NA,NA,NA,NA,NA
"KEBLER","02",3,5,NA,NA,NA,NA,NA,NA
"KEBLER","01",5,3,NA,NA,NA,NA,NA,NA
"LEADVILLE","0i",0,8,NA,NA,NA,NA,NA,NA
"LEADVILLE","0e",8,10,NA,NA,NA,NA,NA,NA
"LEGAULT","0e",0,3,NA,NA,NA,NA,NA,NA
"LIMBER","02",3,0,NA,NA,NA,NA,NA,NA
"LIMBER","01",8,3,NA,NA,NA,NA,NA,NA
"MACFARLANE","0i",0,8,NA,NA,NA,NA,NA,NA
"MACFARLANE","0e",8,10,NA,NA,NA,NA,NA,NA
"MCINTYRE","02",3,5,NA,NA,NA,NA,NA,NA
"MCINTYRE","01",5,3,NA,NA,NA,NA,NA,NA
"MENDENHALL","01",8,25,NA,NA,NA,NA,NA,NA
"MEREDITH","02",3,5,NA,NA,NA,NA,NA,NA
"MEREDITH","01",5,20,NA,NA,NA,NA,NA,NA
"MINE","01",3,8,NA,NA,NA,NA,NA,NA
"MONTEZ","01",5,18,NA,NA,NA,NA,NA,NA
"MOOSED","Al",0,5,"7.5YR","4","2","7.5YR","3","2"
"MOOSED","Bwl",18,NA,"5YR","4","4","5YR","3","3"
"MOOSED","Bw2",NA,NA,"5YR","4","4","5YR","3","4"
"MOOSED","C",NA,NA,"5YR","5","4","5YR","4","4"
"MOOSED","R",NA,1554,"5YR","5","4",NA,NA,NA
"MUDBUZ","Oi",3,0,NA,NA,NA,NA,NA,NA
"MYSTEN","02",3,5,NA,NA,NA,NA,NA,NA
"MYSTEN","01",5,3,NA,NA,NA,NA,NA,NA
"NANITA","0e",0,3,NA,NA,NA,NA,NA,NA
"NELSON","Alp",0,23,"10YR","6","2","10YR","4","2"
"NOKHU","02",3,0,NA,NA,NA,NA,NA,NA
"NOKHU","01",8,3,NA,NA,NA,NA,NA,NA
"NORDICOL","0i",0,3,NA,NA,NA,NA,NA,NA
"OLATHE","0e",5,10,NA,NA,NA,NA,NA,NA
"PANDO","01",5,30,NA,NA,NA,NA,NA,NA
"PARLIN","IICca",79,152,"1OYR","6","2","lOYR","5","2"
"PARLIN","A1",NA,18,"7.5YR","5","2","7.5YR","3","2"
"PERCETON","A2",0,25,"lOYR","7","4","10YR","5","4"
"PERCETON","02",3,5,NA,NA,NA,NA,NA,NA
"PERCETON","01",5,3,NA,NA,NA,NA,NA,NA
"PIERIAN","C",20,152,"1OYR","6","3",NA,NA,NA
"PIERIAN","A1",NA,20,"1OYR","5","2",NA,NA,NA
"PINKHAM","A2",0,10,"1OYR","6","2","1OYR","5","2"
"PINKHAM","02",3,8,NA,NA,NA,NA,NA,NA
"PINKHAM","01",8,3,NA,NA,NA,NA,NA,NA
"PINKHAM","C",36,152,"1OYR","5","3","1OYR","4","3"
"PLATORO","A1",0,10,"1OYR","6","2","10YR","4","2"
"PLATORO","B3ca",38,46,"1OYR","5","3","1OYR","4","3"
"PLATORO","Clca",46,66,"10YR","5","3","10YR","4","3"
"POOSE","Oe",5,0,NA,NA,NA,NA,NA,NA
"POUDRE","B2g",76,152,"1OYR","6","2","1OYR","5","2"
"PRIMEN","IICr",46,NA,NA,NA,NA,"2.5Y","7","2"
"PRIMEN","A1",NA,10,NA,NA,NA,"1OYR","4","2"
"PTARMIGAN","02",3,5,NA,NA,NA,NA,NA,NA
"PTARMIGAN","01",5,20,NA,NA,NA,NA,NA,NA
"RALEIGH","0e",0,3,NA,NA,NA,NA,NA,NA
"RANDMAN","Alg",0,15,"10YR","5","2","10YR","3","2"
"RANDMAN","Blg",15,25,"10YR","5","2","10YR","3","2"
"RANDMAN","01",NA,0,NA,NA,NA,NA,NA,NA
"RARICK","02",5,8,NA,NA,NA,NA,NA,NA
"RARICK","01",8,5,NA,NA,NA,NA,NA,NA
"RAWAH","Clca",51,76,"2.5YR","6","4","2.5YR","5","4"
"RAZORBA","0",3,23,NA,NA,NA,NA,NA,NA
"REDCLOUD","C1ca",56,91,"1OYR","7","3","1OYR","5","3"
"REDCLOUD","A1",NA,30,"7.5YR","5","3","7.5YR","3","3"
"ROSANE","01",3,20,NA,NA,NA,NA,NA,NA
"ROYGORGE","Oe",3,0,NA,NA,NA,NA,NA,NA
"RULE","02",3,8,NA,NA,NA,NA,NA,NA
"RULE","01",8,3,NA,NA,NA,NA,NA,NA
"SAMBRITO","02",3,5,NA,NA,NA,NA,NA,NA
"SAMBRITO","01",5,3,NA,NA,NA,NA,NA,NA
"SAN ARCACIO","Al",0,10,"1OYR","6","2","1OYR","4","2"
"SAN ARCACIO","B2t",10,33,"1OYR","5","3","1OYR","4","3"
"SAN ARCACIO","B3ca",33,41,"1OYR","5","3","1OYR","4","3"
"SAN ARCACIO","C1ca",41,66,"1OYR","6","2","10YR","5","2"
"SANFORD","02",3,5,NA,NA,NA,NA,NA,NA
"SANFORD","01",5,3,NA,NA,NA,NA,NA,NA
"SANFORD","R",76,NA,NA,NA,NA,NA,NA,NA
"SANFORD","A1",NA,5,"10YR","4","3","10YR","3","3"
"SAPINERO","02",5,0,NA,NA,NA,NA,NA,NA
"SAPINERO","01",10,5,NA,NA,NA,NA,NA,NA
"SARATON","Clca",25,76,"7.5YR","8","2",NA,NA,NA
"SARATON","A1",NA,13,"7.5YR","5","4","7.5YR","4","4"
"SAWATCH","01",15,20,NA,NA,NA,NA,NA,NA
"SAWATCH","Allg",NA,20,"10YR","4","2","7.5YR","5","6"
"SCHOFIELD","02",3,5,NA,NA,NA,NA,NA,NA
"SCHOFIELD","01",5,3,NA,NA,NA,NA,NA,NA
"SHULE","02",3,0,NA,NA,NA,NA,NA,NA
"SHULE","01",10,3,NA,NA,NA,NA,NA,NA
