"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"CATAMOUNT",176490,FALSE,2010,FALSE,TRUE
"LEGAULT",164320,FALSE,2010,FALSE,TRUE
"TREON",113774,FALSE,1998,FALSE,TRUE
"MESA",105106,TRUE,2017,TRUE,FALSE
"GRENADIER",78512,FALSE,1999,FALSE,TRUE
"TROUTVILLE",70469,FALSE,1999,FALSE,TRUE
"NELSON",62494,FALSE,1998,FALSE,TRUE
"SAN ARCACIO",61688,FALSE,2003,FALSE,TRUE
"LEADVILLE",51290,FALSE,1999,FALSE,TRUE
"GRANATH",42192,FALSE,1999,FALSE,TRUE
"PLATORO",38487,FALSE,1999,FALSE,TRUE
"TECOLOTE",31805,FALSE,2007,FALSE,TRUE
"PARLIN",30042,FALSE,1999,TRUE,TRUE
"ASHCROFT",28291,FALSE,2022,FALSE,TRUE
"RALEIGH",28000,FALSE,2010,FALSE,TRUE
"TEX",27495,FALSE,1999,TRUE,TRUE
"TROUT CREEK",27104,FALSE,2009,TRUE,FALSE
"WORMSER",25802,FALSE,1997,FALSE,TRUE
"SARATON",24276,FALSE,1999,TRUE,TRUE
"MACFARLANE",23177,FALSE,2005,FALSE,TRUE
"REDCLOUD",20899,FALSE,1999,TRUE,TRUE
"RANDMAN",19473,FALSE,2003,TRUE,TRUE
"TORSIDO",18993,FALSE,2003,TRUE,TRUE
"VILLA GROVE",18542,FALSE,1999,FALSE,TRUE
"BOBTAIL",17832,FALSE,2010,TRUE,TRUE
"NORDICOL",17668,FALSE,2002,FALSE,TRUE
"PIERIAN",16769,FALSE,1999,TRUE,TRUE
"KEBLER",15102,FALSE,1999,TRUE,TRUE
"MCINTYRE",12951,FALSE,1999,TRUE,TRUE
"SINGERTON",12939,FALSE,2001,FALSE,TRUE
"TEALSON",12466,FALSE,1999,TRUE,FALSE
"NANITA",11274,FALSE,1999,FALSE,TRUE
"GOLDVALE",11078,FALSE,1999,TRUE,FALSE
"WEMINUCHE",9645,FALSE,2002,FALSE,TRUE
"TUCKERVILLE",8784,FALSE,2002,FALSE,TRUE
"SUNSHINE",8745,FALSE,1999,TRUE,TRUE
"HEFLIN",8519,FALSE,2004,TRUE,FALSE
"WALDEN",7251,FALSE,2003,FALSE,TRUE
"ST. ELMO",6736,FALSE,1999,TRUE,TRUE
"HIERRO",6368,FALSE,1999,FALSE,TRUE
"NATURITA",5914,FALSE,1999,TRUE,FALSE
"POOSE",5023,FALSE,2008,TRUE,FALSE
"JENKINS",4808,FALSE,1999,TRUE,TRUE
"FERN CLIFF",4445,FALSE,1999,TRUE,TRUE
"RARICK",3850,FALSE,2010,TRUE,TRUE
"STUMPP",3472,FALSE,1999,FALSE,TRUE
"RAWAH",3414,FALSE,1999,FALSE,TRUE
"PRIMEN",3345,FALSE,1997,TRUE,TRUE
"FARDRAW",3212,FALSE,2005,TRUE,FALSE
"MOOSED",3202,FALSE,1999,TRUE,TRUE
"HAVERLY",2863,FALSE,2008,TRUE,FALSE
"PTARMIGAN",2526,FALSE,2010,TRUE,TRUE
"POUDRE",2524,FALSE,1999,FALSE,TRUE
"WESTPLAIN",2357,FALSE,2021,TRUE,FALSE
"PALBOONE",1935,FALSE,2010,TRUE,FALSE
"GOLD CREEK",1659,FALSE,1999,TRUE,FALSE
"MYSTEN",1263,FALSE,1990,TRUE,TRUE
"SAWATCH",1016,FALSE,1999,TRUE,TRUE
"ALMONT",735,FALSE,1999,FALSE,TRUE
"RULE",NA,FALSE,1999,TRUE,TRUE
"DARLING",NA,FALSE,1999,TRUE,TRUE
