"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"BLICHTON",71250,FALSE,2002,FALSE,TRUE
"DEMORY",29488,FALSE,2000,FALSE,TRUE
"EUREKA",29370,FALSE,2002,FALSE,TRUE
"OKEECHOBEE",29101,FALSE,2000,FALSE,TRUE
"EATON",19201,FALSE,2002,FALSE,TRUE
"BRIGHTON",17281,FALSE,2000,FALSE,TRUE
"YULEE",8230,FALSE,1998,FALSE,TRUE
"ZUBER",7641,FALSE,2003,FALSE,TRUE
"LEDWITH",5574,FALSE,2003,FALSE,TRUE
"PUNTA",3805,FALSE,1993,FALSE,TRUE
"BAHIAHONDA",672,FALSE,2009,FALSE,TRUE
"VERO",NA,FALSE,2004,FALSE,TRUE
