"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AINAKEA","Bwl",25,46,"10YR","3","4","7.5YR","3","4"
"HONOMANU","01",8,28,NA,NA,NA,"10YR","3","2"
"HULUA","01",3,25,NA,NA,NA,NA,NA,NA
"KAHANUI","Oi",1,0,NA,NA,NA,NA,NA,NA
"KAUPO","IIC2",69,NA,NA,NA,NA,NA,NA,NA
"KAUPO","C1",NA,69,"10YR","4","2","10YR","3","2"
"KILAUEA","C10",142,190,"10YR","5","1","N","2","0"
"KOOLAU","01",5,18,NA,NA,NA,NA,NA,NA
"KULA","lIB3b",107,137,"5YR","4","4","5YR","3","2"
"LUALUALEI","Cly",76,124,NA,NA,NA,"10YR","3","2"
"OLELO","Cr",94,152,NA,NA,NA,"l0YR","4","1"
"OLOKUI","01",10,20,NA,NA,NA,"5YR","3","2"
"PUAULU","10Bw4",121,130,NA,NA,NA,"7.5YR","3","3"
"PUAULU","10Bw5",130,135,NA,NA,NA,"7.5YR","3","3"
"PUAULU","10Bw6",135,152,NA,NA,NA,"7.5YR","3","3"
"WAIALEALE","02",8,10,"5YR","2","2","5YR","2","2"
"WAILUKU","Apl",0,10,"5YR","4","2","5YR","3","3"
