"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"BICKETT","2Bkgl",28,61,NA,NA,NA,"2.5Y","6","1"
"BOOTJACK","Oi",4,0,NA,NA,NA,NA,NA,NA
"BRODY","Oa",1,0,"10YR","2","2",NA,NA,NA
"BRODY","R",76,NA,NA,NA,NA,NA,NA,NA
"BRODY","in",NA,1554,"10YR","2","2",NA,NA,NA
"BUTTECREEK","Oe",5,0,NA,NA,NA,NA,NA,NA
"CAPEHORN","02",3,5,NA,NA,NA,NA,NA,NA
"CAPEHORN","01",5,3,NA,NA,NA,NA,NA,NA
"CARIBEL","Oe",2,1,NA,NA,NA,NA,NA,NA
"CARIBEL","Oi",3,2,NA,NA,NA,NA,NA,NA
"CARIBEL","R",185,NA,NA,NA,NA,NA,NA,NA
"CARIBEL","Oa",NA,1554,"10YR","3","2","10YR","1","2"
"CARIBOURIDGE","0i",0,3,NA,NA,NA,NA,NA,NA
"CARIBOURIDGE","0e",3,5,NA,NA,NA,NA,NA,NA
"CHICANE","A12",13,36,"lOYR","3","2","lOYR","2","1"
"CHICANE","B2",36,53,"lOYR","4","2","lOYR","3","1"
"CHICANE","IIA21",53,69,"lOYR","6","3","lOYR","4","2"
"CHICANE","IIA22",69,71,"lOYR","6","3","lOYR","4","2"
"CHICANE","IIB21t",71,89,"lOYR","5","4","lOYR","3","3"
"CHICANE","IIB22t",89,104,"lOYR","4","4","lOYR","4","3"
"CHICANE","IIB23t",104,130,"lOYR","5","4","lOYR","4","4"
"CHICANE","IIB24t",130,170,"lOYR","4","4","lOYR","4","4"
"CHICANE","Ap",NA,13,"lOYR","3","2","lOYR","2","1"
"DASHIKI","Oi",3,0,NA,NA,NA,NA,NA,NA
"DOODLELINK","Bwl",15,30,NA,NA,NA,"10YR","4","3"
"FLANNERY","Oi",4,3,NA,NA,NA,NA,NA,NA
"FLATSTONE","0i",0,3,NA,NA,NA,NA,NA,NA
"FORDCREEK","Btl",15,41,"10YR","6","3","10YR","3","4"
"FORDCREEK","Cr",104,NA,NA,NA,NA,NA,NA,NA
"FORDCREEK","Al",NA,8,"10YR","5","3","10YR","3","3"
"HENRYSLAKE","Btl",8,25,"10YR","5","2","10YR","3","2"
"HOOTER","0e",5,0,NA,NA,NA,NA,NA,NA
"HOOTER","0i",8,5,NA,NA,NA,NA,NA,NA
"HUCKLE","Bwl",10,20,"10YR","5","4","10YR","3","4"
"HUN","0i",0,4,NA,NA,NA,NA,NA,NA
"HUN","0e",4,5,"10YR","7","1",NA,NA,NA
"JACKNIFE","Btl",48,86,"7.5YR","3","2","7.5YR","3","2"
"JERU","0i",0,1,NA,NA,NA,NA,NA,NA
"JERU","0e",1,5,"10YR","7","1",NA,NA,NA
"JUMPSTART","0i",0,3,NA,NA,NA,NA,NA,NA
"KETCHUM","0e",3,0,NA,NA,NA,NA,NA,NA
"KETCHUM","0i",5,3,NA,NA,NA,NA,NA,NA
"KLOOTCH","0i",0,3,NA,NA,NA,NA,NA,NA
"KLOOTCH","0e",3,4,NA,NA,NA,NA,NA,NA
"LACY","0i",0,3,NA,NA,NA,NA,NA,NA
"LAGALL","0i",0,3,NA,NA,NA,NA,NA,NA
"LITTLESALMON","2Cl",79,109,"10YR","5","2","10YR","6","2"
"MACKEY","Bkl",30,53,NA,NA,NA,"10YR","6","3"
"NAWT","A",0,13,"l0YR","5","3","l0YR","3","3"
"NAWT","Bt1",13,25,"l0YR","5","3","l0YR","3","3"
"OLEO","0i",0,3,NA,NA,NA,NA,NA,NA
"OLIAGA","Clca",20,46,"2.5Y","6","2","2.5Y","4","2"
"PACKERJOHN","Al",5,25,NA,NA,NA,"10YR","4","3"
"PANIOGUE","A",0,8,"2.5Y","5","2","1OYR","3","2"
"PANIOGUE","Bwl",18,36,"10YR","6","2","10YR","4","2"
"PEND OREILLE","0i",0,3,NA,NA,NA,NA,NA,NA
"PEND OREILLE","0e",3,5,NA,NA,NA,NA,NA,NA
"PERFA","0e",0,3,NA,NA,NA,NA,NA,NA
"PIKADEN","0i",0,1,NA,NA,NA,NA,NA,NA
"QUAILRIDGE","Btl",10,20,NA,NA,NA,"10YR","4","3"
"REHFIELD","A",0,8,"l0YR","5","3","l0YR","3","3"
"RISWOLD","0i",0,4,NA,NA,NA,NA,NA,NA
"ROLO","Oi",5,3,NA,NA,NA,NA,NA,NA
"SEELOVERS","Al",NA,15,"10YR","4","2","10YR","2","2"
"SLY","0i",0,2,NA,NA,NA,NA,NA,NA
"SLY","0e",2,4,NA,NA,NA,NA,NA,NA
"SPOKEL","0i",0,3,NA,NA,NA,NA,NA,NA
"SPOKEL","0e",3,5,NA,NA,NA,NA,NA,NA
"STIEN","0i",0,3,NA,NA,NA,NA,NA,NA
"STIEN","0e",3,5,NA,NA,NA,NA,NA,NA
"STRUGGLE","Oe",3,0,NA,NA,NA,NA,NA,NA
"STRUGGLE","Oi",4,3,NA,NA,NA,NA,NA,NA
"SULOAF","0i",0,3,NA,NA,NA,NA,NA,NA
"TELCHER","0i",0,5,NA,NA,NA,NA,NA,NA
"TELCHER","0e",5,8,NA,NA,NA,NA,NA,NA
"TRIPOD","Al",3,15,NA,NA,NA,"10YR","4","2"
"TRIPOD","2Cl",58,127,NA,NA,NA,"10YR","7","2"
"ULRICHER","0i",0,3,NA,NA,NA,NA,NA,NA
"VAN DUSEN","Al",0,20,NA,NA,NA,"10YR","4","1"
"VASSAR","0i",0,3,NA,NA,NA,NA,NA,NA
"VASSAR","0e",3,5,"10YR","4","1","10YR","2","2"
"WAGONTOWN","0i",0,3,NA,NA,NA,NA,NA,NA
"WAPSHILLA","0i",0,1,NA,NA,NA,NA,NA,NA
"WELLSBENCH","Btl",15,36,"10YR","4","2","10YR","3","3"
"WINEGAR","Oi",3,0,NA,NA,NA,NA,NA,NA
"WISHBONE","0i",0,3,NA,NA,NA,NA,NA,NA
"WISHBONE","0e",3,5,NA,NA,NA,NA,NA,NA
