"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"STRINGAM",184398,FALSE,2005,TRUE,FALSE
"HUCKLE",117721,FALSE,2013,FALSE,TRUE
"REHFIELD",44625,FALSE,2002,FALSE,TRUE
"LITTLESALMON",39568,FALSE,2006,FALSE,TRUE
"PANIOGUE",39302,FALSE,2001,FALSE,TRUE
"VAN DUSEN",24546,FALSE,1999,FALSE,TRUE
"JACKNIFE",22611,FALSE,1997,FALSE,TRUE
"UPTMOR",9425,FALSE,2013,TRUE,FALSE
"PACKERJOHN",9425,FALSE,2011,FALSE,TRUE
"CHICANE",7329,FALSE,1997,TRUE,TRUE
"SEELOVERS",6903,FALSE,2005,TRUE,TRUE
"HOPBURN",5912,FALSE,2005,TRUE,FALSE
"QUAILRIDGE",4955,FALSE,2012,FALSE,TRUE
"TRIPOD",4741,FALSE,2011,FALSE,TRUE
"HENRYSLAKE",2522,FALSE,2005,FALSE,TRUE
"OLIAGA",2304,FALSE,2001,FALSE,TRUE
"BICKETT",1729,FALSE,2002,FALSE,TRUE
"FORDCREEK",1678,FALSE,2004,TRUE,TRUE
"WELLSBENCH",1162,FALSE,2005,FALSE,TRUE
"ROLO",NA,FALSE,2002,TRUE,FALSE
"OVIATT",NA,FALSE,2002,TRUE,FALSE
"HOOTER",NA,FALSE,1997,TRUE,FALSE
"FLANNERY",NA,FALSE,2002,TRUE,FALSE
"BUTTECREEK",NA,FALSE,2002,TRUE,FALSE
