"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AYR","Btl",66,84,NA,NA,NA,"10YR","5","4"
"BOURBON","Ap",0,23,"10YR","5","2","l0YR","2","2"
"BOURBON","Bl",23,30,"10YR","7","3","l0YR","5","3"
"BOURBON","B21t",30,64,NA,NA,NA,"l0YR","5","3"
"BOURBON","B22t",64,76,NA,NA,NA,"l0YR","5","4"
"BOURBON","IIB31",76,127,NA,NA,NA,"l0YR","6","3"
"BOURBON","IIB32",127,165,NA,NA,NA,"l0YR","4","3"
"BOURBON","IICl",165,178,NA,NA,NA,"l0YR","4",NA
"BOURBON","IIC2",178,203,NA,NA,NA,"l0YR","5","3"
"COESSE","2Bgbl",86,104,NA,NA,NA,"2.5Y","4","2"
"PATE","Btl",15,36,NA,NA,NA,"10YR","4","3"
"PROCHASKA","B2lg",30,46,NA,NA,NA,"10YR","4","1"
"ROCKCASTLE","O2",3,0,NA,NA,NA,"10YR","2","1"
"ROCKCASTLE","O1",8,3,NA,NA,NA,NA,NA,NA
"ROCKCASTLE","A1",NA,3,NA,NA,NA,"10YR","3","1"
"SIMONIN","Btl",66,86,NA,NA,NA,"10YR","5","4"
"TORONTO","Btl",30,41,NA,NA,NA,"10YR","5","3"
"TREVLAC","Btl",33,51,NA,NA,NA,"10YR","5","6"
