"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AU TRAIN","0a",0,5,NA,NA,NA,"5YR","2.5","1"
"BEECHWOOD","Oi",10,5,NA,NA,NA,NA,NA,NA
"BURT","0a",0,3,NA,NA,NA,"10YR","2","1"
"CARBONDALE","0e",99,152,NA,NA,NA,"7.5YR","3","2"
"CATHRO","0a1",0,15,NA,NA,NA,"5YR","2","1"
"CATHRO","0a2",15,28,NA,NA,NA,"5YR","2","1"
"CATHRO","0a3",28,58,NA,NA,NA,"5YR","2","1"
"CHANNING","Oi",5,0,NA,NA,NA,NA,NA,NA
"CHIPPENY","0a1",0,8,NA,NA,NA,"5YR","2.5","1"
"CHIPPENY","0a2",8,15,NA,NA,NA,"5YR","2.5","1"
"CHIPPENY","0a3",15,51,NA,NA,NA,"5YR","3","1"
"DEERTON","0a",0,3,NA,NA,NA,"5YR","2.5","1"
"FELDTMANN","Oe",5,0,NA,NA,NA,"5YR","3","1"
"FREDA","Oe",3,0,NA,NA,NA,"5YR","2","1"
"GLENNIE","0e",0,5,NA,NA,NA,NA,NA,NA
"GUARDLAKE","Oi",3,0,NA,NA,NA,NA,NA,NA
"KALLIO","Oi",3,0,NA,NA,NA,NA,NA,NA
"KAWBAWGAM","Oa",5,0,NA,NA,NA,"5YR","2","2"
"LIMINGA","0a",0,2,NA,NA,NA,"N","2.5","0"
"MIKADO","Oe",5,0,NA,NA,NA,NA,NA,NA
"NADEAU","Oe",5,0,NA,NA,NA,"10YR","2","1"
"NET","Oi",5,0,NA,NA,NA,NA,NA,NA
"NUNICA","Oi",5,0,NA,NA,NA,NA,NA,NA
"OLDMAN","Oa",3,0,NA,NA,NA,"10YR","2","1"
"PETTICOAT","Oe",3,0,NA,NA,NA,"10YR","2","2"
"POSEN","Oe",3,0,NA,NA,NA,"N","2","0"
"PULLUP","Oi",5,0,NA,NA,NA,NA,NA,NA
"ROCKCUT","Oe",8,0,NA,NA,NA,"10YR","2","2"
"SATAGO","Oi",5,0,NA,NA,NA,NA,NA,NA
"SUNDELL","Oi",5,0,NA,NA,NA,NA,NA,NA
"TACOOSH","Cgl",102,107,NA,NA,NA,"2.5Y","5","2"
"TROUT BAY","0a1",0,18,NA,NA,NA,"10YR","2","1"
"TROUT BAY","0a2",18,48,NA,NA,NA,"10YR","2","1"
"VELVET","Oa",5,0,NA,NA,NA,"10YR","2","1"
"WATTON","Oi",3,0,NA,NA,NA,NA,NA,NA
