"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"CATHRO",1918852,FALSE,2022,FALSE,TRUE
"CARBONDALE",483997,TRUE,2022,FALSE,TRUE
"TACOOSH",371511,FALSE,1998,FALSE,TRUE
"NADEAU",71208,FALSE,2022,TRUE,FALSE
"LIMINGA",56662,FALSE,2006,FALSE,TRUE
"NET",53162,FALSE,1998,TRUE,FALSE
"PESHEKEE",31859,FALSE,1998,TRUE,FALSE
"POSEN",24880,FALSE,1999,TRUE,FALSE
"SCHWEITZER",23144,FALSE,2006,TRUE,FALSE
"PETTICOAT",23085,FALSE,2003,TRUE,FALSE
"WATTON",22671,FALSE,2006,TRUE,FALSE
"CHANNING",22488,FALSE,1997,TRUE,FALSE
"OLDMAN",22397,FALSE,2002,TRUE,FALSE
"SUNDELL",22320,FALSE,2022,TRUE,FALSE
"GUARDLAKE",21100,FALSE,1994,TRUE,FALSE
"CHIPPENY",21027,FALSE,2021,FALSE,TRUE
"GLENNIE",15146,FALSE,2001,FALSE,TRUE
"DEERTON",12352,FALSE,1994,FALSE,TRUE
"NUNICA",10023,FALSE,2022,TRUE,FALSE
"KALLIO",9936,FALSE,2003,TRUE,FALSE
"BEECHWOOD",8262,FALSE,1999,TRUE,FALSE
"SATAGO",5597,FALSE,1999,TRUE,FALSE
"PULLUP",5124,FALSE,1994,TRUE,FALSE
"BURT",4528,FALSE,1987,FALSE,TRUE
"TROUT BAY",4334,FALSE,2009,FALSE,TRUE
"VELVET",3361,FALSE,2022,TRUE,FALSE
"AU TRAIN",1581,FALSE,2009,FALSE,TRUE
"FREDA",703,FALSE,2003,TRUE,FALSE
"ROCKCUT",564,FALSE,2003,TRUE,FALSE
"FELDTMANN",148,FALSE,1990,TRUE,FALSE
"MIKADO",NA,FALSE,NA,TRUE,FALSE
"KAWBAWGAM",NA,FALSE,1999,TRUE,FALSE
