"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"BAYTOWN","A3",41,48,"l0YR","5","2","10YR","3","2"
"BERGKELLER","Oi",3,0,NA,NA,NA,NA,NA,NA
"BRENNYVILLE","Btl",28,53,NA,NA,NA,"10YR","4","3"
"BRICKTON","Cgl",64,104,NA,NA,NA,"2.5Y","6","2"
"FINLAND","Oe",3,0,NA,NA,NA,NA,NA,NA
"FORMDALE","Bwl",19,30,"10YR","4","2","10YR","3","2"
"HIWOOD","Oe",5,0,NA,NA,NA,NA,NA,NA
"INDUS","Oa",1,0,NA,NA,NA,"5YR","2","1"
"INDUS","Oe",4,1,NA,NA,NA,"5YR","2","2"
"INSULA","Oa",3,0,NA,NA,NA,"10YR","2","1"
"INSULA","Oi",4,3,NA,NA,NA,NA,NA,NA
"KINGSLEY","A1",0,8,"l0YR","3",NA,"10YR","2","1"
"KINGSLEY","A2",8,18,"l0YR","5","2","10YR","3","2"
"LOBO","Oil",0,8,NA,NA,NA,"10YR","6","4"
"NEMADJI","O",1,0,NA,NA,NA,NA,NA,NA
"NEWFOUND","O2",4,0,NA,NA,NA,"5YR","2","1"
"NEWFOUND","O1",6,4,NA,NA,NA,NA,NA,NA
"ROSY","Oi",5,0,NA,NA,NA,NA,NA,NA
"SEDGEVILLE","Bgl",20,43,NA,NA,NA,"2.5Y","5","2"
"WASKISH","Oil",0,8,NA,NA,NA,NA,NA,NA
