"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"BOWSTRING",354491,FALSE,2006,FALSE,TRUE
"CONIC",324902,FALSE,2005,FALSE,TRUE
"ELBAVILLE",213442,FALSE,2000,FALSE,TRUE
"INSULA",194207,FALSE,2005,TRUE,TRUE
"BRENNYVILLE",127811,FALSE,2003,FALSE,TRUE
"LOBO",127543,FALSE,2022,FALSE,TRUE
"FORMDALE",110181,FALSE,2020,FALSE,TRUE
"INDUS",89495,TRUE,1997,TRUE,TRUE
"HIWOOD",68384,FALSE,1992,TRUE,FALSE
"WASKISH",55992,FALSE,2001,FALSE,TRUE
"KINGSLEY",53941,FALSE,1997,FALSE,TRUE
"DALBO",23737,FALSE,2006,FALSE,TRUE
"ROSY",23690,FALSE,1999,TRUE,FALSE
"BRICKTON",21214,FALSE,2006,FALSE,TRUE
"THISTLEDEW",13219,FALSE,1999,FALSE,TRUE
"NERESON",9242,FALSE,1998,TRUE,FALSE
"BERGKELLER",8621,FALSE,1999,TRUE,FALSE
"SEDGEVILLE",6604,FALSE,2000,FALSE,TRUE
"BAYTOWN",3376,FALSE,2003,FALSE,TRUE
"MCDAVITT",3247,FALSE,2009,FALSE,TRUE
"FINLAND",NA,FALSE,2000,TRUE,FALSE
