"id","ac","benchmarksoilflag","soiltaxclasslastupdated"
"RUETER",627477,TRUE,2009
"COULSTONE",284779,TRUE,2009
"BENDER",256977,TRUE,2009
"MANO",236704,FALSE,1998
"SECESH",203164,FALSE,1997
"MIDCO",107267,FALSE,1997
"HOBERG",102774,TRUE,2006
"HILDEBRECHT",102108,FALSE,2002
"MACEDONIA",83890,FALSE,2009
"TICK",70655,FALSE,2002
"KILLARNEY",33619,FALSE,1998
"FRENCHMILL",24188,FALSE,1998
"PEVELY",16802,FALSE,2006
"SYENITE",9656,FALSE,1999
"KNOBTOP",9065,FALSE,2002
"HASSLER",8577,FALSE,1998
"ROCHEPORT",5708,FALSE,2007
"CELT",5519,FALSE,1999
"LOUGHBORO",2972,FALSE,1997
