"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ASHBRAY","Oi",1,0,NA,NA,NA,NA,NA,NA
"BELLTOWER","Oi",5,0,NA,NA,NA,NA,NA,NA
"BROADUS","Oi",3,0,NA,NA,NA,NA,NA,NA
"CARGILL","C2ca",89,76,"2.5Y","7","4",NA,NA,NA
"HESPER","Clca",41,51,"2.5Y","5","3","2.5Y","4","2"
"LAMEDEER","Oi",5,0,NA,NA,NA,NA,NA,NA
"LOWERCREEK","O1 and O2",3,0,NA,NA,NA,NA,NA,NA
"MACMEAL","Oi1",5,3,NA,NA,NA,NA,NA,NA
"MOWBRAY","Oi",5,0,NA,NA,NA,NA,NA,NA
"PINEBREAKS","Oi",5,0,NA,NA,NA,NA,NA,NA
"REDFERN","Oi",1,0,NA,NA,NA,NA,NA,NA
"RIDGE","Oi",1,0,NA,NA,NA,NA,NA,NA
"TRAPPER","O",1,11,"lOYR","3","1",NA,NA,NA
"WESSEL","O1 and O2",5,0,NA,NA,NA,NA,NA,NA
"WOODSIDE","Ao",3,0,NA,NA,NA,"10YR","3","1"
