"id","name","top","bottom"
"BRASSTOWN","Oi",3,0
"CHEOAH","0e",5,0
"CHESTOA","Oi",3,0
"CLIFFSIDE","0i",5,0
"CREEDMOOR","Oe",3,0
"CROSSNORE","Oi",5,0
"GOLDSTON","0i",3,0
"GRANVILLE","Oe",3,0
"GROVER","Oe",3,0
"HAYWOOD","Oi",3,0
"HUNTDALE","Oe",8,0
"HUNTDALE","Oi",15,8
"JUNALUSKA","0i",5,0
"LONON","0e",3,0
"MISENHEIMER","Oi",5,0
"MONTONIA","Oi",5,0
"MURVILLE","Oe",5,0
"OAKBORO","Oi",3,0
"OCONALUFTEE","Oe",5,0
"PINEOLA","Oi",5,0
"SANTEETLAH","Oe",5,0
"SAURATOWN","Oi",5,0
"SYLVA","Oe",5,0
"TATUM","Oe",5,0
"TOISNOT","O1",3,0
"TRIMONT","Oi",5,0
"TSALI","Oi",3,0
"TUCKASEGEE","Oi",5,0
"WILBANKS","01",3,0
