"id","ac","benchmarksoilflag","soiltaxclasslastupdated"
"TATUM",544821,TRUE,1999
"VANCE",325015,FALSE,1997
"JUNALUSKA",315390,FALSE,2001
"GOLDSTON",264170,TRUE,2010
"GROVER",190038,FALSE,1992
"CREEDMOOR",179540,TRUE,2010
"MURVILLE",158816,FALSE,1993
"BRASSTOWN",102052,FALSE,2001
"TSALI",87180,FALSE,2001
"LONON",57610,FALSE,2001
"TUCKASEGEE",55886,FALSE,2011
"CHEOAH",55397,FALSE,2011
"SANTEETLAH",41983,FALSE,2011
"TRIMONT",39734,FALSE,2001
"MISENHEIMER",35612,FALSE,1998
"OCONALUFTEE",22335,FALSE,2011
"OAKBORO",15126,FALSE,1999
"TOISNOT",14880,FALSE,1997
"HUNTDALE",14800,FALSE,2011
"HAYWOOD",14697,FALSE,2011
"SAURATOWN",13788,FALSE,2001
"MONTONIA",12564,FALSE,1997
"WILBANKS",12265,FALSE,2002
"PINEOLA",7000,FALSE,2001
"CROSSNORE",5634,FALSE,2011
"GRANVILLE",4117,FALSE,1998
"CLIFFSIDE",2602,FALSE,2009
"SYLVA",1564,FALSE,2001
"CHESTOA",911,FALSE,2011
"INVERSHIEL",762,FALSE,1997
"ALARKA",492,FALSE,2007
