"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"CARDIGAN","0e",0,2,NA,NA,NA,NA,NA,NA
"CHOCORUA","0e1",0,20,NA,NA,NA,"5YR","2","2"
"CHOCORUA","0e2",20,41,NA,NA,NA,"5YR","2","2"
"CHOCORUA","0e3",41,86,NA,NA,NA,"5YR","2","2"
"HITCHCOCK","0i",0,5,NA,NA,NA,NA,NA,NA
"OSSIPEE","0e1",0,30,NA,NA,NA,"5YR","2","2"
"OSSIPEE","0e2",30,46,NA,NA,NA,"5YR","2","2"
"OSSIPEE","0e3",46,64,NA,NA,NA,"7.5YR","3","2"
"SQUAMSCOTT","0e",0,5,NA,NA,NA,"5YR","3","3"
"SQUAMSCOTT","0a",5,8,NA,NA,NA,"5YR","2","1"
"SUCCESS","0i",0,10,NA,NA,NA,NA,NA,NA
"SUCCESS","0a",10,23,NA,NA,NA,"5YR","2","1"
"WAUMBEK","0e",0,3,NA,NA,NA,NA,NA,NA
