"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"ANGOSTURA",289383,TRUE,1999,FALSE,TRUE
"RATON",121996,FALSE,2007,FALSE,TRUE
"MIRABAL",82472,FALSE,2012,FALSE,TRUE
"SUPERVISOR",79840,FALSE,2007,FALSE,TRUE
"ASPARAS",73872,FALSE,2006,TRUE,TRUE
"CHAMBERINO",72998,FALSE,2000,FALSE,TRUE
"TAMPICO",58481,FALSE,1999,FALSE,TRUE
"PIRODEL",40501,FALSE,2006,TRUE,TRUE
"SANCHEZ",27977,FALSE,2012,FALSE,TRUE
"CEBOLLETA",26654,FALSE,2000,TRUE,FALSE
"SAPELLO",26067,FALSE,2022,FALSE,TRUE
"PUICE",25947,FALSE,2006,TRUE,TRUE
"YANKEE",24933,FALSE,1999,FALSE,TRUE
"ANDERGEORGE",14119,FALSE,2006,FALSE,TRUE
"MARA",12255,FALSE,1999,FALSE,TRUE
"CUNDIYO",11140,FALSE,1999,TRUE,TRUE
"CREST",10913,FALSE,2006,FALSE,TRUE
"RAYOHILL",9521,FALSE,2000,TRUE,TRUE
"TORNERO",5035,FALSE,2016,TRUE,FALSE
"RANSECT",4087,FALSE,2003,TRUE,TRUE
"OSORIDGE",2906,FALSE,2007,FALSE,TRUE
"RUSBACH",2419,FALSE,1999,TRUE,TRUE
"KATLON",1665,FALSE,1999,TRUE,TRUE
"CEBOYA",1477,FALSE,1999,TRUE,FALSE
"POLICH",725,FALSE,2007,FALSE,TRUE
"THURLONI",NA,FALSE,2007,TRUE,TRUE
"RATONWEST",NA,FALSE,2012,TRUE,FALSE
"ORDNANCE",NA,FALSE,2007,TRUE,TRUE
