"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"BEZO","2Byl",8,18,"10YR","6","3","10YR","4","3"
"BOOMTOWN","All",0,8,"l0YR","4","2","l0YR","2","2"
"BOOMTOWN","02",8,0,NA,NA,NA,NA,NA,NA
"BOOMTOWN","0l",10,8,NA,NA,NA,NA,NA,NA
"BOOMTOWN","IIB2t",56,135,"l0YR","7","4","l0YR","6","8"
"BOOMTOWN","IIC",135,NA,"l0YR","7","6","l0YR","6","8"
"BOOMTOWN","Al2",NA,NA,"l0YR","4","3","l0YR","3","2"
"BOOMTOWN","A2",NA,56,"l0YR","6","4","l0YR","5","4"
"BOOMTOWN","IIB3t",NA,135,"l0YR","7","6","l0YR","6","8"
"BORDA","Al",0,8,"10YR","5","2","10YR","4","3"
"BRAWLEY","Al",0,5,"10YR","5","2","10YR","3","2"
"BRAWLEY","Btl",18,33,"10YR","6","4","10YR","4","4"
"CARIOCA","Al",0,18,"l0YR","5","3","l0YR","3","2"
"CARIOCA","A2",18,76,"l0YR","6","3","l0YR","3","3"
"CARIOCA","B2t",76,102,"l0YR","6","3","l0YR","4","3"
"CARIOCA","B3t",102,142,"l0YR","6","3","l0YR","3","3"
"CARIOCA","0l",NA,0,NA,NA,NA,NA,NA,NA
"CARIOCA","A3",NA,76,"l0YR","6","3","l0YR","4","3"
"CHAD","Al",0,10,"10YR","5","2","10YR","3","3"
"CHAD","Btl",43,71,"10YR","5","4","10YR","4","4"
"DAKENT","2Bkl",86,109,"10YR","6","3",NA,NA,NA
"DEEFAN","2Bqkl",66,109,"10YR","7","2","10YR","4","3"
"DELP","Btl",3,15,"10YR","6","2","10YR","5","3"
"DELP","Cl",48,69,"10YR","7","2","10YR","5","2"
"DEVILS","Al",0,3,"10YR","5","2","10YR","3","2"
"DRIT","Al",0,5,"10YR","5","2","10YR","3","2"
"DUCKHILL","0i",0,2,NA,NA,NA,NA,NA,NA
"DUCKHILL","Al",2,11,"10YR","4","2","7.5YR","3","2"
"DUFF","Al",0,18,"10YR","5","2","10YR","3","1"
"FAWIN","Al",0,5,"10YR","7","2","10YR","4","3"
"FILIRAN","Al",0,8,"10YR","6","3","10YR","3","3"
"FORTANK","Al",0,13,"10YR","6","3","10YR","3","3"
"FORTANK","Btl",25,36,"10YR","6","3","10YR","4","3"
