"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"INVILLE",200747,FALSE,2004,FALSE,TRUE
"TEGURO",83039,FALSE,2011,FALSE,TRUE
"GRALIC",65561,FALSE,2007,FALSE,TRUE
"SHAKESPEARE",64083,FALSE,2004,FALSE,TRUE
"RODAD",39928,FALSE,2003,TRUE,FALSE
"LAS VEGAS",33473,FALSE,2008,FALSE,TRUE
"NITPAC",19236,FALSE,2007,TRUE,FALSE
"GLYPHS",18347,FALSE,2003,FALSE,TRUE
"ROWEL",13047,FALSE,2003,FALSE,TRUE
"TICINO",11463,FALSE,2003,FALSE,TRUE
"UNGENE",11411,FALSE,2004,TRUE,FALSE
"PUNG",11139,FALSE,1997,FALSE,TRUE
"BOOMTOWN",11039,FALSE,2004,FALSE,TRUE
"LUAP",10174,FALSE,2003,TRUE,FALSE
"MCVEGAS",9187,FALSE,2001,FALSE,TRUE
"SHANTOWN",9086,FALSE,2006,TRUE,FALSE
"PAHRANAGAT",7769,FALSE,2008,TRUE,FALSE
"TAYLOR CREEK",7752,FALSE,2001,FALSE,TRUE
"VALCREST",7690,FALSE,2004,FALSE,TRUE
"ARVA",7126,FALSE,1997,TRUE,FALSE
"POLUM",5941,FALSE,2001,FALSE,TRUE
"TENPIN",5210,FALSE,2001,FALSE,TRUE
"TENVORRD",5120,FALSE,2003,FALSE,TRUE
"SKYHAVEN",4834,FALSE,1997,FALSE,TRUE
"RATSOW",4790,FALSE,1997,FALSE,TRUE
"SNAG",4651,FALSE,2003,FALSE,TRUE
"ROLOC",4385,FALSE,2003,FALSE,TRUE
"NODUR",2143,FALSE,1997,TRUE,FALSE
"PITTMAN",1897,FALSE,1997,TRUE,TRUE
"SUP",1441,FALSE,1999,FALSE,TRUE
"PARADISE",1321,FALSE,1997,TRUE,TRUE
"CABLAB",766,FALSE,2017,TRUE,FALSE
"TULERT",NA,FALSE,2006,TRUE,TRUE
"STOPATOE",NA,FALSE,2001,TRUE,FALSE
"SAWABE",NA,FALSE,1997,TRUE,FALSE
"JANEFALLS",NA,FALSE,2005,TRUE,FALSE
