"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ALTON","2Cl",104,160,NA,NA,NA,"7.5YR","4","2"
"BERGEN","0p",0,25,NA,NA,NA,"10YR","2","1"
"BERGEN","0a",25,36,NA,NA,NA,"10YR","3","2"
"CHEEKTOWAGA","2Cl",66,84,NA,NA,NA,"7.5YR","4","2"
"DORVAL","0a2",43,58,NA,NA,NA,"5YR","3","1"
"ELKA","Bwl",15,53,NA,NA,NA,"5YR","5","4"
"HAIGHTS","Bwl",15,43,NA,NA,NA,"7.5YR","4","4"
"HEMPSTEAD","Bwl",38,64,NA,NA,NA,"10YR","5","6"
"HOOSIC","Bwl",15,28,NA,NA,NA,"10YR","5","6"
"LAGROSS","Bwl",20,36,NA,NA,NA,"7.5YR","4","4"
"MARTISCO","0a1",0,18,NA,NA,NA,"5YR","2","1"
"MARTISCO","0a2",18,33,NA,NA,NA,"5YR","2","1"
"PAVILION","0p",0,23,NA,NA,NA,"10YR","2","1"
"PAVILION","0a1",23,33,NA,NA,NA,"10YR","3","2"
