"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"HOOSIC",141898,TRUE,2000,FALSE,TRUE
"ALTON",117483,FALSE,2011,FALSE,TRUE
"ELKA",69925,FALSE,1999,FALSE,TRUE
"DORVAL",28874,FALSE,2004,FALSE,TRUE
"MARTISCO",21932,FALSE,2021,FALSE,TRUE
"WILPOINT",18386,FALSE,1988,TRUE,FALSE
"CHEEKTOWAGA",9044,FALSE,2011,FALSE,TRUE
"HAIGHTS",6565,FALSE,2000,FALSE,TRUE
"HEMPSTEAD",6195,FALSE,2000,FALSE,TRUE
"BERGEN",3992,FALSE,2004,FALSE,TRUE
"LAGROSS",3896,FALSE,2000,FALSE,TRUE
"FRESHKILLS",1862,FALSE,2014,TRUE,FALSE
"PAVILION",867,FALSE,2004,FALSE,TRUE
