"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ARNETT","Btl",18,28,"2.5YR","4","4","2.5YR","3","4"
"BIGFORK","Oi",1,0,NA,NA,NA,"10YR","2","2"
"BOCOX","Btl",84,132,"7.5YR","6","6","7.5YR","5","6"
"DECOBB","Btl",46,91,"5YR","4","4","5YR","3","4"
"DERBY","Al",0,23,"10YR","5","3","10YR","3","3"
"NALDO","A",0,23,NA,NA,NA,"1OYR","4","2"
"NALDO","Bt1",41,102,NA,NA,NA,"1OYR","5","6"
"NALDO","Bt2",102,145,NA,NA,NA,"1OYR","6","4"
"NALDO","Bt3",145,183,NA,NA,NA,"1OYR","6","1"
"ROARK","Btkl",61,86,"7.5YR","5","3","7.5YR","4","3"
"WESTILL","Btl",13,38,"5YR","4","2","5YR","3","2"
"WESTILL","Btkssl",61,102,"5YR","4","4","5YR","3","4"
