"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"WESTILL",96388,FALSE,2000,FALSE,TRUE
"BIGFORK",81882,FALSE,2001,TRUE,FALSE
"DERBY",66809,FALSE,2000,FALSE,TRUE
"ROARK",53255,FALSE,2000,FALSE,TRUE
"LELA",37303,FALSE,2016,TRUE,FALSE
"NALDO",18514,FALSE,2003,FALSE,TRUE
"TAMFORD",15291,FALSE,1997,TRUE,FALSE
"ARNETT",14657,FALSE,2000,FALSE,TRUE
"TOMAST",9345,FALSE,2003,TRUE,TRUE
"DECOBB",5874,FALSE,2000,FALSE,TRUE
"BOCOX",5547,FALSE,2000,FALSE,TRUE
"DOOLIN",4995,FALSE,1997,TRUE,FALSE
