"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ABSAQUIL","Oi",4,0,NA,NA,NA,NA,NA,NA
"ACKER","Oi",10,0,NA,NA,NA,NA,NA,NA
"ALCOT","Oi",5,0,NA,NA,NA,NA,NA,NA
"ALTHOUSE","Oi",3,0,NA,NA,NA,NA,NA,NA
"ANUNDE","Oi",5,0,NA,NA,NA,NA,NA,NA
"ATRING","Oi",5,0,NA,NA,NA,NA,NA,NA
"BACONA","O",5,0,NA,NA,NA,NA,NA,NA
"BALD","O1",1,0,NA,NA,NA,NA,NA,NA
"BARLOW","O2",13,0,NA,NA,NA,"10YR","3","1"
"BARLOW","O1",15,13,NA,NA,NA,NA,NA,NA
"BATEMAN","Oi",3,0,NA,NA,NA,NA,NA,NA
"BEAL","Oi",1,0,NA,NA,NA,NA,NA,NA
"BENSLEY","Al",3,15,"l0YR","5","2","l0YR","2","2"
"BENSLEY","A2",15,30,"l0YR","6","2","l0YR","3","2"
"BENSLEY","Bwl",30,58,"l0YR","6","2","l0YR","4","3"
"BENSLEY","Bw2",58,79,"l0YR","6","2","l0YR","4","3"
"BENSLEY","Bw3",79,114,"l0YR","6","2","l0YR","4","2"
"BENSLEY","BC",114,160,"l0YR","6","3","l0YR","4","3"
"BENTILLA","Oi",5,0,NA,NA,NA,NA,NA,NA
"BIGELOW","O1",3,0,NA,NA,NA,NA,NA,NA
"BLACKLOCK","Oi",3,0,NA,NA,NA,NA,NA,NA
"BLALOCK","IIClsicam",46,66,"10YR","8","1","10YR","6","2"
"BOARDFLOWER","Oi",5,0,NA,NA,NA,NA,NA,NA
"BOOTEN","Oi",3,0,NA,NA,NA,NA,NA,NA
"BUCKSHOT","Oi",1,0,NA,NA,NA,NA,NA,NA
"BULL RUN","Oi",3,0,NA,NA,NA,NA,NA,NA
"BURNTHILL","Oi",5,0,NA,NA,NA,NA,NA,NA
"BYBEE","O",1,0,NA,NA,NA,NA,NA,NA
"CAMPFOUR","O",3,0,NA,NA,NA,NA,NA,NA
"CARIS","Oi",3,0,NA,NA,NA,NA,NA,NA
"CASHNER","Oi",3,0,NA,NA,NA,NA,NA,NA
"CEDARGROVE","Oi",3,0,NA,NA,NA,NA,NA,NA
"CHIMNEYROCK","Oi",3,0,NA,NA,NA,NA,NA,NA
"CORNUTT","O1",1,0,NA,NA,NA,NA,NA,NA
"COYATA","O2",3,0,NA,NA,NA,NA,NA,NA
"COYATA","O1",4,3,NA,NA,NA,NA,NA,NA
"CRATER LAKE","Oi",4,0,NA,NA,NA,NA,NA,NA
"CROQUIB","O",5,0,NA,NA,NA,NA,NA,NA
"CRUISER","Oi",3,0,NA,NA,NA,NA,NA,NA
"CUNNIFF","Oi",5,0,NA,NA,NA,NA,NA,NA
"DARBY","Oi",3,0,NA,NA,NA,NA,NA,NA
"DEATMAN","O",3,0,NA,NA,NA,NA,NA,NA
"DESONS","Oi",3,0,NA,NA,NA,NA,NA,NA
"DICECREEK","Oi",1,0,NA,NA,NA,NA,NA,NA
"DINZER","O2",4,0,NA,NA,NA,"10YR","2","1"
"DINZER","O1",9,4,NA,NA,NA,NA,NA,NA
"DOMPIER","Oi",5,0,NA,NA,NA,NA,NA,NA
"DUMONT","Oi2",3,0,NA,NA,NA,NA,NA,NA
"DUMONT","Oi1",5,3,NA,NA,NA,NA,NA,NA
"EASTPINE","Oi",3,0,NA,NA,NA,NA,NA,NA
"EDSON","Oi",5,0,NA,NA,NA,NA,NA,NA
"EGYPTCREEK","Oi",3,0,NA,NA,NA,NA,NA,NA
"EVICK","Oi",3,0,NA,NA,NA,NA,NA,NA
"FANTZ","Oi",3,0,NA,NA,NA,NA,NA,NA
"FEAGINRANCH","Oi",14,0,NA,NA,NA,NA,NA,NA
"FERGUSON","Oi",3,0,NA,NA,NA,NA,NA,NA
"FERNHAVEN","Oi",10,0,NA,NA,NA,NA,NA,NA
"FIVES","O2",3,0,NA,NA,NA,"10YR","2","2"
"FIVES","O1",5,3,NA,NA,NA,NA,NA,NA
"FLARM","Oi",10,0,NA,NA,NA,NA,NA,NA
"FLYCREEK","2Btbl",58,69,"10YR","6","3","10YR","4","3"
"FRAILEY","O1",5,0,NA,NA,NA,NA,NA,NA
"FREEZENER","O",3,0,NA,NA,NA,"10YR","3","1"
"GAP","Oi",10,0,NA,NA,NA,NA,NA,NA
"GEPPERT","O",1,0,NA,NA,NA,NA,NA,NA
"GLAZE","Oi",8,0,NA,NA,NA,NA,NA,NA
"GOODLOW","Oi",3,0,NA,NA,NA,NA,NA,NA
"GOODWIN","O2",3,0,NA,NA,NA,"10YR","2","1"
"GOODWIN","O1",8,3,NA,NA,NA,NA,NA,NA
"GOOLAWAY","O",5,0,NA,NA,NA,NA,NA,NA
"GRAVECREEK","Oi",3,0,NA,NA,NA,NA,NA,NA
"GREENGULCH","Oi",4,0,NA,NA,NA,NA,NA,NA
"GRENET","Oi",3,0,NA,NA,NA,NA,NA,NA
"GUERIN","Oi",3,0,NA,NA,NA,NA,NA,NA
"HALL RANCH","Oi",3,0,NA,NA,NA,NA,NA,NA
"HALLIHAN","Oi",5,0,NA,NA,NA,NA,NA,NA
"HAMMERSLEY","Oi",8,0,NA,NA,NA,NA,NA,NA
"HAZELCAMP","Oi",3,0,NA,NA,NA,NA,NA,NA
"HEHE","Oi",3,0,NA,NA,NA,NA,NA,NA
"HIGHCAMP","Oi",5,0,NA,NA,NA,NA,NA,NA
"HOBIT","Oi",3,0,NA,NA,NA,NA,NA,NA
"HOOSKANADEN","Oi",3,0,NA,NA,NA,NA,NA,NA
"HOUSEFIELD","Oi",8,0,NA,NA,NA,NA,NA,NA
"HOWASH","Oi",5,0,NA,NA,NA,NA,NA,NA
"HUDSPETH","O",3,0,NA,NA,NA,NA,NA,NA
"HUKILL","O",1,0,NA,NA,NA,NA,NA,NA
"JAYAR","Oi",3,0,NA,NA,NA,NA,NA,NA
"JOENEY","Oi",3,0,NA,NA,NA,NA,NA,NA
"JOJO","Oi",5,0,NA,NA,NA,NA,NA,NA
"JUMPOFF","O1",3,0,NA,NA,NA,NA,NA,NA
"JUNTURA","All",0,3,"10YR","5","2","10YR","2","2"
"KANID","Oi",3,0,NA,NA,NA,NA,NA,NA
"KILLET","O",5,0,NA,NA,NA,NA,NA,NA
"KITTLESON","Oi",8,0,NA,NA,NA,NA,NA,NA
"KNAPKE","Oi",3,0,NA,NA,NA,NA,NA,NA
"KUCKUP","Oi",3,0,NA,NA,NA,NA,NA,NA
"KUSU","Oi",5,0,NA,NA,NA,NA,NA,NA
"KUTCHER","Oi",5,0,NA,NA,NA,NA,NA,NA
"LANGELLAIN","O",1,0,NA,NA,NA,NA,NA,NA
"LASTANCE","Oe",3,0,NA,NA,NA,"10YR","2","1"
"LASTANCE","Oi",5,3,NA,NA,NA,NA,NA,NA
"LEMPIRA","Oi",1,0,NA,NA,NA,NA,NA,NA
"LETTIA","Oi",1,0,NA,NA,NA,NA,NA,NA
"LITTLEFAWN","Oi",3,0,NA,NA,NA,NA,NA,NA
"MACKATIE","Oi",8,0,NA,NA,NA,NA,NA,NA
"MCGINNIS","O",1,0,NA,NA,NA,NA,NA,NA
"MCNAB","Oi",1,0,NA,NA,NA,NA,NA,NA
"MCNULL","O",3,0,NA,NA,NA,NA,NA,NA
"MELHORN","Oi",5,0,NA,NA,NA,NA,NA,NA
"MILLERFLAT","Oi",5,0,NA,NA,NA,NA,NA,NA
"MOOLACK","O2",1,0,NA,NA,NA,NA,NA,NA
"MOOLACK","O1",3,1,NA,NA,NA,NA,NA,NA
"MOWAKO","Oi",3,0,NA,NA,NA,NA,NA,NA
"MULTORPOR","O",1,0,NA,NA,NA,NA,NA,NA
"MUSTY","O",3,0,NA,NA,NA,NA,NA,NA
"MUTTON","Oi",3,0,NA,NA,NA,NA,NA,NA
"NORLING","Oi",5,0,NA,NA,NA,NA,NA,NA
"ODIN","O1",3,0,NA,NA,NA,NA,NA,NA
"OFFENBACHER","O",3,0,NA,NA,NA,NA,NA,NA
"OLYIC","O1",1,0,NA,NA,NA,NA,NA,NA
"PARAGON","O",3,0,NA,NA,NA,NA,NA,NA
"PEAHKE","Oi",3,0,NA,NA,NA,NA,NA,NA
"PERDIN","Oi",5,0,NA,NA,NA,NA,NA,NA
"PERVINA","O1",3,0,NA,NA,NA,NA,NA,NA
"PERVINA","Cl",140,152,"7.5YR","5","8","5YR","5","8"
"PINEHURST","Oi",3,0,NA,NA,NA,NA,NA,NA
"PIPP","Oi",3,0,NA,NA,NA,NA,NA,NA
"PIUMPSHA","Oi",5,0,NA,NA,NA,NA,NA,NA
"POLLARD","Oi",5,0,NA,NA,NA,NA,NA,NA
"PROVIG","O",3,0,NA,NA,NA,NA,NA,NA
"REDFLAT","Oi",3,0,NA,NA,NA,NA,NA,NA
"REINECKE","Oi",5,0,NA,NA,NA,NA,NA,NA
"RINEARSON","O",3,0,NA,NA,NA,NA,NA,NA
"ROGGER","Oi",5,0,NA,NA,NA,NA,NA,NA
"RUCH","Oi",2,0,NA,NA,NA,NA,NA,NA
"RUSTLERPEAK","O",3,0,NA,NA,NA,NA,NA,NA
"RUSTYBUTTE","Oi",3,0,NA,NA,NA,NA,NA,NA
"SACH","Oi",3,0,NA,NA,NA,NA,NA,NA
"SADDLEPEAK","Oi",3,0,NA,NA,NA,NA,NA,NA
"SAG","Oi",3,0,NA,NA,NA,NA,NA,NA
"SCALEROCK","Oi",3,0,NA,NA,NA,NA,NA,NA
"SERPENTANO","Oi",8,0,NA,NA,NA,NA,NA,NA
"SHARPSHOOTER","Oi",3,0,NA,NA,NA,NA,NA,NA
"SHASTACOSTA","Oi",1,0,NA,NA,NA,NA,NA,NA
"SHERVAL","Oi",3,0,NA,NA,NA,NA,NA,NA
"SIMNASHO","Oi",3,0,NA,NA,NA,NA,NA,NA
