"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"JAYAR",130798,FALSE,2001,TRUE,FALSE
"ATRING",118703,FALSE,1999,TRUE,FALSE
"HEMCROSS",100556,FALSE,1997,FALSE,TRUE
"RINEARSON",99362,FALSE,2011,TRUE,TRUE
"BOOTH",88416,FALSE,1997,TRUE,FALSE
"MCNULL",79953,FALSE,1997,TRUE,TRUE
"REALLIS",73361,FALSE,1999,TRUE,FALSE
"PINEHURST",65837,FALSE,2004,TRUE,FALSE
"FREEZENER",65371,FALSE,2003,TRUE,FALSE
"KANID",62831,FALSE,1999,TRUE,FALSE
"CARIS",58762,FALSE,2001,TRUE,FALSE
"ACKER",54456,FALSE,2000,TRUE,FALSE
"BACONA",52506,FALSE,1998,TRUE,FALSE
"WAPATO",51565,FALSE,1998,FALSE,TRUE
"BATEMAN",50529,FALSE,2002,TRUE,TRUE
"DUMONT",45035,FALSE,1997,TRUE,FALSE
"POLLARD",42760,FALSE,1997,TRUE,FALSE
"HOWASH",40243,FALSE,1998,TRUE,FALSE
"UMATILLA",36394,FALSE,2005,FALSE,TRUE
"PINHEAD",34928,FALSE,1998,FALSE,TRUE
"NORLING",33533,FALSE,2000,TRUE,FALSE
"TALLOWBOX",32878,FALSE,2003,TRUE,FALSE
"HEHE",28532,FALSE,1998,TRUE,FALSE
"VOORHIES",27693,FALSE,2003,TRUE,TRUE
"SIMNASHO",27364,FALSE,2004,TRUE,FALSE
"HALL RANCH",26588,FALSE,2004,TRUE,FALSE
"SKYMOR",26201,FALSE,2001,TRUE,TRUE
"ALTHOUSE",24943,FALSE,2000,TRUE,TRUE
"PIPP",22638,FALSE,1998,TRUE,FALSE
"VERNONIA",22320,FALSE,2002,TRUE,TRUE
"PERDIN",21719,FALSE,1997,TRUE,TRUE
"HIGHCAMP",21358,FALSE,2000,TRUE,FALSE
"OFFENBACHER",20956,FALSE,2001,TRUE,FALSE
"ALSTONY",20401,FALSE,2001,TRUE,FALSE
"BULL RUN",20276,FALSE,1998,TRUE,FALSE
"STRAIGHT",20066,FALSE,1999,TRUE,FALSE
"MACKATIE",19673,FALSE,1998,TRUE,FALSE
"SKOOKUMHOUSE",19644,FALSE,1998,TRUE,TRUE
"TATOUCHE",19341,FALSE,1997,TRUE,FALSE
"FERNHAVEN",19238,FALSE,2002,TRUE,TRUE
"WOODCHOPPER",19025,FALSE,2001,TRUE,TRUE
"MELHORN",18668,FALSE,2013,TRUE,FALSE
"FLYCREEK",18306,FALSE,2004,FALSE,TRUE
"XANADU",17983,FALSE,1997,TRUE,FALSE
"KUTCHER",16834,FALSE,2004,TRUE,FALSE
"ROGGER",16829,FALSE,2003,TRUE,FALSE
"ALCOT",16316,FALSE,1998,TRUE,FALSE
"COYATA",15992,FALSE,2001,TRUE,FALSE
"HAZELCAMP",15833,FALSE,1998,TRUE,TRUE
"DUFUR",15305,FALSE,2002,TRUE,FALSE
"SHARPSHOOTER",15077,FALSE,2005,TRUE,FALSE
"GRAVECREEK",14628,FALSE,2000,TRUE,FALSE
"JOJO",13878,FALSE,1998,TRUE,TRUE
"GOODLOW",13466,FALSE,2007,TRUE,FALSE
"TWELVEMILE",13425,FALSE,2000,TRUE,TRUE
"WHETSTONE",13254,FALSE,2002,TRUE,FALSE
"CRUISER",12718,FALSE,2000,TRUE,FALSE
"MUTTON",12626,FALSE,1998,TRUE,FALSE
"HOUSEFIELD",12417,FALSE,1999,TRUE,FALSE
"TEEWEE",11980,FALSE,2002,FALSE,TRUE
"FRAILEY",11752,FALSE,1999,TRUE,FALSE
"SERPENTANO",11140,FALSE,1999,TRUE,TRUE
"POLANDER",10150,FALSE,2000,TRUE,TRUE
"BIGELOW",10087,FALSE,2006,TRUE,TRUE
"BORAVALL",9881,FALSE,2003,TRUE,FALSE
"STEINMETZ",9696,FALSE,2000,TRUE,FALSE
"BOOTEN",9643,FALSE,1998,TRUE,TRUE
"GAP",9449,FALSE,1997,TRUE,FALSE
"CRABTREE",9311,FALSE,1999,TRUE,FALSE
"BLACKLOCK",9256,TRUE,2004,TRUE,FALSE
"YAINAX",8906,FALSE,2003,TRUE,TRUE
"LANGELLAIN",8662,FALSE,2005,TRUE,FALSE
"GOOLAWAY",8652,FALSE,2001,TRUE,FALSE
"PERVINA",8313,FALSE,1998,TRUE,TRUE
"ANUNDE",7988,FALSE,2004,TRUE,FALSE
"WINLO",7765,FALSE,1997,TRUE,FALSE
"FANTZ",7543,FALSE,2000,TRUE,FALSE
"SAG",7426,FALSE,1997,TRUE,FALSE
"EDSON",6838,FALSE,1998,TRUE,FALSE
"CUNNIFF",6686,FALSE,1998,TRUE,FALSE
"GOODWIN",6461,FALSE,2000,TRUE,FALSE
"HOOSKANADEN",6386,FALSE,1997,TRUE,FALSE
"RUSTLERPEAK",6307,FALSE,2007,TRUE,FALSE
"BENSLEY",5943,FALSE,1999,FALSE,TRUE
"SADDLEPEAK",5938,FALSE,1999,TRUE,FALSE
"LASTANCE",5909,TRUE,2002,TRUE,TRUE
"CHIMNEYROCK",5780,FALSE,2005,TRUE,FALSE
"BULLGULCH",5748,FALSE,2000,FALSE,TRUE
"JUMPOFF",5433,FALSE,2004,TRUE,FALSE
"PIUMPSHA",5351,FALSE,1998,TRUE,FALSE
"YOREL",5191,FALSE,1999,TRUE,TRUE
"THREETREES",5139,FALSE,1999,TRUE,TRUE
"TERRABELLA",4693,FALSE,1997,TRUE,FALSE
"SHERVAL",4690,FALSE,2003,TRUE,FALSE
"SCHERRARD",4615,FALSE,1997,TRUE,FALSE
"KUSU",4446,FALSE,1998,TRUE,FALSE
"EASTPINE",4417,FALSE,2013,TRUE,FALSE
"CAMPFOUR",4309,FALSE,2003,TRUE,FALSE
"GLAZE",4235,FALSE,1997,TRUE,FALSE
"KNAPKE",4201,FALSE,2000,TRUE,TRUE
"EGYPTCREEK",4198,FALSE,2013,TRUE,FALSE
"HARANA",4133,FALSE,2002,TRUE,FALSE
"LABUCK",4101,FALSE,2023,TRUE,FALSE
"SOOSAP",4007,FALSE,2004,TRUE,FALSE
"MCGINNIS",3915,FALSE,2009,TRUE,TRUE
"REDFLAT",3913,FALSE,1999,TRUE,FALSE
"STICES",3823,FALSE,2005,FALSE,TRUE
"SITKUM",3754,FALSE,2000,TRUE,FALSE
"HALLIHAN",3638,FALSE,2000,TRUE,TRUE
"SKOOKER",3536,FALSE,1998,TRUE,FALSE
"CEDARGROVE",3535,FALSE,2005,TRUE,FALSE
"BLALOCK",3448,FALSE,2002,FALSE,TRUE
"FREELS",3439,FALSE,1998,TRUE,FALSE
"LABISH",3315,FALSE,1997,TRUE,FALSE
"GRENET",3302,FALSE,1998,TRUE,TRUE
"LITTLEFAWN",3257,FALSE,1997,TRUE,FALSE
"BURNTHILL",3255,FALSE,1997,TRUE,FALSE
"HUDSPETH",3116,FALSE,1997,TRUE,FALSE
"PARAGON",2981,FALSE,2009,TRUE,FALSE
"FERGUSON",2978,FALSE,2013,TRUE,FALSE
"MUSTY",2710,FALSE,2001,TRUE,FALSE
"CRIMS",2672,FALSE,1999,FALSE,TRUE
"RUSTYBUTTE",2669,FALSE,1997,TRUE,FALSE
"HIGHHORN",2666,FALSE,2005,FALSE,TRUE
"PROVIG",2632,FALSE,1997,TRUE,FALSE
"CRUTCH",2619,FALSE,1987,FALSE,TRUE
"HOBIT",2569,FALSE,1998,TRUE,FALSE
"BARHISKEY",2494,FALSE,2001,TRUE,FALSE
"GUERIN",2453,FALSE,2013,TRUE,FALSE
"WHITESON",2363,FALSE,2001,FALSE,TRUE
"SCALEROCK",2214,FALSE,1999,TRUE,TRUE
"YAWKOLA",2185,FALSE,1997,TRUE,FALSE
"BOARDFLOWER",2039,FALSE,1997,TRUE,FALSE
"JOENEY",1865,FALSE,2004,TRUE,FALSE
"MOWAKO",1849,FALSE,1998,TRUE,FALSE
"DARBY",1840,FALSE,2005,TRUE,FALSE
"REINECKE",1813,FALSE,1998,TRUE,FALSE
"CROQUIB",1760,FALSE,1999,TRUE,TRUE
"FRANKPORT",1754,FALSE,2000,FALSE,TRUE
"SPILYAY",1737,FALSE,1997,TRUE,FALSE
"KITTLESON",1602,FALSE,2000,TRUE,TRUE
"HUNTROCK",1560,FALSE,2005,FALSE,TRUE
"EVICK",1519,FALSE,1993,TRUE,FALSE
"DESONS",1491,FALSE,1998,TRUE,FALSE
"WAKAMO",1478,FALSE,1997,TRUE,FALSE
"TISHAR",1442,FALSE,2003,TRUE,TRUE
"SNOWBRIER",1368,FALSE,2001,TRUE,FALSE
"BENTILLA",1340,FALSE,1998,TRUE,TRUE
"LEMONEX",1294,FALSE,2013,TRUE,FALSE
"PEAHKE",1278,FALSE,2001,TRUE,TRUE
"MILLERFLAT",1268,FALSE,2001,TRUE,FALSE
"KILLET",1158,FALSE,2001,TRUE,FALSE
"SACH",1156,FALSE,2002,TRUE,FALSE
"BERGSVIK",1143,FALSE,1999,TRUE,TRUE
"KIESEL",1142,FALSE,1997,TRUE,FALSE
"THREEFORKS",893,FALSE,1999,TRUE,FALSE
"WARRENTON",880,FALSE,2001,TRUE,TRUE
"CASHNER",805,FALSE,1997,TRUE,FALSE
"HAMMERSLEY",777,FALSE,2001,TRUE,FALSE
"DENTDRAW",662,FALSE,1999,TRUE,FALSE
"TELEMON",635,FALSE,1998,TRUE,FALSE
"DOMPIER",505,FALSE,2005,TRUE,FALSE
"KUCKUP",356,FALSE,1998,TRUE,TRUE
"FLARM",266,FALSE,2002,TRUE,FALSE
"CAMPTANK",237,FALSE,2007,TRUE,FALSE
"WHITEHORSE",NA,FALSE,2000,TRUE,FALSE
"PRONG",NA,FALSE,2006,FALSE,TRUE
"ODIN",NA,FALSE,2004,TRUE,TRUE
"LUCE",NA,FALSE,2002,TRUE,FALSE
"JUNTURA",NA,FALSE,2001,FALSE,TRUE
"FIVES",NA,FALSE,2002,TRUE,TRUE
"DEATMAN",NA,FALSE,2002,TRUE,TRUE
