"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"CITADEL","0i",0,4,NA,NA,NA,NA,NA,NA
"DELMONT","Ap",0,15,"10YR","4","1","l0YR","2","1"
"GRIZZLY","0i",0,2.5,NA,NA,NA,NA,NA,NA
"HOUDEK","Ap",0,15,"10YR","4","2","l0YR","2","2"
"JERAULD","E",0,8,"l0YR","5","1","l0YR","3","1"
"LAKOA","0i",0,2,NA,NA,NA,NA,NA,NA
"MONDAMIN","Ap",0,15,"10YR","4","2","l0YR","2","2"
"SIECHE","Oi",3,0,NA,NA,NA,NA,NA,NA
"SUTLEY","Ap",0,15,"l0YR","4","3","l0YR","3","2"
"VANOCKER","0e",0,2.5,NA,NA,NA,NA,NA,NA
"WOODLY","A1",0,23,"l0YR","3","1","10YR","2","1"
